fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
27/02/2022 00:00:00	mk.ru	https://www.mk.ru/politics/2022/02/27/germaniya-s-ponedelnika-nachinaet-postavki-oruzhiya-ukraine.html	германия с понедельника начинает поставки оружия на украину	True	137289	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
16/04/2022 00:00:00	rusplt.ru	https://rusplt.ru/policy/postavki-zapadom-oruzhiya-na-625ad04.html	поставки западом оружия на украину загоняет киев в долговую яму	True	98503	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
23/04/2022 00:00:00	rusplt.ru	http://rusplt.ru/policy/v-germanii-prizvali-olafa-6263b04.html	в германии призвали олафа шольца прекратить поставки оружия на украину	True	93442	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
14/04/2022 00:00:00	rusprav.tv	https://rusprav.tv/ssha-mogut-nachat-postavku-kievu-vooruzhenij-dlya-naneseniya-udarov-po-rossijskim-aerodromam-126463/	сша могут начать поставку киеву вооружений для нанесения ударов по российским аэродромам	True	72882	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
01/07/2022 00:00:00	riafan.ru	https://riafan.ru/23515285-germaniya_s_nachala_goda_odobrila_postavki_vooruzhenii_ukraine_na_562_milliona_evro	германия с начала года одобрила поставки вооружений украине на     миллиона евро	True	430535	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
02/07/2022 00:00:00	riafan.ru	https://riafan.ru/23516265-polkovnik_shvitkin_o_postavkah_oruzhiya_ukraine_nuzhen_kompleksnii_podhod_dlya_perekritiya	полковник швыткин о поставках оружия украине  нужен комплексный подход для перекрытия	True	422063	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
03/07/2022 00:00:00	riafan.ru	https://riafan.ru/23518131-the_times_postavki_vooruzheniya_i_boevoi_tehniki_ukraine_oslabili_britanskuyu_armiyu	the times  поставки вооружения и боевой техники украине ослабили британскую армию	True	423673	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
04/07/2022 00:00:00	riafan.ru	https://riafan.ru/23519362-_ukraina_poligon_baranets_ob_yasnil_pochemu_postavki_zapadnogo_oruzhiya_ne_pomogut_kievu	украина   полигон   баранец объяснил  почему поставки западного оружия не помогут киеву	True	437176	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
04/07/2022 00:00:00	riafan.ru	https://riafan.ru/23519463-frolov_postavki_vooruzheniya_na_ukrainu_negativno_otrazyatsya_na_boesposobnosti_vs_frantsii	фролов  поставки вооружения на украину негативно отразятся на боеспособности вс франции	True	430345	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
30/01/2022 00:00:00	argumenti.ru	https://argumenti.ru/army/2022/01/757406	сша завершили запланированную поставку оружия на украину	True	488238	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
07/02/2022 00:00:00	argumenti.ru	https://argumenti.ru/world/2022/02/758566	боррель  россия использует поставки энергии в качестве оружия против европы	True	488423	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
08/02/2022 00:00:00	argumenti.ru	https://argumenti.ru/politics/2022/02/758700	представитель мид украины николенко объяснил  что отмена встречи зеленского и бербок не связана с отказом фрг в поставках оружия	True	488207	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
10/02/2022 00:00:00	argumenti.ru	https://argumenti.ru/world/2022/02/758993	посол россии в фрг сергей нечаев считает совершенно контрпродуктивными поставки оружия на украину	True	491869	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
26/02/2022 00:00:00	argumenti.ru	https://argumenti.ru/world/2022/02/761396	зеленский в субботу утром поговорил с президентом франции и сообщил о новых поставках оружия от запада	True	488694	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
03/03/2022 00:00:00	argumenti.ru	https://argumenti.ru/army/2022/03/762244	поставки западного летального оружия на украину нарастают	True	492483	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
26/05/2022 00:00:00	gazeta.ru	https://www.gazeta.ru/army/2022/05/26/14908280.shtml	засада для ленд лиза  что помешает поставкам оружия из сша на украину	True	313129	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
29/05/2022 00:00:00	gazeta.ru	https://www.gazeta.ru/army/2022/05/28/14917922.shtml	германия почти прекратила поставки вооружений украине	True	310843	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
07/06/2022 00:00:00	gazeta.ru	https://www.gazeta.ru/army/news/2022/06/07/17888768.shtml	польша заключит крупнейший за    лет контракт на поставку оружия украине   газета ru	True	316436	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
19/06/2022 00:00:00	gazeta.ru	https://www.gazeta.ru/army/news/2022/06/19/17960162.shtml	генсек нато заявил  что поставки оружия дадут украине шанс вернуть контроль над донбассом   газета ru	True	310270	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
20/06/2022 00:00:00	gazeta.ru	https://www.gazeta.ru/army/news/2022/06/21/17971568.shtml	американский генерал рассказал о задержках в поставках оружия с запада на украину   газета ru	True	307270	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
11/04/2022 00:00:00	rg.ru	https://rg.ru/2022/04/11/pentagon-rasskazal-o-postavkah-oruzhiia-dlia-ukrainy-8-10-aviarejsov-v-den.html	пентагон рассказал о поставках оружия для украины       авиарейсов в день	True	158094	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
19/04/2022 00:00:00	rg.ru	https://rg.ru/2022/04/19/mid-rf-postavka-es-oruzhiia-na-ukrainu-protivorechit-ego-obiazatelstvam.html	мид рф  европейские поставки оружия на украину противоречат обязательствам ес	True	158381	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
19/04/2022 00:00:00	rg.ru	https://rg.ru/2022/04/19/mid-rf-postavka-es-oruzhiia-na-ukrainu-protivorechit-ego-obiazatelstvam.html	мид рф  поставка ес оружия на украину противоречит его обязательствам	True	158383	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
27/05/2022 00:00:00	ria.ru	https://ria.ru/20220527/moldaviya-1791147166.html	молдавия не обсуждает с западом поставки вооружения  заявила санду	True	228819	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
27/05/2022 00:00:00	ria.ru	https://ria.ru/20220527/oruzhie-1791137830.html	шольц заявил  что поставки вооружений украине поднимают этические вопросы	True	228823	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
28/05/2022 00:00:00	ria.ru	https://ria.ru/20220528/deputaty-1791482371.html	немецких депутатов возмутил  бардак  с поставками оружия украине	True	227415	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
29/05/2022 00:00:00	ria.ru	https://ria.ru/20220528/oruzhie-1791468048.html	сми  правительство фрг сократило  до минимума  поставки оружия киеву	True	221772	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
30/05/2022 00:00:00	ria.ru	https://ria.ru/20220530/oruzhie-1791812978.html	поставки оружия украине вынудили канаду пополнять запасы	True	235524	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
30/05/2022 00:00:00	ria.ru	https://ria.ru/20220530/vooruzheniya-1791831551.html	глава мид франции сообщила  что париж усилит поставки вооружений киеву	True	235512	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
09/04/2022 00:00:00	riafan.ru	https://riafan.ru/22872047-posol_antonov_prizval_strani_zapada_prekratit_postavki_vooruzheniya_i_boevoi_tehniki_na_ukrainu	дипломат антонов призвал страны запада прекратить поставки вооружения и боевой техники на украину	True	419811	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
10/04/2022 00:00:00	riafan.ru	https://riafan.ru/22873776-v_kongresse_ssha_gotovyat_zakon_pod_postavki_oruzhiya_na_taivan_	в конгрессе сша готовят закон под поставки оружия на тайвань	True	418905	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
12/04/2022 00:00:00	riafan.ru	https://riafan.ru/22990080-odnim_dvizheniem_bagdasarov_predlozhil_luchshii_sposob_blokirovat_postavki_zapadnogo_oruzhiya_na_ukrainu_	одним движением  багдасаров предложил лучший способ блокировать поставки западного оружия на украину	True	418927	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
14/04/2022 00:00:00	riafan.ru	https://riafan.ru/23063235-pentagon_rossiya_ne_pitalas_pomeshat_postavkam_amerikanskogo_vooruzheniya_na_ukrainu	пентагон  россия не пыталась помешать поставкам американского вооружения на украину	True	407812	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
15/04/2022 00:00:00	riafan.ru	https://riafan.ru/23075675-gosdep_ssha_zayavil_o_namerenii_prodolzhat_postavki_vooruzhenii_na_ukrainu	госдеп сша заявил о намерении продолжать поставки вооружений на украину	True	415878	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
17/04/2022 00:00:00	riafan.ru	https://riafan.ru/23078232-ssha_nachali_postavki_tyazhelogo_vooruzheniya_ukraine_nadeyas_razbit_rossiyu_na_donbasse_	сша начали поставки тяжелого вооружения украине  надеясь разбить россию на донбассе	True	425716	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
18/04/2022 00:00:00	riafan.ru	https://riafan.ru/23092740-rossiya_mozhet_dat_effektivnii_otvet_evrope_na_postavki_oruzhiya_dlya_ukraini	россия может дать эффективный ответ европе на поставки оружия для украины	True	428280	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
07/07/2022 00:00:00	rt.com	https://russian.rt.com/ussr/news/1023496-dodon-postavki-ssha-oruzhie-moldaviya	додон заявил о тайных поставках оружия из сша в молдавию	True	252091	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
09/07/2022 00:00:00	rt.com	https://russian.rt.com/world/news/1024004-rossiya-ssha-posolstvo	посольство россии  сша намерены затянуть конфликт на украине новыми поставками оружия	True	251289	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
17/07/2022 00:00:00	rt.com	https://russian.rt.com/ussr/news/1026943-postavki-oruzhiya-ukraina	депутат фрг дагделен  поставки тяжёлых вооружений киеву повышают риски мировой войны	True	248763	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
21/07/2022 00:00:00	rt.com	https://russian.rt.com/world/article/1028343-es-ssha-pentagon-oruzhie-voennaya-pomosch	хочет эскалации конфликта   как запад намерен нарастить поставки оружия на украину	True	253240	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
28/07/2022 00:00:00	rt.com	https://russian.rt.com/world/news/1031060-germaniya-oruzhie-postavki-ukraina	вице канцлер фрг хабек призвал не гордиться поставками вооружения на украину	True	247820	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
27/12/2021 00:00:00	tass.ru	https://tass.ru/mezhdunarodnaya-panorama/13310279	климкин  диалог рф и нато по украине может поставить на паузу поставки оружия киеву	True	269172	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
28/04/2022 00:00:00	tvzvezda.ru	https://tvzvezda.ru/news/20224281830-ZEUUW.html	нулевой эффект за бешеные деньги  запад разочаровывается в поставке вооружений на украину	True	480535	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
10/05/2022 00:00:00	tvzvezda.ru	https://tvzvezda.ru/news/202251002-ocfgj.html	байден подписал закон о поставках вооружения украине по ленд лизу	True	477699	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
13/05/2022 00:00:00	tvzvezda.ru	https://tvzvezda.ru/news/20225132322-AL0JT.html	в пентагоне предупредили  что поставки оружия на украину могут быть приостановлены	True	475660	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
27/05/2022 00:00:00	tvzvezda.ru	https://tvzvezda.ru/news/20225271017-HKrSA.html	фсб пресекла в крыму незаконный канал поставки оружия и боеприпасов с украины	True	483945	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
10/01/2022 00:00:00	rbc.ru	https://www.rbc.ru/politics/10/01/2022/61dc1c609a79473ba0b9af0f	axios узнал о совете американских  ястребов  о поставках оружия украине	True	201122	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
22/01/2022 00:00:00	rbc.ru	https://www.rbc.ru/rbcfreenews/61ec03359a7947ef10f0de9f	кулеба заявил о разочаровании из за отказа фрг в поставках оружия украине	True	202398	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
05/02/2022 00:00:00	rbc.ru	https://www.rbc.ru/politics/05/02/2022/61fe68449a7947d1b9e2ec65	breaking defense узнал о запрете израиля на поставки оружия украине	True	202265	(?=.*).*	(вооруж| оруж)	(поставк| Украин)
