Week of fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
7 March 2022	deita.ru	https://deita.ru/article/512502	путин рассказал о первом этапе денацификации украины	True	29806	(?=.*).*	(денациф| демилит)	()
28 March 2022	deita.ru	https://deita.ru/article/513581	вниманию зеленского  стал известен план денацификации украины	True	29247	(?=.*).*	(денациф| демилит)	()
4 April 2022	deita.ru	https://deita.ru/article/514104	зеленский отказался обсуждать  денацификацию  и  демилитаризацию	True	9052	(?=.*).*	(денациф| демилит)	()
4 April 2022	deita.ru	https://deita.ru/article/514186	или денацификация или мобилизация   зюганов	True	5039	(?=.*).*	(денациф| демилит)	()
9 May 2022	deita.ru	https://deita.ru/article/516215	денацификация украины  о чем не захотели рассказать путину	True	60	(?=.*).*	(денациф| демилит)	()
11 July 2022	amic.ru	https://www.amic.ru/news/politika/v-sovfede-obyasnili-neobhodimost-demilitarizacii-vsey-ukrainy	в совфеде объяснили необходимость демилитаризации всей украины	True	113967	(?=.*).*	(денациф| демилит)	()
11 April 2022	apn.ru	http://www.apn.ru/index.php?newsid=41540	теоретические основы денацификации и дефашизации	True	78736	(?=.*).*	(денациф| демилит)	()
14 March 2022	bfm.ru	https://www.bfm.ru/news/495526	лавров объяснил смысл денацификации украины	True	186778	(?=.*).*	(денациф| демилит)	()
16 May 2022	bloknot.ru	https://bloknot.ru/obshhestvo/by-vshij-ministr-oborony-pol-shi-prizval-demilitarizovat-kaliningrad-928829.html	бывший министр обороны польши призвал  демилитаризовать  калининград	True	113070	(?=.*).*	(денациф| демилит)	()
23 May 2022	bloknot.ru	https://bloknot.ru/glavnaya/general-shamanov-nazval-sroki-okonchaniya-demilitarizatsii-ukrainy-934889.html	генерал шаманов назвал сроки окончания демилитаризации украины	True	97207	(?=.*).*	(денациф| демилит)	()
6 June 2022	bloknot.ru	https://bloknot.ru/yanovost-chasa/na-ukraine-vpervy-e-denatsifitsirovan-naemnik-iz-brazilii-939294.html	на украине впервые денацифицирован наемник из бразилии	True	110126	(?=.*).*	(денациф| демилит)	()
11 July 2022	bloknot.ru	https://bloknot.ru/v-mire/okonchatel-naya-denatsifikatsiya-e-kspert-o-tom-s-chem-stolknetsya-rossiya-posle-pobedy-v-donbasse-955517.html	окончательная денацификация   эксперт о том  с чем столкнется россия после победы в донбассе	True	91417	(?=.*).*	(денациф| демилит)	()
9 May 2022	chto-proishodit.ru	https://chto-proishodit.ru/polotics/1158488	в польше захотели демилитаризовать калининград и вернуть городу имя кенигсберг	True	86183	(?=.*).*	(денациф| демилит)	()
4 April 2022	dagpravda.ru	http://dagpravda.ru/politika/po-shtabam-esh-e-ne-bili/	денацификация должна быть продолжена	True	67055	(?=.*).*	(денациф| демилит)	()
11 April 2022	deita.ru	https://deita.ru/article/514493	на украине началась народная денацификация	True	80363	(?=.*).*	(денациф| демилит)	()
23 May 2022	deita.ru	https://deita.ru/article/517003	шаманов назвал сроки демилитаризации украины	True	84686	(?=.*).*	(денациф| демилит)	()
13 June 2022	deita.ru	https://deita.ru/article/518217	денацификация не удалась  мэр отправит в армию дерзкого журналиста	True	107302	(?=.*).*	(денациф| демилит)	()
20 June 2022	deita.ru	https://deita.ru/article/518477	приморцы поддерживают демилитаризацию украины	True	127517	(?=.*).*	(денациф| демилит)	()
27 June 2022	deita.ru	https://deita.ru/article/518792	приморские спортсмены поддержали спецоперацию по денацификации украины	True	88574	(?=.*).*	(денациф| демилит)	()
23 May 2022	dp.ru	https://www.dp.ru:443/a/2022/05/26/General_SHamanov_zajavil__ch	генерал шаманов заявил  что демилитаризация украины может занять до    лет	True	95186	(?=.*).*	(денациф| демилит)	()
21 February 2022	hronika.info	https://hronika.info/obwestvo/789262-demilitarizacziya-i-denaczifikacziya-u-putina-nazvali-czeli-rf-v-ukraine/	демилитаризация и денацификация   у путина назвали цели рф в украине hronika info	True	38022	(?=.*).*	(денациф| демилит)	()
14 March 2022	icmos.ru	https://icmos.ru/news/bolee-20-tys-obshhestvennyx-sovetnikov-moskvy-podpisali-obrashhenie-v-podderzku-denacifikacii-ukrainy	более    тыс  общественных советников москвы подписали обращение в поддержку денацификации украины	True	100927	(?=.*).*	(денациф| демилит)	()
14 March 2022	news.rufox.ru	https://news.rufox.ru/texts/2022/03/16/371189.htm	в кремле назвали идею о создании в украине демилитаризованного государства компромиссной    новости	True	38643	(?=.*).*	(денациф| демилит)	()
2 May 2022	mk.ru	https://www.mk.ru/politics/2022/05/08/medvedev-zadalsya-voprosom-o-denacifikacii-vostochnoevropeyskikh-pigmeev.html	медведев задумался о денацификации  восточноевропейских пигмеев	True	143104	(?=.*).*	(денациф| демилит)	()
23 May 2022	mk.ru	https://www.mk.ru/politics/2022/05/24/patrushev-obyasnil-v-chem-zaklyuchaetsya-denacifikacii-ukrainy.html	патрушев объяснил  в чем заключается денацификация украины	True	148648	(?=.*).*	(денациф| демилит)	()
6 June 2022	riafan.ru	https://riafan.ru/23479361-politolog_shipilin_nenavist_ukraintsev_ko_vsemu_russkomu_proidet_po_mere_denatsifikatsii	политолог шипилин  ненависть украинцев ко всему русскому пройдет по мере денацификации	True	437674	(?=.*).*	(денациф| демилит)	()
6 June 2022	riafan.ru	https://riafan.ru/23481453-safari_otmenyaetsya_inostrannie_naemniki_osoznali_masshtab_denatsifikatsii_zateyannoi_rf_na_ukraine	сафари отменяется  иностранные наемники осознали масштаб денацификации  затеянной рф на украине	True	438502	(?=.*).*	(денациф| демилит)	()
6 June 2022	riafan.ru	https://riafan.ru/23481829-mezhevich_uveren_chto_ukrainu_mozhno_denatsifitsirovat_ne_nanosya_udari_po_evrope	межевич уверен  что украину можно денацифицировать  не нанося удары по европе	True	437051	(?=.*).*	(денациф| демилит)	()
13 June 2022	riafan.ru	https://riafan.ru/23486018-polumer_bit_ne_dolzhno_politolog_makeeva_schitaet_chto_ukraine_nuzhna_polnaya_denatsifikatsiya	полумер быть не должно  политолог макеева считает  что украине нужна полная денацификация	True	414659	(?=.*).*	(денациф| демилит)	()
13 June 2022	riafan.ru	https://riafan.ru/23493752-_eto_latviya_litva_i_estoniya_vasserman_nazval_strani_nato_kotorie_naprashivayutsya_na_demilitarizatsiyu	это латвия  литва и эстония   вассерман назвал страны нато  которые напрашиваются на демилитаризацию	True	432124	(?=.*).*	(денациф| демилит)	()
