Week of fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
18 July 2022	aif.ru	https://aif.ru/society/army/vsu_ispolzuyut_mirnyh_grazhdan_v_kachestve_zhivogo_shchita_v_dnr	всу используют мирных граждан в качестве  живого щита  в днр	True	181111	(?=.*).*	(жив)	(щит)
18 July 2022	aif.ru	https://aif.ru/society/army/vsu_uderzhivayut_mirnyh_zhiteley_v_kachestve_zhivogo_shchita_na_zavode_v_avdeevke	всу удерживают мирных жителей в качестве  живого щита  на заводе в авдеевке	True	179741	(?=.*).*	(жив)	(щит)
25 July 2022	aif.ru	https://aif.ru/society/army/vsu_v_semenovke_ispolzuyut_mirnyh_zhiteley_v_kachestve_zhivogo_shchita	всу в семеновке используют мирных жителей в качестве  живого щита	True	178774	(?=.*).*	(жив)	(щит)
21 March 2022	ampravda.ru	https://ampravda.ru/2022/03/24/0111474.html	дальневосточные казаки   мы живем на границе и должны быть готовы к защите нашей родины	True	73436	(?=.*).*	(жив)	(щит)
28 February 2022	bfm.ru	https://www.bfm.ru/news/494295	минобороны рф  националисты используют мирных граждан как живой щит	True	187953	(?=.*).*	(жив)	(щит)
7 March 2022	bfm.ru	https://www.bfm.ru/news/494620	мо рф  националисты в мариуполе в качестве живого щита использовали     мирных жителей	True	187271	(?=.*).*	(жив)	(щит)
11 July 2022	bloknot.ru	https://bloknot.ru/v-mire/oon-obvinila-vsu-v-ispol-zovanii-invalidov-v-kachestve-zhivogo-shhita-v-lnr-954827.html	оон обвинила всу в использовании инвалидов в качестве живого щита в лнр	True	93978	(?=.*).*	(жив)	(щит)
30 May 2022	chel.kp.ru	https://pda.chel.kp.ru/daily/27398/4594929/	люди делятся последним  а собаки их охраняют   челябинский зоозащитник карен даллакян раздал четыре тонны корма для животных в мариуполе	True	113841	(?=.*).*	(жив)	(щит)
7 February 2022	council.gov.ru	http://council.gov.ru/events/news/133167/	с  митин  посредством агрострахования в россии должна быть создана устойчивая финансовая защита рисков растениеводства и животноводства   совет федерации федерального собрания российской федерации	True	78590	(?=.*).*	(жив)	(щит)
23 May 2022	garant.ru	https://www.garant.ru/ia/research/1545224/	более     читателей поддерживают расширение пределов необходимой обороны при защите жилища	True	88214	(?=.*).*	(жив)	(щит)
10 January 2022	geopolitica.ru	https://www.geopolitica.ru/news/nato-uteshaet-pribaltiku-obeshchaniyami-o-zashchite-no-ispolzuet-ee-kak-zhivoy-shchit-i-hab-po	нато утешает прибалтику обещаниями о защите  но использует ее как живой щит и хаб по пересылке оружия	True	6842	(?=.*).*	(жив)	(щит)
30 May 2022	hab.kp.ru	https://pda.hab.kp.ru/daily/27399/4595325/	отдает животных  кому может   что происходит в ильинке спустя месяц после драки зоозащитницы и семьи экс полицейской	True	126012	(?=.*).*	(жив)	(щит)
14 February 2022	news.mail.ru	https://news.mail.ru/politics/50105834/	володин  нас беспокоит вопрос защиты проживающих на донбассе россиян	True	496837	(?=.*).*	(жив)	(щит)
