Week of fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
13 June 2022	bloknot.ru	https://bloknot.ru/obshhestvo/snajpera-natsistku-iz-azova-vzyatuyu-v-plen-v-mariupole-otdali-po-obmenu-kievu-ili-zelenskij-lzhyot-944649.html	снайпера нацистку из  азова    взятую в плен в мариуполе  отдали по обмену киеву  или зеленский лжёт	True	89553	(?=.*).*	(киев|режим)	(нацис)
21 February 2022	dni.ru	https://dni.ru/ukraine/2022/2/25/500234.html	украина  владимир путин не ждет договоренностей с засевшей в киеве  шайкой наркоманов и неонацистов   последние новости  военные действия  операция  война на украине    спецоперация на украине    дни ру	True	192143	(?=.*).*	(киев|режим)	(нацис)
28 February 2022	dni.ru	https://dni.ru/polit/2022/3/3/500684.html	спецоперация на украине  владимир путин пояснил эммануэлю макрону роль нацистов в политике киевских властей  последние новости  россия  переговоры    политика    дни ру	True	192722	(?=.*).*	(киев|режим)	(нацис)
27 June 2022	dp.ru	https://www.dp.ru:443/a/2022/07/03/Beglov_pozdravil_zhitelej	беглов поздравил жителей лнр  с освобождением от неонацистского режима	True	88102	(?=.*).*	(киев|режим)	(нацис)
13 June 2022	duma.gov.ru	http://duma.gov.ru/news/54622/	вячеслав володин  неонацистский режим  уничтожив историю своего народа  превратил украину в колонию сша	True	125412	(?=.*).*	(киев|режим)	(нацис)
21 February 2022	geopolitica.ru	https://www.geopolitica.ru/news/putin-shayka-narkomanov-i-neonacistov-v-kieve-vzyala-v-zalozhniki-ukrainskiy-narod	путин  шайка наркоманов и неонацистов в киеве взяла в заложники украинский народ	True	24016	(?=.*).*	(киев|режим)	(нацис)
30 May 2022	pravda.ru	https://www.pravda.ru/news/politics/1715616-moskva_otkazyvaetsja_obsuzhdat/	москва отказывается обсуждать с киевом варианты обмена пленных нацистов с  азовстали	True	351883	(?=.*).*	(киев|режим)	(нацис)
13 June 2022	pravda.ru	https://www.pravda.ru/news/world/1719801-obmen_plennykh/	нацистка  тайра  вернулась в киев по обмену пленными	True	345386	(?=.*).*	(киев|режим)	(нацис)
28 February 2022	ren.tv	https://ren.tv/news/v-mire/946518-putin-argumentirovanno-poiasnil-makronu-rol-natsistov-v-politike-kieva	путин аргументированно пояснил макрону роль нацистов в политике киева	True	62226	(?=.*).*	(киев|режим)	(нацис)
7 March 2022	ren.tv	https://ren.tv/news/v-mire/948544-serogo-kardinala-natsistkoi-gruppirovki-likvidirovali-pod-kievom	серого кардинала нацистской группировки ликвидировали под киевом	True	49406	(?=.*).*	(киев|режим)	(нацис)
