Week of fetchdate_orig	OR and OR2 and AND filters	title_new	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
25 July 2022	True	глава вга энергодара  всу нанесли удар по колонне с гуманитарным грузом	184147	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
4 April 2022	True	офицер нм днр безсонов  боевики всу ударили  градом  по посёлку владимировка при раздаче гумпомощи	70219	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
16 May 2022	True	боевики всу накрыли огнём колонну волонтёров с гумпомощью возле попасной	83499	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
11 July 2022	True	жители москвы передадут донбассу более     тонн гуманитарной помощи   обстрелы всу ежедневно наносят республикам ущерб	99285	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
31 January 2022	True	азербайджан намерен продлить до балкан южный газовый коридор	186344	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
23 May 2022	True	минобороны открывает коридоры для иностранных судов в черном и азовском морях	191782	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
13 June 2022	True	лнр  всу сорвали гуманитарный коридор с завода  азот	190663	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
4 July 2022	True	били дубинкой  душили  издевались даже врачи   российские военные рассказали о  гуманном  к ним отношении в плену у всу	68863	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
20 June 2022	True	жители золотого рассказали о тяжелой гуманитарной обстановке в городе из за всу	107158	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	осаждённые в  азовстали  отказались покинуть завод по гумкоридорам	94370	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	через гумкоридоры у  азовстали  в мариуполе эвакуировались    мирных жителей	118336	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
16 May 2022	True	в районе  азовстали  открылся гумкоридор для раненых украинских военных	113156	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
28 February 2022	True	в генштабе всу признали  что россии удалось проложить сухопутный коридор в крым	28379	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
16 May 2022	True	колонна с гуманитарной помощью попала под обстрел в донбассе	287570	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
