fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
15/02/2022 00:00:00	deita.ru	https://deita.ru/article/511130	путин рассказал про геноцид на донбассе	True	44568	(?=.*).*	(геноцид)	()
27/02/2022 00:00:00	deita.ru	https://deita.ru/article/511870	зеленский просит суд уточнить  что такое геноцид	True	27054	(?=.*).*	(геноцид)	()
06/04/2022 00:00:00	anna-news.info	https://anna-news.info/verhovnaya-rada-priznaet-spetsoperatsiyu-rossii-genotsidom-ukrainskogo-naroda/	верховная рада признает спецоперацию россии  геноцидом украинского народа	True	86746	(?=.*).*	(геноцид)	()
15/02/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/493014	путин назвал геноцидом происходящее в донбассе	True	187744	(?=.*).*	(геноцид)	()
19/02/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/493327	в мид рф заявили о неприемлемости слов шольца о геноциде в донбассе	True	187057	(?=.*).*	(геноцид)	()
01/04/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/496651	ск предъявил обвинение в геноциде экс главе минобороны украины	True	185977	(?=.*).*	(геноцид)	()
13/04/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/497241	обвинения в геноциде  комментарий георгия бовта	True	186949	(?=.*).*	(геноцид)	()
13/04/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/497615	кремль назвал  извращением ситуации  заявления байдена о  геноциде  на украине	True	190009	(?=.*).*	(геноцид)	()
13/04/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/497626	в кремле ответили на слова байдена о геноциде на украине и на предложение обмена медведчука на украинских пленных	True	189590	(?=.*).*	(геноцид)	()
14/04/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/497676	ле пен отказалась называть операцию на украине  геноцидом   как байден и трамп	True	189309	(?=.*).*	(геноцид)	()
16/04/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/497834	nbc  заявления байдена о геноциде на украине противоречат данным разведки сша	True	189419	(?=.*).*	(геноцид)	()
12/02/2022 00:00:00	bloknot.ru	https://bloknot.ru/regiony/priznat-prestupleniya-gitlerovtsev-genotsidom-v-rostove-na-donu-sud-reshaet-istoricheski-vazhny-j-vopros-883628.html	признать преступления гитлеровцев геноцидом  в ростове на дону суд решает исторически важный вопрос	True	93684	(?=.*).*	(геноцид)	()
24/04/2022 00:00:00	bloknot.ru	https://bloknot.ru/v-mire/kak-ni-staralis-v-oon-zayavili-chto-priznakov-genotsida-v-hode-spetsoperatsii-ne-nashli-918700.html	как ни старались  в оон заявили  что признаков геноцида в ходе спецоперации не нашли	True	96653	(?=.*).*	(геноцид)	()
20/05/2022 00:00:00	bloknot.ru	https://bloknot.ru/regiony/psiholog-rasskazal-o-novoj-forme-genotsida-rossiyan-930164.html	психолог рассказал о новой форме геноцида россиян	True	87424	(?=.*).*	(геноцид)	()
14/07/2022 00:00:00	bloknot.ru	https://bloknot.ru/politika/oni-eshhe-ne-nachinali-sejchas-my-budem-nachinat-sovetnik-arestovich-proboltalsya-o-planah-ukrainskoj-armii-po-genotsidu-russkih-956989.html	они еще не начинали  сейчас мы будем начинать   советник арестович проболтался о планах украинской армии по геноциду русских	True	73111	(?=.*).*	(геноцид)	()
22/04/2022 00:00:00	deita.ru	https://deita.ru/article/515153	приднестровье обвинило молдавию в геноциде	True	98315	(?=.*).*	(геноцид)	()
01/02/2022 00:00:00	dni.ru	https://dni.ru/polit/2022/2/1/498292.html	белоруссия  против александра лукашенко подали иск в гаагский суд по обвинению в геноциде  последние новости  польша  павел латушко    политика    дни ру	True	192048	(?=.*).*	(геноцид)	()
18/02/2022 00:00:00	duma.gov.ru	http://duma.gov.ru/news/53483/	вячеслав володин обвинил запад в двойных стандартах в ситуации с геноцидом на украине	True	34996	(?=.*).*	(геноцид)	()
26/02/2022 00:00:00	dv.kp.ru	https://pda.dv.kp.ru/daily/27368/4549279/	кожемяко  решения путина отрезвят режим зеленского  направленный на геноцид народа	True	27201	(?=.*).*	(геноцид)	()
17/04/2022 00:00:00	hronika.info	https://hronika.info/mir/791634-bajden-vpervye-nazval-dejstviya-putina-v-ukraine-genoczidom/	байден впервые назвал действия путина в украине геноцидом hronika info	True	68365	(?=.*).*	(геноцид)	()
31/12/2021 00:00:00	informing.ru	https://informing.ru/2021/12/31/kazhdyj-rossijanin-dolzhen-protivostojat-jetomu-prigozhin-podal-zajavlenie-v-sk-po-faktu-genocida-v-donbasse-.html	каждый россиянин должен противостоять этому  пригожин подал заявление в ск по факту геноцида в донбассе	True	78587	(?=.*).*	(геноцид)	()
19/02/2022 00:00:00	infox.ru	https://www.infox.ru/news/300/269714-rossia-gotova-predostavit-dokazatelstva-genocida-na-donbasse	россия готова предоставить доказательства геноцида на донбассе	True	29182	(?=.*).*	(геноцид)	()
14/04/2022 00:00:00	inosmi.ru	https://inosmi.ru/20220414/bayden-253805328.html	болтовня байдена про  геноцид    угроза миру во всем мире	True	321013	(?=.*).*	(геноцид)	()
14/04/2022 00:00:00	inosmi.ru	https://inosmi.ru/20220414/bayden-253806021.html	байден обвинил россию в  геноциде   ему посоветовали посмотреть в зеркало	True	321008	(?=.*).*	(геноцид)	()
