fetchdate_orig	page_domain_root	page_url	title_new	ID
28/04/2022 00:00:00	mk.ru	https://www.mk.ru/politics/2022/04/28/zelenskiy-otkazalsya-priznavat-vozmozhnye-referendumy-na-osvobozhdennykh-territoriyakh-ukrainy.html	зеленский отказался признавать возможные референдумы на освобожденных территориях украины	139898
28/04/2022 00:00:00	mk.ru	https://www.mk.ru/social/2022/04/28/sud-dosrochno-osvobodil-eksglavu-minekonomrazvitiya-ulyukaeva.html	суд досрочно освободил экс главу минэкономразвития улюкаева	139914
29/04/2022 00:00:00	mk.ru	https://www.mk.ru/incident/2022/04/29/vandaly-ispisali-v-talline-stenu-u-pamyatnika-sovetskomu-voinuosvoboditelyu.html	вандалы исписали в таллине стену у памятника советскому воину освободителю	143355
01/05/2022 00:00:00	mk.ru	https://www.mk.ru/politics/2022/05/01/ramzan-kadyrov-soobshhil-o-skorom-osvobozhdenii-popasnoy-v-luganskoy-oblasti.html	рамзан кадыров сообщил о скором освобождении попасной в луганской области	143634
20/06/2022 00:00:00	mk.ru	https://www.mk.ru/politics/2022/06/20/taliby-osvobodili-arestovannykh-imi-6-mesyacev-nazad-pyaterykh-britancev.html	талибы освободили арестованных ими   месяцев назад пятерых британцев	135019
24/06/2022 00:00:00	mk.ru	https://www.mk.ru/politics/2022/06/24/kadyrov-pochti-vse-naselennye-punkty-okolo-lisichanska-i-severodonecka-osvobozhdeny.html	кадыров  почти все населенные пункты около лисичанска и северодонецка освобождены	151519
25/06/2022 00:00:00	mk.ru	https://www.mk.ru/politics/2022/06/25/kadyrov-zayavil-ob-osvobozhdenii-iz-podvalov-azota-vsekh-mirnykh-zhiteley.html	кадыров заявил об освобождении из подвалов  азота  всех мирных жителей	147584
30/06/2022 00:00:00	mk.ru	https://www.mk.ru/politics/2022/06/30/poyavilis-pervye-kadry-osvobozhdennykh-nakanune-rossiyskikh-plennykh.html	появились первые кадры освобожденных накануне российских пленных	146658
30/06/2022 00:00:00	mk.ru	https://www.mk.ru/politics/2022/06/30/putin-rasskazal-o-konechnoy-celi-specoperacii-na-ukraine.html	путин назвал безопасность россии и освобождение донбасса конечной целью сво на украине	142518
01/07/2022 00:00:00	mk.ru	https://www.mk.ru/politics/2022/07/01/ekspert-sprognoziroval-nastuplenie-na-nikolaev-posle-osvobozhdeniya-donbassa.html	эксперт спрогнозировал наступление на николаев после освобождения донбасса	147515
01/07/2022 00:00:00	mk.ru	https://www.mk.ru/politics/2022/07/01/v-lnr-osvobodili-privole-i-shipilovku.html	в лнр освободили приволье и шипиловку	147481
03/07/2022 00:00:00	mk.ru	https://www.mk.ru/politics/2022/07/03/shoygu-dolozhil-putinu-ob-osvobozhdenii-lnr.html	шойгу доложил путину об освобождении лнр	148177
03/07/2022 00:00:00	mk.ru	https://www.mk.ru/politics/army/2022/07/03/v-lisichanske-osvoboditeley-vstrechayut-s-cvetami-kadyrov.html	в лисичанске освободителей встречают с цветами   кадыров	145744
04/07/2022 00:00:00	mk.ru	https://www.mk.ru/politics/2022/07/04/medvedev-procitiroval-cicerona-posle-osvobozhdeniya-territorii-lnr.html	медведев процитировал цицерона после освобождения территории лнр	150274
04/07/2022 00:00:00	mk.ru	https://www.mk.ru/politics/2022/07/04/putin-prizval-osvobodivshie-lnr-podrazdeleniya-otdokhnut.html	путин призвал освободившие лнр подразделения  отдохнуть	150276
05/07/2022 00:00:00	mk.ru	https://www.mk.ru/politics/2022/07/05/chechenskiy-general-raskryl-podrobnosti-osvobozhdeniya-lisichanska-protivnik-brosilsya-v-bega.html	чеченский генерал раскрыл подробности освобождения лисичанска   противник бросился в бега	150699
26/01/2022 00:00:00	teleport2001.ru	https://www.teleport2001.ru/news/2022-01-27/141484-nepokorennyy-leningrad-otmechaet-osvobozhdenie-ot-fashistskoy-blokady-27-yanvarya.html	непокоренный ленинград отмечает освобождение от фашистской блокады    января	46775
20/02/2022 00:00:00	teleport2001.ru	https://www.teleport2001.ru/news/2022-02-20/142804-ubiystvo-sovershil-zhitel-blagoveschenska-posle-dosrochnogo-osvobozhdeniya.html	убийство совершил житель благовещенска после досрочного освобождения	81875
04/03/2022 00:00:00	teleport2001.ru	https://www.teleport2001.ru/news/2022-03-04/143439-urok-ob-osvoboditelnoy-missii-na-ukraine-proveli-dlya-amurskikh-shkolnikov.html	урок об освободительной миссии на украине провели для амурских школьников	57603
10/05/2022 00:00:00	teleport2001.ru	https://www.teleport2001.ru/news/2022-05-10/146607-shestvie-bessmertnogo-polka-vpervye-sostoyalos-v-osvobozhdennom-khersone.html	шествие  бессмертного полка  впервые состоялось в освобожденном херсоне	88941
21/06/2022 00:00:00	tula.kp.ru	https://pda.tula.kp.ru/daily/27408/4605619/	летнего военного из тулы освободили после двух месяцев плена	127139
01/03/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/234329	силы днр освобождают населенные пункты  видеокадры  тв центра	64171
02/03/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/234454	пушилин оценил ситуацию на освобожденной территории днр	47775
04/03/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/234672	в минобороны сообщили об освобожденных от националистов населенных пунктах на украине	49480
10/04/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/237622	власти одессы не дали жителям отметить годовщину освобождения города от фашистов	79361
21/04/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/238437	шойгу доложил путину об освобождении мариуполя	117415
22/04/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/238511	минобороны опубликовало документы об освобождении мариуполя в      году	79637
22/04/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/238566	жители освобожденных территорий украины получили деньги и продукты	104195
20/05/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/240666	шойгу доложил путину о полном освобождении  азовстали	73726
21/05/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/240675	мариуполь полностью освобождён от националистов	83648
25/05/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/240906	как выглядит завод  азовсталь  после освобождения от националистов	96869
29/05/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/241288	в освобождённые города донбасса доставляют гуманитарную помощь	91346
02/06/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/241733	нам уже не так страшно   как выглядит освобожденный северодонецк	103952
06/06/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/241952	российские военные завершают освобождение святогорска	110201
25/06/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/243379	в освобождённом мариуполе полным ходом идёт разминирование	106829
27/06/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/243495	в лнр намерены к концу недели полностью освободить лисичанск	127349
04/07/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/244021	шойгу доложил путину об освобождении лнр	120079
08/07/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/244367	минобороны рассекретило архив об освобождении одессы от фашистов	92817
14/07/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/244777	мо  в освобожденных украинских городах восстановлена муниципальная власть	121779
19/07/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/245181	силы днр и лнр освободили     населенных пункта	103753
01/01/2022 00:00:00	tver.kp.ru	https://pda.tver.kp.ru/online/news/4577203/	старицкий район отмечает    ю годовщину освобождения от немецко фашистских захватчиков	120721
