Week of fetchdate_orig	OR and OR2 and AND filters	title_new	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
28 March 2022	True	пособие на  шмотки   украинские беженцы шикуют в европе	11737	(?=.*).*	(бежен)	(европ)
28 March 2022	True	беспредел беженцев  украинцы испортили репутацию в европе	15172	(?=.*).*	(бежен)	(европ)
4 April 2022	True	украинские беженцы не хотят платить и работать в европе	12747	(?=.*).*	(бежен)	(европ)
18 July 2022	True	сострадание иссякает  в европе всё больше недовольны беженцами с украины	177975	(?=.*).*	(бежен)	(европ)
16 May 2022	True	украинские беженцы возмутили европу	83501	(?=.*).*	(бежен)	(европ)
2 May 2022	True	что происходит с жильем для украинских беженцев в европейских странах	188113	(?=.*).*	(бежен)	(европ)
23 May 2022	True	разлучницы из незалежной  как беженки с украины разваливают семьи приютившей их европы	121341	(?=.*).*	(бежен)	(европ)
13 June 2022	True	надоели    в европе заявили об усталости принимающих семей от беженцев из незалежной	125364	(?=.*).*	(бежен)	(европ)
25 July 2022	True	дерутся  пьют и не хотят работать   европейцы требуют выгнать украинских беженцев из за их хамского поведения	74725	(?=.*).*	(бежен)	(европ)
25 July 2022	True	премиальные автомобили  фешенебельные отели  дорогие рестораны  как  бедные  украинские беженцы скрываются в европе от войны	117075	(?=.*).*	(бежен)	(европ)
18 April 2022	True	европа отправит украинских беженцев в специальные  укрогорода	96617	(?=.*).*	(бежен)	(европ)
6 June 2022	True	голодные игры  европе пообещали миллионы беженцев из африки	90266	(?=.*).*	(бежен)	(европ)
28 March 2022	True	украинские беженки в европе рискуют стать жертвами сутенеров  как себя защитить hronika info	5307	(?=.*).*	(бежен)	(европ)
2 May 2022	True	в европе не хватает психологов для помощи беженцам из украины hronika info	66753	(?=.*).*	(бежен)	(европ)
2 May 2022	True	политолог объяснил распространение фейков об унижении украинских беженцев в европе	151173	(?=.*).*	(бежен)	(европ)
2 May 2022	True	принявшие большинство украинских беженцев страны европы оказались неподготовленными	140082	(?=.*).*	(бежен)	(европ)
23 May 2022	True	от бесплатного проезда до питания  в чем европа отказала украинским беженцам	143170	(?=.*).*	(бежен)	(европ)
30 May 2022	True	нацистский интернационал   во что превратится европа  приютив украинских беженцев	433482	(?=.*).*	(бежен)	(европ)
30 May 2022	True	ведущий норкин предрек украинским беженцам скорое изгнание из нетолерантной европы	433496	(?=.*).*	(бежен)	(европ)
30 May 2022	True	украинские беженки запустили в соцсетях унижающий европейских женщин тренд	435017	(?=.*).*	(бежен)	(европ)
30 May 2022	True	европейцы недовольны превышающими средний размер пенсии пособиями для украинских беженцев	436108	(?=.*).*	(бежен)	(европ)
30 May 2022	True	политолог суздальцев заявил о планах европы  выдавить  украинских беженцев обратно	437133	(?=.*).*	(бежен)	(европ)
30 May 2022	True	любовь европейцев к украинцам начала угасать из за возмутительного поведения беженцев	431143	(?=.*).*	(бежен)	(европ)
30 May 2022	True	беженцы с украины пожаловались на антисанитарию в европейских заведениях общепита	431121	(?=.*).*	(бежен)	(европ)
30 May 2022	True	жители испании пожаловались на украинских беженцев  мигрирующих по европе ради льгот	431040	(?=.*).*	(бежен)	(европ)
6 June 2022	True	ек предупредила  миллионы украинских беженцев останутся в европе	433176	(?=.*).*	(бежен)	(европ)
6 June 2022	True	там же воевать некому  корнилов объяснил решение европы избавиться от украинских беженцев	433177	(?=.*).*	(бежен)	(европ)
6 June 2022	True	украинским беженцам ужесточили правила нахождения в европе	436463	(?=.*).*	(бежен)	(европ)
28 February 2022	True	взгляд   в европу с украины прибыли более     тыс  беженцев    новости дня	170401	(?=.*).*	(бежен)	(европ)
28 February 2022	True	взгляд   беженцы с украины поразили европу хамством    в мире	170422	(?=.*).*	(бежен)	(европ)
18 July 2022	True	беженцы второго сорта  или расизм в центре европы	493035	(?=.*).*	(бежен)	(европ)
21 February 2022	True	разногласия на межнациональной почве  что грозит европе из за беженцев с украины	413668	(?=.*).*	(бежен)	(европ)
14 March 2022	True	макрон назвал наплыв беженцев из украины крупным вызовом для европы	225589	(?=.*).*	(бежен)	(европ)
21 March 2022	True	украинские беженцы становятся новыми рабами европы	225012	(?=.*).*	(бежен)	(европ)
7 March 2022	True	вы что  совсем    беженцы с украины потрясли европу хамством  признания местных   спецоперация на украине   новости киац   каталог статей	16889	(?=.*).*	(бежен)	(европ)
25 April 2022	True	чехия и австрия выступили против распределения украинских беженцев между странами европы	147854	(?=.*).*	(бежен)	(европ)
25 April 2022	True	патрушев предрек рост украинских беженцев в европе до    миллионов	147845	(?=.*).*	(бежен)	(европ)
7 March 2022	True	в совфеде предупредили европу о голоде  волне беженцев и новом рынке оружия	362639	(?=.*).*	(бежен)	(европ)
14 March 2022	True	сша подставляют европу в ситуации с украинскими беженцами   мид кнр	359987	(?=.*).*	(бежен)	(европ)
25 April 2022	True	приток украинских беженок развивает сексуальную индустрию в европе	352582	(?=.*).*	(бежен)	(европ)
16 May 2022	True	эксперт  конец европе   её заполонят беженцы из африки	350625	(?=.*).*	(бежен)	(европ)
16 May 2022	True	европейцы скоро взбунтуются из за украинских беженцев	349576	(?=.*).*	(бежен)	(европ)
23 May 2022	True	беженцы из украины просят не высылать их в африку из европы	346415	(?=.*).*	(бежен)	(европ)
23 May 2022	True	европу ждёт много личных трагедий из за молодых украинских беженок	349554	(?=.*).*	(бежен)	(европ)
23 May 2022	True	политолог гаспарян  любовь европейцев к украинским беженцам закончится уже скоро	348974	(?=.*).*	(бежен)	(европ)
30 May 2022	True	в европе больше не хотят помогать украинским беженцам	350849	(?=.*).*	(бежен)	(европ)
6 June 2022	True	михеев объяснил  за что украинские беженцы  мстят  европе своими выходками	352482	(?=.*).*	(бежен)	(европ)
20 June 2022	True	европейцы возмущены  скромными  запросами украинских беженцев  дома у моря и бесплатный диснейленд	352757	(?=.*).*	(бежен)	(европ)
11 April 2022	True	медведев пригрозил европе  вонючими кострами из шин  из за украинских беженцев	144889	(?=.*).*	(бежен)	(европ)
16 May 2022	True	сальвини предупредил о возможном наплыве африканских беженцев в европу	158309	(?=.*).*	(бежен)	(европ)
30 May 2022	True	помните  что вы гости   почему украинские беженцы жалуются на европейцев	183971	(?=.*).*	(бежен)	(европ)
30 May 2022	True	идите туда  куда укажут   как западная европа устает от беженцев с украины	185548	(?=.*).*	(бежен)	(европ)
13 June 2022	True	захарова  украинские беженцы раскрыли европе глаза	100678	(?=.*).*	(бежен)	(европ)
7 March 2022	True	европа привечает беженцев с украины  но ставит препоны  небелым	534443	(?=.*).*	(бежен)	(европ)
2 May 2022	True	у европейцев кончились деньги и терпение для беженцев	226358	(?=.*).*	(бежен)	(европ)
31 January 2022	True	нагнетают обстановку  европа и сша готовятся принимать  украинских беженцев    последние новости  россии  украины  сирии и мира  новости новороссии  лнр  днр	17672	(?=.*).*	(бежен)	(европ)
4 April 2022	True	дан грустный прогноз будущего украинских беженцев в европе	139540	(?=.*).*	(бежен)	(европ)
4 April 2022	True	украинские беженцы в европе оказались недовольны приемом и нападают на русских	151712	(?=.*).*	(бежен)	(европ)
30 May 2022	True	всем надоели украинцы   беженец из одессы описал злоключения в европе	151385	(?=.*).*	(бежен)	(европ)
20 June 2022	True	европол обнаружил сеть торговцев людьми  заманивающих украинских беженцев	182832	(?=.*).*	(бежен)	(европ)
27 June 2022	True	относятся как к кошкам  приключение украинских беженцев в европе	174659	(?=.*).*	(бежен)	(европ)
27 June 2022	True	сми  в европе злоумышленники через соцсети торгуют украинскими беженками	185035	(?=.*).*	(бежен)	(европ)
4 July 2022	True	видят в нас дойную корову   что европа поняла про украинских беженцев	185027	(?=.*).*	(бежен)	(европ)
11 July 2022	True	в евросоюзе пересчитали украинских беженцев в странах европы	392301	(?=.*).*	(бежен)	(европ)
16 May 2022	True	двойные стандарты  европу критикуют за двуличное отношение к беженцам	399697	(?=.*).*	(бежен)	(европ)
27 June 2022	True	в европе заметили рост недовольства украинскими беженцами	287341	(?=.*).*	(бежен)	(европ)
27 June 2022	True	в сша рассказали об угрозе для беженок из украины в европе	292267	(?=.*).*	(бежен)	(европ)
27 June 2022	True	в сша рассказали об угрозе для беженок с украины в европе	292241	(?=.*).*	(бежен)	(европ)
25 July 2022	True	в запорожье рассказали о возвращении украинских беженцев из европы	290679	(?=.*).*	(бежен)	(европ)
28 March 2022	True	отправившиеся в европу украинские беженцы вынуждены возвращаться обратно	140147	(?=.*).*	(бежен)	(европ)
4 July 2022	True	видео  украинским беженцам не рады в европе	113187	(?=.*).*	(бежен)	(европ)
30 May 2022	True	пора домой  европа устала от украинских беженцев	226545	(?=.*).*	(бежен)	(европ)
20 June 2022	True	европол выявил сеть торговцев людьми  заманивающих украинских беженцев	238177	(?=.*).*	(бежен)	(европ)
27 June 2022	True	the hill рассказал о серьезных угрозах для украинских беженок в европе	238160	(?=.*).*	(бежен)	(европ)
21 March 2022	True	украинские беженки рискуют оказаться в сексуальном рабстве в европе	320607	(?=.*).*	(бежен)	(европ)
21 March 2022	True	украинские беженцы показали двуличие европы               иносми	318708	(?=.*).*	(бежен)	(европ)
28 March 2022	True	элитный товар   в европе пропадают украинские беженки	319037	(?=.*).*	(бежен)	(европ)
11 April 2022	True	украинские беженцы грозят  взорвать  европу               иносми	320540	(?=.*).*	(бежен)	(европ)
2 May 2022	True	европейские страны  которые приняли больше всего беженцев из украины  наименее подготовлены к этому	318506	(?=.*).*	(бежен)	(европ)
13 June 2022	True	в европе наживаются на украинских беженцах	323281	(?=.*).*	(бежен)	(европ)
20 June 2022	True	украинские беженцы не вынесли жизни в европе  они едут домой	318855	(?=.*).*	(бежен)	(европ)
20 June 2022	True	европа устала от украинских беженцев  но кризис только начинается	323346	(?=.*).*	(бежен)	(европ)
14 March 2022	True	названы опасности для украинских беженцев в европе	138972	(?=.*).*	(бежен)	(европ)
14 March 2022	True	макрон  беженцы из украины стали крупнейшим вызовом для европы	138181	(?=.*).*	(бежен)	(европ)
14 March 2022	True	европе предсказали трудные времена из за наплыва украинских беженцев	136428	(?=.*).*	(бежен)	(европ)
14 March 2022	True	европейцев возмутила агрессия украинских беженцев  драки  хамство  осквернение памятников	141960	(?=.*).*	(бежен)	(европ)
30 May 2022	True	поддержка заканчивается   европа резко сокращает расходы на беженцев с украины	311817	(?=.*).*	(бежен)	(европ)
25 April 2022	True	политик клинцевич  европу разорвут этнические войны украинских беженцев	427852	(?=.*).*	(бежен)	(европ)
2 May 2022	True	монтян  на украине разгорается скандал из за  инспекции  украинских беженцев в европе	413352	(?=.*).*	(бежен)	(европ)
9 May 2022	True	брутер об убийстве поляка украинскими беженцами  в скором времени такие инциденты охватят всю европу	405452	(?=.*).*	(бежен)	(европ)
20 June 2022	True	ецб рассказал  что мешает украинским беженцам найти работу в европе	270776	(?=.*).*	(бежен)	(европ)
4 April 2022	True	совет европы осуждает  повсеместное  выдворение беженцев	358847	(?=.*).*	(бежен)	(европ)
28 February 2022	True	украинские беженцы бегут от боевых действий в центральной европе	28505	(?=.*).*	(бежен)	(европ)
9 May 2022	True	украинские беженцы  как  гости  из незалежной настроили против себя европу	521	(?=.*).*	(бежен)	(европ)
