Week of fetchdate_orig	OR and OR2 and AND filters	title_new	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
14 March 2022	True	франция заморозила активы центробанка на сумму    млрд евро	76888	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
20 June 2022	True	совет федерации наделил президента полномочиями по блокировке счетов и заморозке активов	124671	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 February 2022	True	запад отключит от swift несколько российских банков  активы цб заморозят	189513	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 February 2022	True	президент швейцарии заявил о возможном введении санкций против россии и заморозке российских активов	188178	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
7 March 2022	True	запад заморозил около     млрд российских золотовалютных резервов	186487	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	запад заморозил около     млрд российских золотовалютных резервов и готовит новые санкции	186296	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	франция заморозила активы цб рф на    млрд евро	189232	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 March 2022	True	в чехии заморозили активы российских бизнесменов на миллионы евро	187830	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	силуанов назвал  кражей  заморозку активов россии за рубежом	188007	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
11 April 2022	True	власти острова джерси заморозили активы абрамовича на    млрд	189586	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
16 May 2022	True	лондон заморозил активы  аэрофлота    россии  и  уральских авиалиний	189469	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
23 May 2022	True	reuters  страны евросоюза заморозили активы центробанка россии на сумму около    млрд евро	190211	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 February 2022	True	евросоюз заморозит активы центрального банка россии	81084	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
11 April 2022	True	какие валюты заморозят в любой момент  сказал помощник путина	69264	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	резерв неглубокой заморозки  дефолт отменяется	30878	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
27 June 2022	True	сша за     дней заморозили российские активы общей суммой      млрд	123146	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
11 July 2022	True	в евросоюзе назвали страны лидеры по заморозке российских активов	81574	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
25 April 2022	True	вячеслав володин  зеркальным ответом россии на заморозку резервов за рубежом может быть конфискация активов бизнеса недружественных стран	86881	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
7 March 2022	True	силуанов назвал заморозку резервов цб дефолтом запада по обязательствам перед россией	14712	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	экономист надежда грошева   о заморозке части золотовалютного резерва россии из за санкций	15567	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 February 2022	True	заморозка активов цб рф приведет к  срыву рубля в свободное падение	347512	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 February 2022	True	заморозка активов цб рф приведет к  срыву рубля в свободное падение	347515	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 February 2022	True	монтян  западные  наглые гопники  получат жёсткий ответ на заморозку валютных резервов цб рф	345684	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 March 2022	True	матвиенко  заморозка резервов россии   крупнейшее финансовое преступление в истории человечества	345352	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 March 2022	True	матвиенко  заморозка резервов рф   крупнейшее финансовое преступление в истории человечества	346963	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 March 2022	True	россия нанесла ответный удар западу после заморозки части своих резервов за рубежом	341993	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 March 2022	True	россия приняла ответные меры после заморозки части своих резервов за рубежом	341998	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 March 2022	True	эксперт брагин предрёк заморозку иностранных активов в россии	346338	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	крупнейший оффшор заморозил российские активы	345887	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 February 2022	True	что означает заморозка активов цб рф в феврале и марте      года	53247	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 March 2022	True	франция заморозила активы российских олигархов на     миллионов евро	84818	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 February 2022	True	великобритания вслед за евросоюзом объявила о заморозке активов центробанка	58867	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 July 2022	True	сатановский предложил присвоить британские суда в ответ на заморозку активов	104634	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	что ждет российскую экономику после заморозки золотовалютных резервов  глава минфина озвучил цифру наших потерь	25360	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 February 2022	True	мы отдали свой кошелек противнику и пошли с ним драться   экономист   о заморозке золотовалютных резервов цб	59438	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	экономист подлевских  заморозка резервов поставит рф перед трудным выбором	50994	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	ольге миримской  заморозили  активы на миллиард рублей    компромат ру   compromat ru	29042	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
16 May 2022	True	австрия заморозила активы россиян на сумму     миллиона евро	227402	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
23 May 2022	True	ес заморозил активы российских бизнесменов на сумму десять миллиардов евро	229030	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
23 May 2022	True	италия заморозила имущество россиян  попавших под санкции евросоюза	237728	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
23 May 2022	True	сми  ес заморозил активы банка россии на сумму около    миллиардов евро	224511	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 February 2022	True	япония заморозила активы трех крупных российских банков	525876	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	центробанк рф предотвратит падение рубля валютной  заморозкой	527019	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 March 2022	True	финансист сосновский  заморозка активов россии в сша отразится на многих странах	525326	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 March 2022	True	юшков  заморозка резервов россии лишила ес шансов оспорить рублевые расчеты за газ	525564	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 March 2022	True	сатановский объяснил хитрость запада с заморозкой российских активов без конфискации	525370	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
11 July 2022	True	швейцария к июлю заморозила     миллиарда долларов российских активов	235190	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
11 July 2022	True	в ек назвали страны  заморозившие больше всего российских активов в европе	229567	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
11 July 2022	True	сми  франция  австрия и фрг заморозили больше всего российских активов в ес	229568	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 March 2022	True	италия заморозила активы российских олигархов на     с лишним млн евро	273359	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
23 May 2022	True	ес заморозил    миллиардов евро активов российских бизнесменов	274592	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
7 March 2022	True	силуанов сообщил о заморозке      млрд золотовалютных резервов из за санкций	13861	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	власти франции заморозили активы цб россии на сумму     млрд	70849	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
25 April 2022	True	в нидерландах заморозили российские и белорусские активы на      млн	87026	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	япония намерена запретить поставки угля из россии и заморозить активы  сбербанка	334689	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	евросоюз заморозил активы четырех российских банков	334528	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	cayman compass  финучреждения каймановых островов заморозили связанные с россией активы на сумму около      млрд	332345	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
11 April 2022	True	нидерланды заморозили     млн евро российских активов	334851	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
25 April 2022	True	чтобы запад не дотянулся  экономист объяснил  как спасти золотовалютные резервы россии от заморозки	331966	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
2 May 2022	True	дали сдачи  что мало не покажется  как россия отвечает западу на заморозку резервов	335013	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
16 May 2022	True	сми  заморозка российских активов подорвала доверие к сша в экономическом мире	158682	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
23 May 2022	True	они не верили в россию  почему заморозка активов российских олигархов   урок  а не трагедия	426375	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 February 2022	True	евросоюз хотел бы заморозить активы путина  но они в банке  россия	94934	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
