fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
27/02/2022 00:00:00	amic.ru	https://www.amic.ru/news/politika/strany-zapada-dogovorilis-ob-otklyuchenii-rossiyskih-bankov-ot-swift	страны запада договорились об отключении российских банков от swift	True	81098	(?=.*).*	(swift)	()
12/02/2022 00:00:00	anna-news.info	https://anna-news.info/evrosoyuz-i-ssha-ne-budut-otklyuchat-rossiyu-ot-swift-dazhe-v-sluchae-vtorzheniya-na-ukrainu/	евросоюз и сша не будут отключать россию от swift даже в случае  вторжения  на украину	True	72357	(?=.*).*	(swift)	()
11/06/2022 00:00:00	anna-news.info	https://anna-news.info/evropol-i-tsru-godami-sledyat-za-tranzaktsiyami-swift/	европол и цру годами следят за транзакциями swift	True	106255	(?=.*).*	(swift)	()
17/01/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/490835	handelsblatt  сша и ес исключили возможность отключения рф от swift	True	185780	(?=.*).*	(swift)	()
24/01/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/491328	германия отказалась отключать россию от swift	True	188753	(?=.*).*	(swift)	()
29/01/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/491774	лидер немецких консерваторов предостерег от отключения россии от swift	True	186421	(?=.*).*	(swift)	()
04/02/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/492218	эксперты из сша усомнились в возможности полноценной замены swift российской системой	True	186343	(?=.*).*	(swift)	()
26/02/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/493935	зеленский заявил о согласовании европой отключения рф от swift	True	188134	(?=.*).*	(swift)	()
27/02/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/493947	запад отключит от swift несколько российских банков  активы цб заморозят	True	189513	(?=.*).*	(swift)	()
27/02/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/493953	джонсон  отключение от swift    первый шаг  по отстранению россии от финсистемы мира	True	189523	(?=.*).*	(swift)	()
27/02/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/493955	nbc  swift готовится исполнить решение стран европы о санкциях после  правового распоряжения	True	189522	(?=.*).*	(swift)	()
27/02/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/493957	cnn рассказал о проблемах  которые создаст отключение российских банков от swift европы	True	187007	(?=.*).*	(swift)	()
12/03/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/495049	от swift сегодня отключают санкционные российские банки	True	186370	(?=.*).*	(swift)	()
01/04/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/496635	курс на индию  москва предложила дели скидку на нефть  также страны создали аналог swift	True	185978	(?=.*).*	(swift)	()
01/05/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/499037	нефтяное эмбарго и отключение сбербанка от swift  евросоюз обсуждает шестой пакет санкций	True	190549	(?=.*).*	(swift)	()
03/06/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/501463	под санкции ес попали волож и навка  сбербанк и россельхозбанк отключают от swift	True	191478	(?=.*).*	(swift)	()
06/06/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/501631	какова ситуация в россии со swift переводами в евро	True	191371	(?=.*).*	(swift)	()
06/06/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/501655	осторожные переводы  на каких условиях из россии отправляют евро через систему swift	True	191170	(?=.*).*	(swift)	()
14/06/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/502174	европейский союз с    июня отключает от swift ряд российских банков	True	185731	(?=.*).*	(swift)	()
30/06/2022 00:00:00	bfm.ru	https://www.bfm.ru/news/503467	известия   на российский рынок такси выйдет новый игрок   swiftdrive	True	190687	(?=.*).*	(swift)	()
12/02/2022 00:00:00	bk55.ru	https://www.bk55.ru/news/article/198749/	россию окончательно передумали отключать от swift  однако санкции для втб и сбербанка все равно будут	True	70892	(?=.*).*	(swift)	()
30/12/2021 00:00:00	bloknot.ru	https://bloknot.ru/e-konomika/postradayut-vse-v-tom-chisle-evropa-chto-takoe-sistema-swift-i-chto-grozit-rossii-esli-ee-otklyuchat-862066.html	пострадают все  в том числе европа   что такое система swift и что грозит россии  если ее отключат	True	79100	(?=.*).*	(swift)	()
27/02/2022 00:00:00	bloknot.ru	https://bloknot.ru/politika/strany-es-i-ssha-prinyali-reshenie-otklyuchit-ot-swift-popavshie-pod-sanktsii-rossijskie-banki-892697.html	страны ес и сша приняли решение отключить от swift попавшие под санкции российские банки	True	81047	(?=.*).*	(swift)	()
13/02/2022 00:00:00	deita.ru	https://deita.ru/article/510986	запад отказался от планов отключения россии от swift   сми	True	73072	(?=.*).*	(swift)	()
25/02/2022 00:00:00	dni.ru	https://dni.ru/ukraine/2022/2/25/500191.html	аналитик рассказал о последствиях отключения россии от swift   новости  подробности  комментарии    спецоперация на украине    дни ру	True	192254	(?=.*).*	(swift)	()
27/02/2022 00:00:00	dni.ru	https://dni.ru/ukraine/2022/2/27/500292.html	спецоперация на украине  не все российские банки отключат от swift  сводки  последние новости  подробности  война на украине          спецоперация на украине    дни ру	True	192248	(?=.*).*	(swift)	()
02/02/2022 00:00:00	forbes.ru	https://www.forbes.ru/investicii/454325-eksperty-predskazali-dollar-po-100-rublej-v-slucae-otklucenia-rossii-ot-swift	эксперты предсказали доллар по     рублей в случае отключения россии от swift	True	9374	(?=.*).*	(swift)	()
27/02/2022 00:00:00	forbes.ru	https://www.forbes.ru/finansy/457225-otklucenie-swift-i-paralic-aktivov-cb-cem-grozat-novye-zapadnye-sankcii	отключение swift и  паралич  активов цб  чем грозят новые западные санкции	True	25874	(?=.*).*	(swift)	()
24/02/2022 00:00:00	hronika.info	https://hronika.info/mir/789308-bajden-obyavil-sankczii-protiv-rf-swift-prodolzhit-rabotat/	байден объявил санкции против рф  swift продолжит работать hronika info	True	30871	(?=.*).*	(swift)	()
18/01/2022 00:00:00	i38.ru	https://i38.ru/pervaya-ekonomika/ekonomist-vyacheslav-chuprov-prokommentiroval-posledstviya-otkliucheniya-rossii-ot-sistemi-swift	экономист сергей чупров прокомментировал последствия отключения россии от системы swift	True	123766	(?=.*).*	(swift)	()
30/12/2021 00:00:00	info.sibnet.ru	https://info.sibnet.ru/article/606777/	силуанов объяснил невозможность отключения россии от swift   экономика	True	77228	(?=.*).*	(swift)	()
17/01/2022 00:00:00	info.sibnet.ru	https://info.sibnet.ru/article/607907/	отключение россии от swift в фрг сравнили с атомной бомбой	True	1951	(?=.*).*	(swift)	()
17/01/2022 00:00:00	info.sibnet.ru	https://info.sibnet.ru/article/607907/	отключение россии от swift в фрг сравнили с атомной бомбой   экономика	True	1950	(?=.*).*	(swift)	()
12/02/2022 00:00:00	info.sibnet.ru	https://info.sibnet.ru/article/610141/	запад отказался от идеи отключения россии от swift	True	71371	(?=.*).*	(swift)	()
26/02/2022 00:00:00	info.sibnet.ru	https://info.sibnet.ru/article/611319/	премьер италии поддержал отключение россии от swift	True	28411	(?=.*).*	(swift)	()
31/05/2022 00:00:00	info.sibnet.ru	https://info.sibnet.ru/article/618049/	евросоюз отключит сбербанк от swift	True	110436	(?=.*).*	(swift)	()
14/06/2022 00:00:00	info.sibnet.ru	https://info.sibnet.ru/article/619021/	евросоюз отключит ряд российских банков от swift	True	693	(?=.*).*	(swift)	()
04/05/2022 00:00:00	infox.ru	https://www.infox.ru/news/303/273906-sestoj-paket-sankcij-es-otklucit-sberbank-ot-swift	шестой пакет санкций ес отключит сбербанк от swift	True	70688	(?=.*).*	(swift)	()
06/05/2022 00:00:00	infox.ru	https://www.infox.ru/news/304/274068-tinkoff-bank-priostanovil-swift-perevody-v-evro	тинькофф банк приостановил swift переводы в евро	True	4367	(?=.*).*	(swift)	()
08/07/2022 00:00:00	infox.ru	https://www.infox.ru/news/304/277930-swift-podorozal-gazprombank-uvelicil-komissiu-v-razy	swift подорожал  газпромбанк увеличил комиссию в разы	True	77603	(?=.*).*	(swift)	()
