id,Topic,Words,Frequency,Timestamp
20,19,"ядерный, ядерный оружие, оружие, война, аэс",65,2021-12-25 18:47:31.200
223,19,"ядерный, ядерный оружие, заявление, совместный, оружие",258,2022-01-02 05:36:00.000
422,19,"ядерный, ядерный оружие, атомный, бомба, отключение россия",75,2022-01-09 11:12:00.000
624,19,"ядерный, ядерный оружие, оружие, атомный, размещение",70,2022-01-16 16:48:00.000
831,19,"ядерный, ядерный оружие, оружие, атомный, применение",76,2022-01-23 22:24:00.000
1053,19,"ядерный, ядерный оружие, оружие, атомный, двуличие",103,2022-01-31 04:00:00.000
1271,19,"ядерный, ядерный оружие, атомный, оружие, парень",82,2022-02-07 09:36:00.000
1486,19,"ядерный, ядерный оружие, оружие, атомный, статус",208,2022-02-14 15:12:00.000
1706,19,"ядерный, ядерный оружие, оружие, оружие украина, оружие сша",228,2022-02-21 20:48:00.000
1933,19,"ядерный, ядерный оружие, оружие, аэс, атомный",228,2022-03-01 02:24:00.000
2157,19,"ядерный, ядерный оружие, оружие, топливо, верить",124,2022-03-08 08:00:00.000
2377,19,"ядерный, ядерный оружие, оружие, атомный, мочь использовать",105,2022-03-15 13:36:00.000
2598,19,"ядерный, ядерный оружие, оружие, применение, атомный",122,2022-03-22 19:12:00.000
2819,19,"ядерный, ядерный оружие, оружие сша, оружие, польша",114,2022-03-30 00:48:00.000
3045,19,"ядерный, ядерный оружие, оружие, трамп, материал",71,2022-04-06 06:24:00.000
3266,19,"ядерный, ядерный оружие, оружие, применение, оружие украина",53,2022-04-13 12:00:00.000
3488,19,"ядерный, ядерный оружие, оружие, война, применение",136,2022-04-20 17:36:00.000
3714,19,"ядерный, ядерный оружие, оружие, война, шантаж",132,2022-04-27 23:12:00.000
3941,19,"ядерный, ядерный оружие, оружие, оружие украина, применение",150,2022-05-05 04:48:00.000
4162,19,"ядерный, ядерный оружие, оружие, размещение, испытание",84,2022-05-12 10:24:00.000
4387,19,"ядерный, ядерный оружие, запорожский аэс, магатэ, аэс",74,2022-05-19 16:00:00.000
4605,19,"ядерный, ядерный оружие, оружие, применить, рогозин",69,2022-05-26 21:36:00.000
4832,19,"ядерный, ядерный оружие, испытание, кндр, оружие",66,2022-06-03 03:12:00.000
5054,19,"ядерный, ядерный оружие, оружие, применение, война",190,2022-06-10 08:48:00.000
5271,19,"ядерный, ядерный оружие, оружие, бомба, применение",102,2022-06-17 14:24:00.000
5499,19,"ядерный, ядерный оружие, оружие, лукашенко, атомный",106,2022-06-24 20:00:00.000
5723,19,"ядерный, ядерный оружие, война европа, оружие, война",56,2022-07-02 01:36:00.000
5943,19,"ядерный, ядерный оружие, нью йорк, йорк, нью",83,2022-07-09 07:12:00.000
6162,19,"ядерный, ядерный оружие, война, лукашенко, атомный",58,2022-07-16 12:48:00.000
6381,19,"ядерный, ядерный оружие, оружие, удар, отражение",43,2022-07-23 18:24:00.000
