id,Topic,Words,Frequency,Timestamp
321,124,"the new, любимый, new, общество иносми, иносми",1,2022-01-02 05:36:00.000
728,124,"партизан, странный, уходить, спецназ, законопроект",1,2022-01-16 16:48:00.000
934,124,"заявить стремление, националист, стремление, обеспокоить, национальный",2,2022-01-23 22:24:00.000
1157,124,"назвать способ, националист, кедй, одесса, способ",1,2022-01-31 04:00:00.000
1372,124,"мигрант, участвовать, говорить, нападение, националист",1,2022-02-07 09:36:00.000
1810,124,"националист, мариуполь, минобороны, взгляд минобороны, житель мариуполь",22,2022-02-21 20:48:00.000
2037,124,"националист, мариуполь, житель мариуполь, живой щит, мариуполь националист",51,2022-03-01 02:24:00.000
2260,124,"националист, мариуполь, житель мариуполь, сотня тысяча, мо",30,2022-03-08 08:00:00.000
2480,124,"националист, мариуполь, провокация, минобороны, мариуполь националист",23,2022-03-15 13:36:00.000
2699,124,"националист, мариуполь, мариуполь националист, азов, азовсталь",25,2022-03-22 19:12:00.000
2924,124,"националист, мариуполь, мариуполь националист, живой щит, житель мариуполь",31,2022-03-30 00:48:00.000
3148,124,"националист, мариуполь, мариуполь рассказать, жительница мариуполь, харьков",22,2022-04-06 06:24:00.000
3368,124,"националист, мариуполь, азовсталь, появиться кадр, мариуполь националист",35,2022-04-13 12:00:00.000
3593,124,"националист, азовсталь, мариуполь, мариуполь националист, житель мариуполь",29,2022-04-20 17:36:00.000
3818,124,"националист, азовсталь, прорваться, мариуполь, нм днр",27,2022-04-27 23:12:00.000
4043,124,"националист, азовсталь, сложить оружие, мариуполь, сложить",23,2022-05-05 04:48:00.000
4266,124,"националист, азовсталь, оценить действие, сдаваться, огневой",15,2022-05-12 10:24:00.000
4489,124,"националист, азовсталь, сдаться, состоять, мариуполь",17,2022-05-19 16:00:00.000
4710,124,"националист, азовсталь, обстреливать, сжечь, форма",17,2022-05-26 21:36:00.000
4934,124,"националист, политолог роман, донбасс политолог, скрываться, террор",5,2022-06-03 03:12:00.000
5155,124,"националист, позиция, угол, партизан, прятаться",9,2022-06-10 08:48:00.000
5376,124,"националист, харьков, мо, мо рф, грабёж",10,2022-06-17 14:24:00.000
5601,124,"националист, уничтожить, одиночка, национализм, рядовой",6,2022-06-24 20:00:00.000
5827,124,"националист, профсоюз, одесский, огонь, участник",4,2022-07-02 01:36:00.000
6047,124,"националист, симоньян, размещение, рассказать готовиться, нанести",18,2022-07-09 07:12:00.000
6264,124,"националист, рогов, нм днр, правый, размещать",5,2022-07-16 12:48:00.000
6483,124,"националист, рот, пленный, внезапный, власть днр",4,2022-07-23 18:24:00.000
