id,Topic,Words,Frequency,Timestamp
96,96,"наградить, вручить, награда, победитель, всероссийский",2,2021-12-25 18:47:31.200
116,117,"похороны, оплатить, челны, мэрия, виновник",2,2021-12-25 18:47:31.200
300,96,"наградить, токай, погибнуть, силовик, беспорядок",4,2022-01-02 05:36:00.000
315,117,"семья, компенсация, иран, погибнуть, миллион доллар",6,2022-01-02 05:36:00.000
389,213,"откреститься, военный служба, увольнение, оппозиция, расширить",2,2022-01-02 05:36:00.000
496,96,"наградить, вручить, медаль, токай, спасение",2,2022-01-09 11:12:00.000
513,117,"семья, подарок, налог, ветеран, погибнуть",11,2022-01-09 11:12:00.000
590,213,"внести госдума, инвалид, льгота, участник, внести",1,2022-01-09 11:12:00.000
700,96,"присвоить, звание, герой, труд, алексей",8,2022-01-16 16:48:00.000
721,117,"ветеран великий отечественный, ветеран великий, лдпр, великий отечественный война, отечественный война",1,2022-01-16 16:48:00.000
800,213,"санаторий, проезд, уточнить, уволить, бесплатный",1,2022-01-16 16:48:00.000
907,96,"заслуга, медаль, родственник, липецкий область, погибший",1,2022-01-23 22:24:00.000
927,117,"семья, россиянка, погибший, казахстан, оказание помощь",5,2022-01-23 22:24:00.000
1015,213,"проезд, лечение, уточнить, бесплатный, уволить",10,2022-01-23 22:24:00.000
1130,96,"герой, наградить, вручить, герой россия, награда",5,2022-01-31 04:00:00.000
1151,117,"семья, оказать, погибший, солдат, срочник",5,2022-01-31 04:00:00.000
1238,213,"проезд, бесплатный, ветеран, санаторий, военный служба",3,2022-01-31 04:00:00.000
1348,96,"наградить, оренбуржье, победитель, всероссийский, преступник",2,2022-02-07 09:36:00.000
1366,117,"семья, выплата, ветеран, a, погибнуть",10,2022-02-07 09:36:00.000
1452,213,"ветеран, лечиться, разрешать, внести законопроект, уточнить",2,2022-02-07 09:36:00.000
1562,96,"орден, наградить, шахта, герой, шестеро",11,2022-02-14 15:12:00.000
1580,117,"семья, выплатить, компенсация, млн доллар, выделить миллион",5,2022-02-14 15:12:00.000
1670,213,"ветеран, прокурор, чечня, статус, путин подписать закон",1,2022-02-14 15:12:00.000
1783,96,"наградить, орден, шестеро, предоставлять, почётный",2,2022-02-21 20:48:00.000
1803,117,"семья, военнослужащий, выплата, погибнуть, погибнуть украина",6,2022-02-21 20:48:00.000
1897,213,"ветеран, участник спецоперация, участник спецоперация украина, участник, статус",14,2022-02-21 20:48:00.000
2010,96,"герой россия, присвоить, звание, герой, наградить",39,2022-03-01 02:24:00.000
2031,117,"семья, погибнуть, погибнуть украина, выплата, выплатить",67,2022-03-01 02:24:00.000
2233,96,"наградить, орден, вручить, герой, награда",45,2022-03-08 08:00:00.000
2253,117,"семья, погибнуть, погибнуть украина, выплатить, млн",10,2022-03-08 08:00:00.000
2344,213,"участник спецоперация украина, участник спецоперация, ветеран, боевой действие, участник",9,2022-03-08 08:00:00.000
2453,96,"наградить, вручить, награда, орден, герой",21,2022-03-15 13:36:00.000
2473,117,"семья, выплата, погибнуть, украина военный, погибнуть украина",6,2022-03-15 13:36:00.000
2563,213,"ветеран, участник спецоперация, участник, участник спецоперация украина, боевой действие",15,2022-03-15 13:36:00.000
2674,96,"наградить, вручить, орден, герой, медаль",25,2022-03-22 19:12:00.000
2692,117,"семья, погибнуть, погибнуть украина, выплата, военнослужащий",16,2022-03-22 19:12:00.000
