id,Topic,Words,Frequency,Timestamp
373,194,"алма ата, ата, алма, освободить, зачистка",2,2022-01-02 05:36:00.000
574,194,"зачистка, токай, полный, hronika, hronika info",1,2022-01-09 11:12:00.000
1651,194,"активист, освободить, герой россия, алексей, казань",1,2022-02-14 15:12:00.000
1879,194,"освободить, освобождение, начало операция, оккупировать, населить пункт",3,2022-02-21 20:48:00.000
2104,194,"освободить, освобождение, населить пункт, населить, националист",10,2022-03-01 02:24:00.000
2326,194,"освободить, волноваха, освобождение, минобороны россия, кадыров",9,2022-03-08 08:00:00.000
2545,194,"кадыров, освободить, освобождение, мариуполь, бандеровец",17,2022-03-15 13:36:00.000
2765,194,"освобождение, кадыров, кадыров заявить, освободить, мариуполь",19,2022-03-22 19:12:00.000
2989,194,"освободить, кадыров, освобождение, кадыров заявить, мариуполь",11,2022-03-30 00:48:00.000
3212,194,"освободить, освобождение, кадыров, кадыров заявить, мариуполь",6,2022-04-06 06:24:00.000
3435,194,"освобождение, освободить, кадыров, кадыров заявить, азовсталь",12,2022-04-13 12:00:00.000
3657,194,"кадыров, освобождение, взятие, рубежный, освободить",8,2022-04-20 17:36:00.000
3886,194,"попасная, кадыров, освобождение, освободить, полностью",6,2022-04-27 23:12:00.000
4108,194,"освобождение, кадыров, кадыров заявить, освободить, попасная",13,2022-05-05 04:48:00.000
4331,194,"освобождение, территория донбасс, кадыров рассказать, освободить, кириенко",2,2022-05-12 10:24:00.000
4551,194,"освобождение, освободить, полностью, азовсталь, кадыров",14,2022-05-19 16:00:00.000
4779,194,"освобождение, освободить, красный, кадыров, кадыров заявить",22,2022-05-26 21:36:00.000
4999,194,"освобождение, освободить, кадыров, зачистка, завершать",13,2022-06-03 03:12:00.000
5220,194,"освобождение, кадыров, кадыров заявить, освободить, заявить полный",8,2022-06-10 08:48:00.000
5442,194,"кадыров, освобождение, золотой, кадыров заявить, освободить",34,2022-06-17 14:24:00.000
5668,194,"освобождение, освободить, кадыров, северодонецк, лисичанск",17,2022-06-24 20:00:00.000
5887,194,"освободить, освобождение, лисичанск, кадыров, кадыров заявить",12,2022-07-02 01:36:00.000
6108,194,"освобождение, освободить, николаев, батальон, союзник",3,2022-07-09 07:12:00.000
6329,194,"рогов, освобождение, региональный, войско украина, администрация",1,2022-07-16 12:48:00.000
6545,194,"освободить, народный милиция лнр, милиция лнр, прорыв, союзный",3,2022-07-23 18:24:00.000
