id,Topic,Words,Frequency,Timestamp
2,1,"гуманитарный помощь, гуманитарный, тонна, беженец, куба",50,2021-12-25 18:47:31.200
205,1,"добровольный, алма ата, ата, алма, генконсульство",19,2022-01-02 05:36:00.000
404,1,"эвакуировать, беженец, эвакуация, сибирь, житель сша",45,2022-01-09 11:12:00.000
606,1,"беженец, эвакуировать, гуманитарный, гуманитарный помощь, минирование",52,2022-01-16 16:48:00.000
813,1,"беженец, эвакуация, гуманитарный, гуманитарный помощь, помощь",98,2022-01-23 22:24:00.000
1035,1,"беженец, эвакуировать, беженец украина, минирование, гуманитарный",100,2022-01-31 04:00:00.000
1253,1,"беженец, обсе, эвакуация, беженец украина, покидать",117,2022-02-07 09:36:00.000
1468,1,"беженец, беженец донбасс, донбасс, эвакуировать, эвакуация",1655,2022-02-14 15:12:00.000
1688,1,"беженец, беженец донбасс, гуманитарный, донбасс, гуманитарный помощь",1368,2022-02-21 20:48:00.000
1915,1,"беженец, гуманитарный, гуманитарный помощь, помощь, беженец донбасс",722,2022-03-01 02:24:00.000
2139,1,"беженец, гуманитарный, гуманитарный помощь, беженец донбасс, помощь",541,2022-03-08 08:00:00.000
2359,1,"беженец, гуманитарный помощь, гуманитарный, тонна, помощь",484,2022-03-15 13:36:00.000
2580,1,"беженец, гуманитарный, гуманитарный помощь, помощь, тонна",582,2022-03-22 19:12:00.000
2801,1,"беженец, гуманитарный, гуманитарный помощь, беженец донбасс, эвакуировать",480,2022-03-30 00:48:00.000
3027,1,"беженец, гуманитарный, гуманитарный помощь, эвакуировать, украинский беженец",462,2022-04-06 06:24:00.000
3248,1,"беженец, гуманитарный, гуманитарный помощь, тонна, беженец донбасс",370,2022-04-13 12:00:00.000
3470,1,"беженец, гуманитарный, гуманитарный помощь, беженец донбасс, эвакуация",441,2022-04-20 17:36:00.000
3696,1,"беженец, гуманитарный, гуманитарный помощь, эвакуировать, эвакуация",570,2022-04-27 23:12:00.000
3923,1,"беженец, эвакуировать, эвакуация, гуманитарный, азовсталь",332,2022-05-05 04:48:00.000
4144,1,"беженец, гуманитарный, эвакуировать, эвакуация, украинский беженец",289,2022-05-12 10:24:00.000
4369,1,"беженец, украинский беженец, гуманитарный, беженка, эвакуировать",302,2022-05-19 16:00:00.000
4587,1,"беженец, украинский беженец, гуманитарный, гуманитарный помощь, помощь",399,2022-05-26 21:36:00.000
4814,1,"беженец, украинский беженец, гуманитарный, гуманитарный помощь, помощь",269,2022-06-03 03:12:00.000
5036,1,"беженец, украинский беженец, гуманитарный, донбасс, помощь",210,2022-06-10 08:48:00.000
5253,1,"беженец, украинский беженец, гуманитарный, помощь, гуманитарный помощь",262,2022-06-17 14:24:00.000
5481,1,"беженец, украинский беженец, гуманитарный, гуманитарный помощь, помощь",275,2022-06-24 20:00:00.000
5705,1,"беженец, украинский беженец, гуманитарный, гуманитарный помощь, эвакуировать",168,2022-07-02 01:36:00.000
5925,1,"беженец, гуманитарный, гуманитарный помощь, помощь, украинский беженец",168,2022-07-09 07:12:00.000
6144,1,"беженец, украинский беженец, гуманитарный, гуманитарный помощь, гумпомощь",192,2022-07-16 12:48:00.000
6363,1,"беженец, гуманитарный, украинский беженец, гуманитарный помощь, помощь",206,2022-07-23 18:24:00.000
