id,Topic,Words,Frequency,Timestamp
1030,229,"заморозить, путин президент, актив, банк россия, держать",1,2022-01-23 22:24:00.000
1910,229,"заморозить, актив, резерв, заморозка, центробанк",26,2022-02-21 20:48:00.000
2135,229,"заморозить, цб рф, актив, цб, заморозка",2,2022-03-01 02:24:00.000
2355,229,"заморозить, резерв, силуановый, млрд, актив",23,2022-03-08 08:00:00.000
2576,229,"заморозок, рассказать последствие, актив, эксперт рассказать, заморозить",1,2022-03-15 13:36:00.000
2796,229,"заморозить, актив, люксембург, млрд евро, млрд",12,2022-03-22 19:12:00.000
3022,229,"заморозить, актив, млн евро, заморозка, резерв",13,2022-03-30 00:48:00.000
3243,229,"заморозить, актив, млрд, остров, млрд евро",28,2022-04-06 06:24:00.000
3466,229,"заморозить, заморозка, актив, резерв, цб рф",4,2022-04-13 12:00:00.000
3691,229,"заморозить, резерв, актив, сумма, заморозка",6,2022-04-20 17:36:00.000
3919,229,"заморозка, актив, заморозить, резерв, деструктивный",7,2022-04-27 23:12:00.000
4139,229,"заморозить, актив, российский белорусский, млн евро, ес против россия",2,2022-05-05 04:48:00.000
4365,229,"заморозка, актив, резерв, проголосовать, заморозить",2,2022-05-12 10:24:00.000
4582,229,"заморозить, актив, сумма, евро, млрд",32,2022-05-19 16:00:00.000
4810,229,"актив, заморозить, заморозок, мишустин, заморозка",6,2022-05-26 21:36:00.000
5030,229,"заморозить, актив, канада, заблокировать, сумма",11,2022-06-03 03:12:00.000
5247,229,"заморозить, костин, актив, миллиард доллар, втб",1,2022-06-10 08:48:00.000
5475,229,"заморозить, ирландия, актив, млрд евро, сумма",4,2022-06-17 14:24:00.000
5700,229,"актив, заморозить, заморозка, млрд, сумма",13,2022-06-24 20:00:00.000
5919,229,"заморозка, дать совет, актив, финансист, столкнуться",1,2022-07-02 01:36:00.000
6138,229,"заморозить, актив, часть российский, больший часть, недовольный",2,2022-07-09 07:12:00.000
6359,229,"актив, заморозить, назвать страна, весь российский, сумма",6,2022-07-16 12:48:00.000
6574,229,"заморозить, резерв, любой, страна лавров, ес сша",4,2022-07-23 18:24:00.000
