id,Topic,Words,Frequency,Timestamp
93,93,"заинтересоваться, система пво, пво, иностранный, система",1,2021-12-25 18:47:31.200
297,93,"магазин, покинуть, город, донецк, который",1,2022-01-02 05:36:00.000
493,93,"давить, внешний, российский рынок, фон, рынок",1,2022-01-09 11:12:00.000
697,93,"компания, аксёнов заявить, россия пройти, российский рынок, доставка",4,2022-01-16 16:48:00.000
904,93,"комфортный, зарубежный, бизнес, предпринимать, компания",9,2022-01-23 22:24:00.000
1127,93,"бренд, преимущество, иметь, кофе, международный",3,2022-01-31 04:00:00.000
1345,93,"россия работать, связь россия, русскоязычный, модель, мали",2,2022-02-07 09:36:00.000
1559,93,"приморский, взгляд российский, конкретный, приморский край, российский рынок",2,2022-02-14 15:12:00.000
1780,93,"отнестись, понимание, компания, бизнес, западный компания",16,2022-02-21 20:48:00.000
2007,93,"компания, уход, западный компания, бренд, российский рынок",38,2022-03-01 02:24:00.000
2230,93,"компания, западный компания, бренд, уход, уходить",105,2022-03-08 08:00:00.000
2450,93,"компания, западный компания, западный, компания россия, бренд",58,2022-03-15 13:36:00.000
2671,93,"компания, западный компания, бренд, западный, уход",45,2022-03-22 19:12:00.000
2893,93,"компания, бренд, западный компания, уход, западный",19,2022-03-30 00:48:00.000
3119,93,"бренд, западный компания, компания, уход, западный",35,2022-04-06 06:24:00.000
3339,93,"бренд, одежда, компания, западный компания, западный",16,2022-04-13 12:00:00.000
3562,93,"компания, спокойно, западный компания, бренд, иностранный",43,2022-04-20 17:36:00.000
3788,93,"западный компания, уход, уход россия, компания, западный",26,2022-04-27 23:12:00.000
4014,93,"бренд, компания, уход, зарубежный, западный",18,2022-05-05 04:48:00.000
4236,93,"бренд, компания, уход, западный, западный компания",11,2022-05-12 10:24:00.000
4461,93,"компания, уход, бренд, западный компания, компания россия",39,2022-05-19 16:00:00.000
4679,93,"бренд, компания, уйти, уход, западный",10,2022-05-26 21:36:00.000
4904,93,"компания, западный компания, пожалеть, уход, уход россия",23,2022-06-03 03:12:00.000
5126,93,"компания, западный компания, вернуться, уход, западный",24,2022-06-10 08:48:00.000
5345,93,"бренд, компания, западный, западный компания, пмэф",13,2022-06-17 14:24:00.000
5572,93,"западный компания, компания, западный, бренд, уход",29,2022-06-24 20:00:00.000
5797,93,"компания, бренд, российский рынок, уход, западный",16,2022-07-02 01:36:00.000
6016,93,"уход, уход россия, западный компания, компания, бренд",11,2022-07-09 07:12:00.000
6234,93,"уход, западный компания, компания, уход россия, западный",27,2022-07-16 12:48:00.000
6453,93,"уход россия, уход, убыток, млрд евро, компания",23,2022-07-23 18:24:00.000
