id,Topic,Words,Frequency,Timestamp
8,7,"ямал, мощность, европа, газпром, газ",195,2021-12-25 18:47:31.200
23,22,"северный поток, поток, северный, вода, остаться",138,2021-12-25 18:47:31.200
211,7,"газ, европа, европа мочь, цена газ, месяц",65,2022-01-02 05:36:00.000
226,22,"северный поток, поток, северный, вода, остаться",100,2022-01-02 05:36:00.000
410,7,"газ, европа, новак, поставка газ, хранилище",150,2022-01-09 11:12:00.000
425,22,"северный поток, поток, северный, вода, запуск",144,2022-01-09 11:12:00.000
612,7,"газ, европа, цена газ, российский газ, еврокомиссия",115,2022-01-16 16:48:00.000
627,22,"северный поток, поток, северный, вода, свет",169,2022-01-16 16:48:00.000
819,7,"газ, европа, российский газ, хранилище, поставка газ",217,2022-01-23 22:24:00.000
834,22,"северный поток, поток, северный, вода, запад новость день",88,2022-01-23 22:24:00.000
1041,7,"газ, европа, поставка газ, ямал, российский газ",224,2022-01-31 04:00:00.000
1056,22,"северный поток, поток, северный, вода, северо",108,2022-01-31 04:00:00.000
1259,7,"газ, европа, российский газ, ямал, мощность",148,2022-02-07 09:36:00.000
1274,22,"северный поток, поток, северный, вода, запад новость день",88,2022-02-07 09:36:00.000
1474,7,"газ, европа, российский газ, газ россия, цена газ",147,2022-02-14 15:12:00.000
1489,22,"вода, северный поток, поток, северный, остаться",95,2022-02-14 15:12:00.000
1694,7,"газ, европа, российский газ, цена газ, цена",130,2022-02-21 20:48:00.000
1709,22,"северный поток, поток, вода, северный, северо",280,2022-02-21 20:48:00.000
1921,7,"газ, цена газ, европа, российский газ, цена",201,2022-03-01 02:24:00.000
1936,22,"вода, северный поток, северо, поток, северный",75,2022-03-01 02:24:00.000
2145,7,"газ, европа, российский газ, цена газ, отказ",132,2022-03-08 08:00:00.000
2160,22,"вода, северо, запад новость день, запад новость, северный поток",52,2022-03-08 08:00:00.000
2365,7,"газ, европа, российский газ, заменить, цена газ",52,2022-03-15 13:36:00.000
2380,22,"вода, северо, северный поток, поток, северный",56,2022-03-15 13:36:00.000
2586,7,"газ рубль, газ, рубль, российский газ, оплата",773,2022-03-22 19:12:00.000
2601,22,"вода, северо, северный поток, поток, северный",86,2022-03-22 19:12:00.000
2807,7,"газ, газ рубль, оплата, российский газ, оплата газ",411,2022-03-30 00:48:00.000
2822,22,"северо, северный поток, вода, поток, северный",42,2022-03-30 00:48:00.000
3033,7,"газ, российский газ, газ рубль, европа, оплата",130,2022-04-06 06:24:00.000
3048,22,"вода, запад новость день, запад новость, северо, северо запад",35,2022-04-06 06:24:00.000
3254,7,"газ рубль, газ, российский газ, оплата, оплата газ",186,2022-04-13 12:00:00.000
3269,22,"северо, вода, запад новость день, запад новость, остаться",35,2022-04-13 12:00:00.000
3476,7,"газ, российский газ, газ рубль, оплата, европа",215,2022-04-20 17:36:00.000
3491,22,"запад новость день, запад новость, северо запад, северо, северный поток",24,2022-04-20 17:36:00.000
3702,7,"газ, российский газ, газ рубль, оплата, европа",269,2022-04-27 23:12:00.000
3717,22,"северный поток, вода, поток, северный, северо",80,2022-04-27 23:12:00.000
3929,7,"газ, российский газ, европа, оплата, оплата газ",146,2022-05-05 04:48:00.000
3944,22,"вода, северо, запад новость день, запад новость, северный поток",45,2022-05-05 04:48:00.000
4150,7,"российский газ, газ, оплата, газ рубль, европа",136,2022-05-12 10:24:00.000
4165,22,"северный поток, поток, северный, запад новость день, запад новость",40,2022-05-12 10:24:00.000
4375,7,"газ, российский газ, газ рубль, европа, оплата",118,2022-05-19 16:00:00.000
4390,22,"вода, запад новость день, запад новость, северо, северо запад",26,2022-05-19 16:00:00.000
4593,7,"газ, газ рубль, российский газ, европа, оплата газ",117,2022-05-26 21:36:00.000
4608,22,"вода, запад новость день, запад новость, северный поток, поток",40,2022-05-26 21:36:00.000
4820,7,"газ, российский газ, европа, газ рубль, поставка",97,2022-06-03 03:12:00.000
4835,22,"запад новость день, запад новость, северо, северо запад, вода",37,2022-06-03 03:12:00.000
5042,7,"газ, цена газ, европа, российский газ, газ рубль",83,2022-06-10 08:48:00.000
5057,22,"северный поток, поток, северный, канада, вода",133,2022-06-10 08:48:00.000
5259,7,"газ, российский газ, европа, поставка газ, поставка",101,2022-06-17 14:24:00.000
5274,22,"северный поток, поток, северный, канада, вода",109,2022-06-17 14:24:00.000
5487,7,"газ, российский газ, европа, поставка газ, газ россия",90,2022-06-24 20:00:00.000
5502,22,"северный поток, поток, северный, вода, запад новость день",91,2022-06-24 20:00:00.000
5711,7,"газ, европа, российский газ, энергетический, цена газ",101,2022-07-02 01:36:00.000
5726,22,"канада, северный поток, поток, северный, вода",125,2022-07-02 01:36:00.000
5931,7,"газ, российский газ, европа, газ россия, поставка газ",123,2022-07-09 07:12:00.000
5946,22,"северный поток, поток, северный, канада, вернуть",181,2022-07-09 07:12:00.000
6150,7,"газ, российский газ, европа, потребление, поставка",138,2022-07-16 12:48:00.000
6165,22,"северный поток, поток, северный, канада, вода",185,2022-07-16 12:48:00.000
6369,7,"газ, европа, российский газ, газ россия, поставка газ",217,2022-07-23 18:24:00.000
6384,22,"северный поток, поток, северный, вода, северо",120,2022-07-23 18:24:00.000
