text	text ru/en	head	OR Filter 2	Regex String (OR)	text eng	text eng shortened	count
чудовищный	чудовищный	ошибка	True	(ошибк)	monstrous	monstrous	5
байдена	байдена	ошибка	True	(ошибк)	Biden	biden	7
страна	страна	ошибка	True	(ошибк)	country	country	7
фатальный	фатальный	ошибка	True	(ошибк)	fatal	fatal	8
украина	украина	ошибка	True	(ошибк)	Ukraine	ukraine	12
стратегический	стратегический	ошибка	True	(ошибк)	strategic	strategic	12
три	три	ошибка	True	(ошибк)	three	three	13
сша	сша	ошибка	True	(ошибк)	USA	usa	17
опасный	опасный	ошибка	True	(ошибк)	dangerous	dangerous	2
пять	пять	ошибка	True	(ошибк)	five	five	2
газ	газ	ошибка	True	(ошибк)	gas	gas	2
оценка	оценка	ошибка	True	(ошибк)	grade	grade	2
вступление	вступление	ошибка	True	(ошибк)	introduction	introduction	2
власть	власть	ошибка	True	(ошибк)	power	power	2
вопрос	вопрос	ошибка	True	(ошибк)	question	question	2
война	война	ошибка	True	(ошибк)	war	war	2
четыре	четыре	ошибка	True	(ошибк)	four	four	3
врачебный	врачебный	ошибка	True	(ошибк)	medical	medical	3
слово	слово	ошибка	True	(ошибк)	word	word	3
германия	германия	ошибка	True	(ошибк)	Germany	germany	4
ссср	ссср	ошибка	True	(ошибк)	USSR	ussr	4
большой	большой	ошибка	True	(ошибк)	big	big	4
ужасный	ужасный	ошибка	True	(ошибк)	horrible	horrible	4
очередной	очередной	ошибка	True	(ошибк)	Another	another	3
ес	ес	ошибка	True	(ошибк)	EU	eu	3
рф	рф	ошибка	True	(ошибк)	RF	rf	3
кризис	кризис	ошибка	True	(ошибк)	a crisis	crisis	3
исторический	исторический	ошибка	True	(ошибк)	historical	historical	3
крупный	крупный	ошибка	True	(ошибк)	large	large	3
политический	политический	ошибка	True	(ошибк)	political	political	3
давность	давность	ошибка	True	(ошибк)	prescription	prescription	3
серьёзный	серьёзный	ошибка	True	(ошибк)	serious	serious	3
два	два	ошибка	True	(ошибк)	two	two	3
огромный	огромный	ошибка	True	(ошибк)	huge	huge	4
глупый	глупый	ошибка	True	(ошибк)	silly	silly	4
москва	москва	ошибка	True	(ошибк)	Moscow	moscow	2
пелоси	пелоси	ошибка	True	(ошибк)	Pelosi	pelosi	2
многолетний	многолетний	ошибка	True	(ошибк)	Perennial	perennial	2
политик	политик	ошибка	True	(ошибк)	politician	politician	2
проект	проект	ошибка	True	(ошибк)	project	project	2
отказ	отказ	ошибка	True	(ошибк)	refusal	refusal	2
малый	малый	ошибка	True	(ошибк)	small	small	2
мир	мир	ошибка	True	(ошибк)	world	world	2
политика	политика	ошибка	True	(ошибк)	politics	politics	7
россия	россия	ошибка	True	(ошибк)	Russia	russia	9
отношение	отношение	ошибка	True	(ошибк)	attitude	attitude	9
путин	путин	ошибка	True	(ошибк)	Putin	putin	5
главный	главный	ошибка	True	(ошибк)	main	main	26
португалия	португалия	ошибка	True	(ошибк)	Portugal	portugal	2
принципиальный	принципиальный	ошибка	True	(ошибк)	Principal	principal	2
плохой	плохой	ошибка	True	(ошибк)	bad	bad	2
нато	нато	ошибка	True	(ошибк)	NATO	nato	4
дом	дом	ошибка	True	(ошибк)	house	house	4
евросоюз	евросоюз	ошибка	True	(ошибк)	EU	eu	5
европа	европа	ошибка	True	(ошибк)	Europe	europe	5
киев	киев	ошибка	True	(ошибк)	Kyiv	kyiv	5
роковой	роковой	ошибка	True	(ошибк)	fatal	fatal	14
зеленского	зеленского	ошибка	True	(ошибк)	Zelensky	zelensky	20
запад	запад	ошибка	True	(ошибк)	west	west	29
энергетика	энергетика	ошибка	True	(ошибк)	Energy	energy	2
финляндия	финляндия	ошибка	True	(ошибк)	Finland	finland	2
observador	observador	ошибка	True	(ошибк)	Observador	observador	2
экономика	экономика	ошибка	True	(ошибк)	economy	economy	2
сми	сми	ошибка	True	(ошибк)	mass media	mass media	2
больший	больший	ошибка	True	(ошибк)	more	more	2
трагический	трагический	ошибка	True	(ошибк)	tragic	tragic	2
