text	text ru/en	head	OR Filter 2	Regex String (OR)	text eng	text eng shortened	count
грузия	грузия	защита	True	(защита)	Georgia	georgia	2
одесса	одесса	защита	True	(защита)	Odessa	odessa	2
нападение	нападение	защита	True	(защита)	attack	attack	2
город	город	защита	True	(защита)	city	city	2
коррозия	коррозия	защита	True	(защита)	corrosion	corrosion	2
дрон	дрон	защита	True	(защита)	drone	drone	2
наследие	наследие	защита	True	(защита)	heritage	heritage	2
журналист	журналист	защита	True	(защита)	journalist	journalist	2
наёмник	наёмник	защита	True	(защита)	mercenary	mercenary	2
психологический	психологический	защита	True	(защита)	psychological	psychological	2
надёжный	надёжный	защита	True	(защита)	reliable	reliable	2
запад	запад	защита	True	(защита)	west	west	2
оружие	оружие	защита	True	(защита)	weapon	weapon	7
днр	днр	защита	True	(защита)	DPR	dpr	8
интерес	интерес	защита	True	(защита)	interest	interest	8
ракета	ракета	защита	True	(защита)	rocket	rocket	8
ребёнок	ребёнок	защита	True	(защита)	child	child	9
санкция	санкция	защита	True	(защита)	sanction	sanction	9
премьер	премьер	защита	True	(защита)	Prime Minister	prime minister	2
россиянин	россиянин	защита	True	(защита)	Russian	russian	2
европа	европа	защита	True	(защита)	Europe	europe	3
рф	рф	защита	True	(защита)	RF	rf	3
объект	объект	защита	True	(защита)	an object	an object	3
противоракетный	противоракетный	защита	True	(защита)	anti -missile	anti -missile	3
мост	мост	защита	True	(защита)	bridge	bridge	3
свобода	свобода	защита	True	(защита)	freedom	freedom	3
рынок	рынок	защита	True	(защита)	market	market	3
государство	государство	защита	True	(защита)	state	state	3
население	население	защита	True	(защита)	population	population	12
право	право	защита	True	(защита)	right	right	14
памятник	памятник	защита	True	(защита)	monument	monument	4
бизнес	бизнес	защита	True	(защита)	business	business	3
суд	суд	защита	True	(защита)	court	court	3
беспилотник	беспилотник	защита	True	(защита)	drone	drone	3
геноцид	геноцид	защита	True	(защита)	genocide	genocide	3
удар	удар	защита	True	(защита)	hit	hit	3
военный	военный	защита	True	(защита)	military	military	3
суверенитет	суверенитет	защита	True	(защита)	sovereignty	sovereignty	3
гражданин	гражданин	защита	True	(защита)	citizen	citizen	6
поддержка	поддержка	защита	True	(защита)	support	support	6
граница	граница	защита	True	(защита)	the border	border	6
россия	россия	защита	True	(защита)	Russia	russia	7
мир	мир	защита	True	(защита)	world	world	4
кибератак	кибератак	защита	True	(защита)	Kiberatak	kiberatak	5
закарпатье	закарпатье	защита	True	(защита)	Transcarpathia	transcarpathia	5
китай	китай	защита	True	(защита)	China	china	6
донбасс	донбасс	защита	True	(защита)	Donbass	donbass	37
нато	нато	защита	True	(защита)	NATO	nato	4
ес	ес	защита	True	(защита)	EU	eu	2
последствие	последствие	защита	True	(защита)	consequence	consequence	2
потребитель	потребитель	защита	True	(защита)	consumer	consumer	2
экономика	экономика	защита	True	(защита)	economy	economy	9
тайвань	тайвань	защита	True	(защита)	Taiwan	taiwan	14
условие	условие	защита	True	(защита)	condition	condition	4
человек	человек	защита	True	(защита)	human	human	4
беженец	беженец	защита	True	(защита)	refugee	refugee	5
временной	временной	защита	True	(защита)	temporal	temporal	5
венгр	венгр	защита	True	(защита)	Hungarian	hungarian	6
страна	страна	защита	True	(защита)	country	country	6
беспилотник	беспилотник	химзащита	True	(защита)	drone	drone	2
американский	американский	защита	True	(защита)	American	american	2
британец	британец	защита	True	(защита)	Briton	briton	2
агрессия	агрессия	защита	True	(защита)	aggression	aggression	2
атака	атака	защита	True	(защита)	attack	attack	2
фон	фон	защита	True	(защита)	background	background	2
экология	экология	защита	True	(защита)	ecology	ecology	2
электрохимический	электрохимический	защита	True	(защита)	electrochemical	electrochemical	2
экстрадиция	экстрадиция	защита	True	(защита)	extradition	extradition	2
хакер	хакер	защита	True	(защита)	hacker	hacker	2
собственность	собственность	защита	True	(защита)	own	own	2
борьба	борьба	защита	True	(защита)	struggle	struggle	2
срок	срок	защита	True	(защита)	term	term	2
террорист	террорист	защита	True	(защита)	terrorist	terrorist	2
угроза	угроза	защита	True	(защита)	the threat	threat	2
блогер	блогер	защита	True	(защита)	Blogger	blogger	3
сша	сша	защита	True	(защита)	USA	usa	3
киберпространство	киберпространство	защита	True	(защита)	Cyberspace	cyberspace	2
