text	text ru/en	head	OR Filter 2	Regex String (OR)	text eng	text eng shortened	count
перелом	перелом	беженец	True	(бежен)	Fracture	fracture	2
нелегал	нелегал	беженец	True	(бежен)	Imaginal	imaginal	2
ижевск	ижевск	беженец	True	(бежен)	Izhevsk	izhevsk	2
одесса	одесса	беженец	True	(бежен)	Odessa	odessa	2
недовольный	недовольный	беженец	True	(бежен)	dissatisfied	dissatisfied	2
застрять	застрять	беженец	True	(бежен)	get stuck	get stuck	2
нелегальный	нелегальный	беженец	True	(бежен)	illegal	illegal	2
пострадавшим	пострадавшим	беженец	True	(бежен)	victims	victims	2
зона	зона	беженец	True	(бежен)	zone	zone	2
днр	днр	беженка	True	(бежен)	DPR	dpr	3
донецк	донецк	беженка	True	(бежен)	Donetsk	donetsk	3
разлучница	разлучница	беженка	True	(бежен)	Minor	minor	2
заманивать	заманивать	беженец	True	(бежен)	entice	entice	4
москва	москва	беженец	True	(бежен)	Moscow	moscow	5
летний	летний	беженка	True	(бежен)	Summer	summer	5
донбасский	донбасский	беженец	True	(бежен)	Donbass	donbass	6
новый	новый	беженец	True	(бежен)	new	new	6
приютить	приютить	беженец	True	(бежен)	shelter	shelter	6
въехать	въехать	беженец	True	(бежен)	Enter	enter	2
вынужденный	вынужденный	беженец	True	(бежен)	compelled	compelled	2
полумиллиона	полумиллиона	беженец	True	(бежен)	half a million	half million	2
покидать	покидать	беженец	True	(бежен)	leave	leave	2
эвакуировать	эвакуировать	беженец	True	(бежен)	evacuate	evacuate	5
афганский	афганский	беженец	True	(бежен)	Afghan	afghan	6
hronika	hronika	беженец	True	(бежен)	Hronika	hronika	6
украинским	украинским	беженкам	True	(бежен)	Ukrainian	ukrainian	6
болгария	болгария	беженец	True	(бежен)	Bulgaria	bulgaria	9
украинские	украинские	беженка	True	(бежен)	Ukrainian	ukrainian	11
украинской	украинской	беженка	True	(бежен)	Ukrainian	ukrainian	12
украинская	украинская	беженка	True	(бежен)	Ukrainian	ukrainian	18
украина	украина	беженка	True	(бежен)	Ukraine	ukraine	19
украинскими	украинскими	беженец	True	(бежен)	Ukrainian	ukrainian	38
украинским	украинским	беженец	True	(бежен)	Ukrainian	ukrainian	116
украинские	украинские	беженец	True	(бежен)	Ukrainian	ukrainian	162
тысяча	тысяча	беженец	True	(бежен)	one thousand	one thousand	184
украина	украина	беженец	True	(бежен)	Ukraine	ukraine	287
донецкий	донецкий	беженец	True	(бежен)	Donetsk	donetsk	2
мир	мир	беженец	True	(бежен)	world	world	6
сирийский	сирийский	беженец	True	(бежен)	Syrian	syrian	7
прибывать	прибывать	беженец	True	(бежен)	arrive	arrive	7
принять	принять	беженец	True	(бежен)	to accept	accept	8
приехать	приехать	беженец	True	(бежен)	come	come	9
область	область	беженец	True	(бежен)	region	region	10
донецк	донецк	беженец	True	(бежен)	Donetsk	donetsk	14
каждый	каждый	беженец	True	(бежен)	each	each	14
млн	млн	беженец	True	(бежен)	Mill	mill	17
республика	республика	беженец	True	(бежен)	republic	republic	17
