text	text ru/en	head	OR Filter 2	Regex String (OR)	text eng	text eng shortened	count
днр	днр	ветеран	True	(ветеран)	DPR	dpr	2
войско	войско	ветеран	True	(ветеран)	army	army	2
ребёнок	ребёнок	ветеран	True	(ветеран)	child	child	2
разведка	разведка	ветеран	True	(ветеран)	intelligence service	intelligence service	2
военнослужащий	военнослужащий	ветеран	True	(ветеран)	serviceman	serviceman	3
фсб	фсб	ветеран	True	(ветеран)	FSB	fsb	7
спецоперация	спецоперация	ветеранах	True	(ветеран)	Special operation	special operation	7
участник	участник	ветеран	True	(ветеран)	participant	participant	7
вов	вов	ветеран	True	(ветеран)	WWII	wwii	32
американский	американский	ветеран	True	(ветеран)	American	american	5
советский	советский	ветеран	True	(ветеран)	Soviet	soviet	5
донбасс	донбасс	ветеран	True	(ветеран)	Donbass	donbass	7
дагестанский	дагестанский	ветеран	True	(ветеран)	Dagestan	dagestan	3
павел	павел	ветеран	True	(ветеран)	Paul	paul	3
проживать	проживать	ветеран	True	(ветеран)	reside	reside	3
мчс	мчс	ветеран	True	(ветеран)	EMERCOM	emercom	4
росгвардии	росгвардии	ветеран	True	(ветеран)	Russian Guard	russian guard	4
прокуратура	прокуратура	ветеран	True	(ветеран)	The prosecutor's office	the prosecutor's office	4
многодетный	многодетный	ветеран	True	(ветеран)	Large	large	2
мариуполь	мариуполь	ветеран	True	(ветеран)	Mariupol	mariupol	2
марочко	марочко	ветеран	True	(ветеран)	Marochko	marochko	2
москва	москва	ветеран	True	(ветеран)	Moscow	moscow	2
инвалид	инвалид	ветеран	True	(ветеран)	disabled person	disabled person	2
госпиталь	госпиталь	ветеран	True	(ветеран)	hospital	hospital	2
полок	полок	ветеран	True	(ветеран)	shelves	shelves	2
сила	сила	ветеран	True	(ветеран)	strength	strength	2
область	область	ветеран	True	(ветеран)	region	region	5
сербский	сербский	ветеран	True	(ветеран)	Serbian	serbian	2
лнр	лнр	ветеран	True	(ветеран)	LPR	lpr	4
амурский	амурский	ветеран	True	(ветеран)	Amur	amur	2
труженик	труженик	ветеран	True	(ветеран)	Trudenik	trudenik	2
украина	украина	ветеран	True	(ветеран)	Ukraine	ukraine	2
старый	старый	ветеран	True	(ветеран)	old	old	2
труд	труд	ветеран	True	(ветеран)	work	work	2
альфы	альфы	ветеран	True	(ветеран)	Alpha	alpha	3
цру	цру	ветеран	True	(ветеран)	CIA	cia	3
спецназ	спецназ	ветеран	True	(ветеран)	Special Forces	special forces	3
россия	россия	ветеран	True	(ветеран)	Russia	russia	7
летний	летний	ветеран	True	(ветеран)	Summer	summer	16
действие	действие	ветеран	True	(ветеран)	action	action	66
