id,Topic,Words,Frequency,Timestamp
7,6,"китай, китайский, россия китай, тайвань, цзиньпин",179,2021-12-25 18:47:31
14,13,"белоруссия, польша, лукашенко, белорусский, польский",168,2021-12-25 18:47:31
39,38,"сербия, косово, сербский, вучича, хорватия",32,2021-12-25 18:47:31
85,85,"китайский, отозвать, автомобиль, брать, продажа",25,2021-12-25 18:47:31
163,174,"китай, вблизи, активность, биться, заявить серьёзный",10,2021-12-25 18:47:31
210,6,"китай, китайский, тайвань, станция, цзиньпин",85,2022-01-02 5:36:00
217,13,"белоруссия, польша, белорусский, граница, лукашенко",58,2022-01-02 5:36:00
242,38,"сербия, вучича, обороноспособность, хорватия, сербский",33,2022-01-02 5:36:00
289,85,"автомобиль, китайский, продажа, рынок, авто",14,2022-01-02 5:36:00
359,174,"китай, снимка, смешной, монтянин, спутниковый",8,2022-01-02 5:36:00
409,6,"китай, китайский, си, цзиньпин, си цзиньпин",112,2022-01-09 11:12:00
416,13,"белоруссия, польский, польша, газпром, мигрант",126,2022-01-09 11:12:00
441,38,"сербия, вучича, сербский, референдум, конституция",72,2022-01-09 11:12:00
485,85,"китайский, автомобиль, продажа, авто, самый популярный",23,2022-01-09 11:12:00
559,174,"мид китай, китай, пуск, китай сша, участиться",7,2022-01-09 11:12:00
611,6,"китай, китайский, тайвань, цзиньпин, си цзиньпин",190,2022-01-16 16:48:00
618,13,"белоруссия, учение, россия белоруссия, белорусский, граница",297,2022-01-16 16:48:00
643,38,"сербия, вучича, хорватия, конституция, сербский",74,2022-01-16 16:48:00
689,85,"китайский, сша впервые, автомобиль, впервые, смертельный",37,2022-01-16 16:48:00
770,174,"китай, гонка, чётко, китай сша, прийти время",5,2022-01-16 16:48:00
818,6,"китай, китайский, тайвань, новый год, цзиньпин",291,2022-01-23 22:24:00
825,13,"белоруссия, лукашенко, учение, су, польша",341,2022-01-23 22:24:00
850,38,"хорватия, сербия, президент, отозвать, вучича",131,2022-01-23 22:24:00
896,85,"китайский, автомобиль, инвестировать, камаз, производство",46,2022-01-23 22:24:00
981,174,"китай, найти новый, новый способ, торговаться, австралия",4,2022-01-23 22:24:00
1040,6,"китай, цзиньпин, си, си цзиньпин, россия китай",448,2022-01-31 4:00:00
1047,13,"белоруссия, учение, белорусский, россия белоруссия, польша",311,2022-01-31 4:00:00
1072,38,"сербия, хорватия, сербский, вучича, косово",36,2022-01-31 4:00:00
1119,85,"китайский, автомобиль, авто, отозвать, продажа",34,2022-01-31 4:00:00
1204,174,"китай, си цзиньпин, цзиньпин, си, путин си",13,2022-01-31 4:00:00
1258,6,"китай, тайвань, китайский, россия китай, цзиньпин",170,2022-02-07 9:36:00
1265,13,"белоруссия, учение, решимость, союзный, россия белоруссия",246,2022-02-07 9:36:00
1290,38,"сербия, хорватия, вучича, косово, сербский",25,2022-02-07 9:36:00
1337,85,"китайский, автомобиль, производство, авто, машина",31,2022-02-07 9:36:00
1420,174,"китай, дальнейший, усомниться, расширение нато, повлиять",2,2022-02-07 9:36:00
1473,6,"китай, китайский, россия китай, тайвань, си",134,2022-02-14 15:12:00
1480,13,"белоруссия, учение, россия белоруссия, белорусский, лукашенко",243,2022-02-14 15:12:00
1505,38,"сербия, вучича, хорватия, косово, сербский",79,2022-02-14 15:12:00
1551,85,"китайский, учёный создать, автомобиль, регулятор, размер",23,2022-02-14 15:12:00
1633,174,"китай, предложить запретить, давление сша, случайно, сдавать",4,2022-02-14 15:12:00
1693,6,"китай, китайский, тайвань, цзиньпин, си цзиньпин",264,2022-02-21 20:48:00
1700,13,"белоруссия, лукашенко, беларусь, белорусский, лукашенко заявить",151,2022-02-21 20:48:00
1725,38,"сербия, вучича, хорватия, сербский, вводить санкция против",77,2022-02-21 20:48:00
1772,85,"китайский, авто, автомобиль, производство, автомобильный",15,2022-02-21 20:48:00
1860,174,"китай, мид китай, полномасштабный, конфронтация, лавров обсудить глава",9,2022-02-21 20:48:00
1920,6,"китай, тайвань, китайский, цзиньпин, си цзиньпин",153,2022-03-01 2:24:00
1927,13,"белоруссия, лукашенко, усилить, белорусский, польша",59,2022-03-01 2:24:00
1952,38,"сербия, вучича, хорватия, сербский, поддержка россия",41,2022-03-01 2:24:00
1999,85,"китайский, машина, автомобильный, производство, автомобиль",19,2022-03-01 2:24:00
2086,174,"манёвр, год назад, холодный война, назад, холодный",1,2022-03-01 2:24:00
2144,6,"китай, тайвань, китайский, пекин, кнр",164,2022-03-08 8:00:00
2151,13,"белоруссия, лукашенко, лукашенко заявить, беларусь, белорусский",60,2022-03-08 8:00:00
2176,38,"сербия, вучича, хорватия, сербский, вучича заявить",40,2022-03-08 8:00:00
2222,85,"китайский, автомобиль, машина, производство, производитель",16,2022-03-08 8:00:00
2307,174,"севастополь, китай, мид китай, китай сша, мид",1,2022-03-08 8:00:00
2364,6,"китай, си цзиньпин, цзиньпин, си, китайский",229,2022-03-15 13:36:00
2371,13,"белоруссия, польский, польша, лукашенко, болгария",90,2022-03-15 13:36:00
2396,38,"сербия, вучича, хорватия, сербский, двойной стандарт",50,2022-03-15 13:36:00
2442,85,"китайский, выпускать, бренд, авто, автомобиль",24,2022-03-15 13:36:00
2528,174,"китай, проиграть, мид китай, формулировка, путин мид",7,2022-03-15 13:36:00
2585,6,"китай, китайский, тайвань, россия китай, китаец",169,2022-03-22 19:12:00
2592,13,"белоруссия, газ рубль, болгария, российский газ, польша",51,2022-03-22 19:12:00
2616,38,"сербия, вучича, бомбардировка, хорватия, косово",110,2022-03-22 19:12:00
2663,85,"китайский, автомобиль, минус, плюс, машина",15,2022-03-22 19:12:00
2747,174,"китай, мид китай, конкуренция, птица, умерший",7,2022-03-22 19:12:00
2806,6,"китай, китайский, тайвань, цзиньпин, си цзиньпин",165,2022-03-30 0:48:00
2813,13,"белоруссия, россия белоруссия, белорусский, польша, лукашенко",83,2022-03-30 0:48:00
2838,38,"сербия, вучича, выборы, хорватия, сербский",88,2022-03-30 0:48:00
2885,85,"китайский, машина, автомобиль, автомобильный, бренд",23,2022-03-30 0:48:00
2973,174,"мид китай, китай, либо, чей, перевезти",14,2022-03-30 0:48:00
3032,6,"китай, тайвань, китайский, китаец, россия китай",101,2022-04-06 6:24:00
3039,13,"белоруссия, лукашенко, белорусский, россия белоруссия, польша",107,2022-04-06 6:24:00
3064,38,"сербия, вучича, спч, хорватия, проголосовать",80,2022-04-06 6:24:00
3111,85,"китайский, авто, автомобиль, рынок, продажа",15,2022-04-06 6:24:00
3194,174,"сша опасаться, наращивание, арсенал, опасаться, китай",1,2022-04-06 6:24:00
3253,6,"китай, тайвань, китайский, кнр, россия китай",198,2022-04-13 12:00:00
3260,13,"белоруссия, белорус, восточный, россия белоруссия, польша",49,2022-04-13 12:00:00
3284,38,"сербия, вучича, хорватия, сербский, зрк",47,2022-04-13 12:00:00
3331,85,"китайский, автомобиль, минус, плюс, назвать плюс",14,2022-04-13 12:00:00
3417,174,"китай сша, китай, мид китай, ультиматум, поставить",3,2022-04-13 12:00:00
3475,6,"китай, тайвань, китайский, железнодорожный, россия китай",141,2022-04-20 17:36:00
3482,13,"польша, болгария, поставка газ, белоруссия, газ",202,2022-04-20 17:36:00
3507,38,"сербия, хорватия, вучича, рейс, косово",48,2022-04-20 17:36:00
3554,85,"китайский, доля, выкупить, концерн, автомобиль",28,2022-04-20 17:36:00
3639,174,"китай, лечиться, съесть, конкуренция, приводить",6,2022-04-20 17:36:00
3701,6,"китай, тайвань, китайский, китаец, цзиньпин",141,2022-04-27 23:12:00
3708,13,"польша, белоруссия, болгария, газ, российский газ",255,2022-04-27 23:12:00
3733,38,"сербия, вучича, хорватия, вето, наложить",72,2022-04-27 23:12:00
3780,85,"китайский, автомобиль, производство, машина, производитель",36,2022-04-27 23:12:00
3866,174,"китай, боевой, вмф, мид китай, всерьёз",15,2022-04-27 23:12:00
3928,6,"китай, тайвань, китайский, россия китай, кнр",114,2022-05-05 4:48:00
3935,13,"белоруссия, ямал, участок, польский, лукашенко",110,2022-05-05 4:48:00
3960,38,"сербия, вучича, косово, хорватия, сербский",75,2022-05-05 4:48:00
4007,85,"китайский, автомобиль, доля, авто, производство",26,2022-05-05 4:48:00
4090,174,"китай, мид китай, расширение нато, предупредить, расширение",6,2022-05-05 4:48:00
4149,6,"китай, китайский, тайвань, китаец, цзиньпин",110,2022-05-12 10:24:00
4156,13,"белоруссия, лукашенко, польский, беларусь, белорусский",66,2022-05-12 10:24:00
4181,38,"сербия, хорватия, вучича, косово, сопротивляться",63,2022-05-12 10:24:00
4228,85,"китайский, автомобиль, москвич, марка, бренд",33,2022-05-12 10:24:00
4312,174,"китай, совбез оон, членство, безумие, усомниться",14,2022-05-12 10:24:00
4374,6,"тайвань, китай, китайский, цзиньпин, си цзиньпин",199,2022-05-19 16:00:00
4381,13,"белоруссия, польша, болгария, российский газ, белорусский",180,2022-05-19 16:00:00
4406,38,"сербия, вучича, хорватия, вводить санкция против, вводить санкция",39,2022-05-19 16:00:00
4453,85,"китайский, производитель, производство, вложить, бренд",17,2022-05-19 16:00:00
4534,174,"китай, мид китай, пентагон, экс сотрудник, сша готовый",19,2022-05-19 16:00:00
4592,6,"китай, тайвань, китайский, россия китай, цзиньпин",210,2022-05-26 21:36:00
4599,13,"белоруссия, лукашенко, белорусский, интеграция, польша",113,2022-05-26 21:36:00
4624,38,"сербия, хорватия, вучича, сербский, пятеро",78,2022-05-26 21:36:00
4671,85,"китайский, автомобиль, авто, маск, рынок",24,2022-05-26 21:36:00
4759,174,"китай, мид китай, попытаться, финский, посчитать",19,2022-05-26 21:36:00
4819,6,"китай, тайвань, китайский, россия китай, корабль",140,2022-06-03 3:12:00
4826,13,"белоруссия, военный время, лукашенко, импортозамещение, польша",80,2022-06-03 3:12:00
4850,38,"сербия, вучича, визит, сербский, хорватия",147,2022-06-03 3:12:00
4896,85,"китайский, автомобиль, авто, начать продавать, млрд доллар",24,2022-06-03 3:12:00
4982,174,"китай, китай сша, инструмент, раскрыть главный, мид китай",11,2022-06-03 3:12:00
5041,6,"китай, си цзиньпин, цзиньпин, си, тайвань",220,2022-06-10 8:48:00
5048,13,"белоруссия, лукашенко, белорусский, лукашенко заявить, россия белоруссия",67,2022-06-10 8:48:00
5072,38,"сербия, вучича, косово, хорватия, сербский",85,2022-06-10 8:48:00
5118,85,"китайский, автомобиль, авто, выпуск, акционер",18,2022-06-10 8:48:00
5203,174,"китай, самый больший, неприятный, недостаток, армейский",5,2022-06-10 8:48:00
5258,6,"китай, тайвань, си цзиньпин, цзиньпин, си",130,2022-06-17 14:24:00
5265,13,"белоруссия, польша, учение, россия белоруссия, лукашенко",88,2022-06-17 14:24:00
5290,38,"сербия, хорватия, сербский, вучича, косово",44,2022-06-17 14:24:00
5337,85,"китайский, автомобиль, авто, машина, нгс",42,2022-06-17 14:24:00
5425,174,"китай, общественник, битва, глаз, чёрный море",7,2022-06-17 14:24:00
5486,6,"китай, китайский, тайвань, си, цзиньпин",158,2022-06-24 20:00:00
5493,13,"белоруссия, россия белоруссия, лукашенко, польша, белорусский",168,2022-06-24 20:00:00
5517,38,"сербия, вучича, пехота, косово, хорватия",42,2022-06-24 20:00:00
5564,85,"китайский, машина, автомобиль, отмечать, запрос",11,2022-06-24 20:00:00
5650,174,"китай, концепция, мид китай, стратегический, нато",14,2022-06-24 20:00:00
5710,6,"китай, тайвань, китайский, россия китай, цзиньпин",149,2022-07-02 1:36:00
5717,13,"белоруссия, лукашенко, белорусский, поддерживать, белорус",57,2022-07-02 1:36:00
5742,38,"сербия, косово, лицемерие, сербский, европарламент",12,2022-07-02 1:36:00
5789,85,"китайский, автомобиль, машина, продажа, авто",34,2022-07-02 1:36:00
5872,174,"мид китай, китай, китай назвать, встретиться, мид",12,2022-07-02 1:36:00
5930,6,"китай, китайский, тайвань, россия китай, кнр",89,2022-07-09 7:12:00
5937,13,"белоруссия, лукашенко, нападение россия, план запад, путин план",55,2022-07-09 7:12:00
5961,38,"сербия, вучича, сербский, хорватия, новый правительство",54,2022-07-09 7:12:00
6008,85,"китайский, автомобиль, автомобильный, авто, рынок",29,2022-07-09 7:12:00
6092,174,"мид китай, китай, лицемерие, классический, берег",16,2022-07-09 7:12:00
6149,6,"китай, тайвань, китайский, мид китай, потребовать сша",161,2022-07-16 12:48:00
6156,13,"белоруссия, лукашенко, польша, белорусский, лукашенко заявить",55,2022-07-16 12:48:00
6180,38,"сербия, хорватия, вучича, посетить, сербский",51,2022-07-16 12:48:00
6226,85,"китайский, автомобиль, каждый четвёртый, клиент, четвёртый",38,2022-07-16 12:48:00
6313,174,"китай, мид китай, конфронтация, cnn сша, распорядиться",20,2022-07-16 12:48:00
