id,Topic,Words,Frequency,Timestamp
14,13,"белоруссия, польша, лукашенко, белорусский, польский",168,2021-12-25 18:47:31
217,13,"белоруссия, польша, белорусский, граница, лукашенко",58,2022-01-02 5:36:00
416,13,"белоруссия, польский, польша, газпром, мигрант",126,2022-01-09 11:12:00
618,13,"белоруссия, учение, россия белоруссия, белорусский, граница",297,2022-01-16 16:48:00
825,13,"белоруссия, лукашенко, учение, су, польша",341,2022-01-23 22:24:00
1047,13,"белоруссия, учение, белорусский, россия белоруссия, польша",311,2022-01-31 4:00:00
1265,13,"белоруссия, учение, решимость, союзный, россия белоруссия",246,2022-02-07 9:36:00
1480,13,"белоруссия, учение, россия белоруссия, белорусский, лукашенко",243,2022-02-14 15:12:00
1700,13,"белоруссия, лукашенко, беларусь, белорусский, лукашенко заявить",151,2022-02-21 20:48:00
1927,13,"белоруссия, лукашенко, усилить, белорусский, польша",59,2022-03-01 2:24:00
2151,13,"белоруссия, лукашенко, лукашенко заявить, беларусь, белорусский",60,2022-03-08 8:00:00
2371,13,"белоруссия, польский, польша, лукашенко, болгария",90,2022-03-15 13:36:00
2592,13,"белоруссия, газ рубль, болгария, российский газ, польша",51,2022-03-22 19:12:00
2813,13,"белоруссия, россия белоруссия, белорусский, польша, лукашенко",83,2022-03-30 0:48:00
3039,13,"белоруссия, лукашенко, белорусский, россия белоруссия, польша",107,2022-04-06 6:24:00
3260,13,"белоруссия, белорус, восточный, россия белоруссия, польша",49,2022-04-13 12:00:00
3482,13,"польша, болгария, поставка газ, белоруссия, газ",202,2022-04-20 17:36:00
3708,13,"польша, белоруссия, болгария, газ, российский газ",255,2022-04-27 23:12:00
3935,13,"белоруссия, ямал, участок, польский, лукашенко",110,2022-05-05 4:48:00
4156,13,"белоруссия, лукашенко, польский, беларусь, белорусский",66,2022-05-12 10:24:00
4381,13,"белоруссия, польша, болгария, российский газ, белорусский",180,2022-05-19 16:00:00
4599,13,"белоруссия, лукашенко, белорусский, интеграция, польша",113,2022-05-26 21:36:00
4826,13,"белоруссия, военный время, лукашенко, импортозамещение, польша",80,2022-06-03 3:12:00
5048,13,"белоруссия, лукашенко, белорусский, лукашенко заявить, россия белоруссия",67,2022-06-10 8:48:00
5265,13,"белоруссия, польша, учение, россия белоруссия, лукашенко",88,2022-06-17 14:24:00
5493,13,"белоруссия, россия белоруссия, лукашенко, польша, белорусский",168,2022-06-24 20:00:00
5717,13,"белоруссия, лукашенко, белорусский, поддерживать, белорус",57,2022-07-02 1:36:00
5937,13,"белоруссия, лукашенко, нападение россия, план запад, путин план",55,2022-07-09 7:12:00
6156,13,"белоруссия, лукашенко, польша, белорусский, лукашенко заявить",55,2022-07-16 12:48:00
6375,13,"белоруссия, польша, делиться, болгария, газ",60,2022-07-23 18:24:00
