id,Topic,Words,Frequency,Timestamp
7,6,"китай, китайский, россия китай, тайвань, цзиньпин",179,2021-12-25 18:47:31
210,6,"китай, китайский, тайвань, станция, цзиньпин",85,2022-01-02 5:36:00
409,6,"китай, китайский, си, цзиньпин, си цзиньпин",112,2022-01-09 11:12:00
611,6,"китай, китайский, тайвань, цзиньпин, си цзиньпин",190,2022-01-16 16:48:00
818,6,"китай, китайский, тайвань, новый год, цзиньпин",291,2022-01-23 22:24:00
1040,6,"китай, цзиньпин, си, си цзиньпин, россия китай",448,2022-01-31 4:00:00
1258,6,"китай, тайвань, китайский, россия китай, цзиньпин",170,2022-02-07 9:36:00
1473,6,"китай, китайский, россия китай, тайвань, си",134,2022-02-14 15:12:00
1693,6,"китай, китайский, тайвань, цзиньпин, си цзиньпин",264,2022-02-21 20:48:00
1920,6,"китай, тайвань, китайский, цзиньпин, си цзиньпин",153,2022-03-01 2:24:00
2144,6,"китай, тайвань, китайский, пекин, кнр",164,2022-03-08 8:00:00
2364,6,"китай, си цзиньпин, цзиньпин, си, китайский",229,2022-03-15 13:36:00
2585,6,"китай, китайский, тайвань, россия китай, китаец",169,2022-03-22 19:12:00
2806,6,"китай, китайский, тайвань, цзиньпин, си цзиньпин",165,2022-03-30 0:48:00
3032,6,"китай, тайвань, китайский, китаец, россия китай",101,2022-04-06 6:24:00
3253,6,"китай, тайвань, китайский, кнр, россия китай",198,2022-04-13 12:00:00
3475,6,"китай, тайвань, китайский, железнодорожный, россия китай",141,2022-04-20 17:36:00
3701,6,"китай, тайвань, китайский, китаец, цзиньпин",141,2022-04-27 23:12:00
3928,6,"китай, тайвань, китайский, россия китай, кнр",114,2022-05-05 4:48:00
4149,6,"китай, китайский, тайвань, китаец, цзиньпин",110,2022-05-12 10:24:00
4374,6,"тайвань, китай, китайский, цзиньпин, си цзиньпин",199,2022-05-19 16:00:00
4592,6,"китай, тайвань, китайский, россия китай, цзиньпин",210,2022-05-26 21:36:00
4819,6,"китай, тайвань, китайский, россия китай, корабль",140,2022-06-03 3:12:00
5041,6,"китай, си цзиньпин, цзиньпин, си, тайвань",220,2022-06-10 8:48:00
5258,6,"китай, тайвань, си цзиньпин, цзиньпин, си",130,2022-06-17 14:24:00
5486,6,"китай, китайский, тайвань, си, цзиньпин",158,2022-06-24 20:00:00
5710,6,"китай, тайвань, китайский, россия китай, цзиньпин",149,2022-07-02 1:36:00
5930,6,"китай, китайский, тайвань, россия китай, кнр",89,2022-07-09 7:12:00
6149,6,"китай, тайвань, китайский, мид китай, потребовать сша",161,2022-07-16 12:48:00
6368,6,"тайвань, китай, китайский, цзиньпин, си",284,2022-07-23 18:24:00
