id,Topic,Words,Frequency,Timestamp
7,6,"китай, китайский, россия китай, тайвань, цзиньпин",179,2021-12-25 18:47:31
14,13,"белоруссия, польша, лукашенко, белорусский, польский",168,2021-12-25 18:47:31
39,38,"сербия, косово, сербский, вучича, хорватия",32,2021-12-25 18:47:31
210,6,"китай, китайский, тайвань, станция, цзиньпин",85,2022-01-02 5:36:00
217,13,"белоруссия, польша, белорусский, граница, лукашенко",58,2022-01-02 5:36:00
242,38,"сербия, вучича, обороноспособность, хорватия, сербский",33,2022-01-02 5:36:00
409,6,"китай, китайский, си, цзиньпин, си цзиньпин",112,2022-01-09 11:12:00
416,13,"белоруссия, польский, польша, газпром, мигрант",126,2022-01-09 11:12:00
441,38,"сербия, вучича, сербский, референдум, конституция",72,2022-01-09 11:12:00
611,6,"китай, китайский, тайвань, цзиньпин, си цзиньпин",190,2022-01-16 16:48:00
618,13,"белоруссия, учение, россия белоруссия, белорусский, граница",297,2022-01-16 16:48:00
643,38,"сербия, вучича, хорватия, конституция, сербский",74,2022-01-16 16:48:00
818,6,"китай, китайский, тайвань, новый год, цзиньпин",291,2022-01-23 22:24:00
825,13,"белоруссия, лукашенко, учение, су, польша",341,2022-01-23 22:24:00
850,38,"хорватия, сербия, президент, отозвать, вучича",131,2022-01-23 22:24:00
1040,6,"китай, цзиньпин, си, си цзиньпин, россия китай",448,2022-01-31 4:00:00
1047,13,"белоруссия, учение, белорусский, россия белоруссия, польша",311,2022-01-31 4:00:00
1072,38,"сербия, хорватия, сербский, вучича, косово",36,2022-01-31 4:00:00
1258,6,"китай, тайвань, китайский, россия китай, цзиньпин",170,2022-02-07 9:36:00
1265,13,"белоруссия, учение, решимость, союзный, россия белоруссия",246,2022-02-07 9:36:00
1290,38,"сербия, хорватия, вучича, косово, сербский",25,2022-02-07 9:36:00
1473,6,"китай, китайский, россия китай, тайвань, си",134,2022-02-14 15:12:00
1480,13,"белоруссия, учение, россия белоруссия, белорусский, лукашенко",243,2022-02-14 15:12:00
1505,38,"сербия, вучича, хорватия, косово, сербский",79,2022-02-14 15:12:00
1693,6,"китай, китайский, тайвань, цзиньпин, си цзиньпин",264,2022-02-21 20:48:00
1700,13,"белоруссия, лукашенко, беларусь, белорусский, лукашенко заявить",151,2022-02-21 20:48:00
1725,38,"сербия, вучича, хорватия, сербский, вводить санкция против",77,2022-02-21 20:48:00
1920,6,"китай, тайвань, китайский, цзиньпин, си цзиньпин",153,2022-03-01 2:24:00
1927,13,"белоруссия, лукашенко, усилить, белорусский, польша",59,2022-03-01 2:24:00
1952,38,"сербия, вучича, хорватия, сербский, поддержка россия",41,2022-03-01 2:24:00
2144,6,"китай, тайвань, китайский, пекин, кнр",164,2022-03-08 8:00:00
2151,13,"белоруссия, лукашенко, лукашенко заявить, беларусь, белорусский",60,2022-03-08 8:00:00
2176,38,"сербия, вучича, хорватия, сербский, вучича заявить",40,2022-03-08 8:00:00
2364,6,"китай, си цзиньпин, цзиньпин, си, китайский",229,2022-03-15 13:36:00
2371,13,"белоруссия, польский, польша, лукашенко, болгария",90,2022-03-15 13:36:00
2396,38,"сербия, вучича, хорватия, сербский, двойной стандарт",50,2022-03-15 13:36:00
2585,6,"китай, китайский, тайвань, россия китай, китаец",169,2022-03-22 19:12:00
2592,13,"белоруссия, газ рубль, болгария, российский газ, польша",51,2022-03-22 19:12:00
2616,38,"сербия, вучича, бомбардировка, хорватия, косово",110,2022-03-22 19:12:00
2806,6,"китай, китайский, тайвань, цзиньпин, си цзиньпин",165,2022-03-30 0:48:00
2813,13,"белоруссия, россия белоруссия, белорусский, польша, лукашенко",83,2022-03-30 0:48:00
2838,38,"сербия, вучича, выборы, хорватия, сербский",88,2022-03-30 0:48:00
3032,6,"китай, тайвань, китайский, китаец, россия китай",101,2022-04-06 6:24:00
3039,13,"белоруссия, лукашенко, белорусский, россия белоруссия, польша",107,2022-04-06 6:24:00
3064,38,"сербия, вучича, спч, хорватия, проголосовать",80,2022-04-06 6:24:00
3253,6,"китай, тайвань, китайский, кнр, россия китай",198,2022-04-13 12:00:00
3260,13,"белоруссия, белорус, восточный, россия белоруссия, польша",49,2022-04-13 12:00:00
3284,38,"сербия, вучича, хорватия, сербский, зрк",47,2022-04-13 12:00:00
3475,6,"китай, тайвань, китайский, железнодорожный, россия китай",141,2022-04-20 17:36:00
3482,13,"польша, болгария, поставка газ, белоруссия, газ",202,2022-04-20 17:36:00
3507,38,"сербия, хорватия, вучича, рейс, косово",48,2022-04-20 17:36:00
3701,6,"китай, тайвань, китайский, китаец, цзиньпин",141,2022-04-27 23:12:00
3708,13,"польша, белоруссия, болгария, газ, российский газ",255,2022-04-27 23:12:00
3733,38,"сербия, вучича, хорватия, вето, наложить",72,2022-04-27 23:12:00
3928,6,"китай, тайвань, китайский, россия китай, кнр",114,2022-05-05 4:48:00
3935,13,"белоруссия, ямал, участок, польский, лукашенко",110,2022-05-05 4:48:00
3960,38,"сербия, вучича, косово, хорватия, сербский",75,2022-05-05 4:48:00
4149,6,"китай, китайский, тайвань, китаец, цзиньпин",110,2022-05-12 10:24:00
4156,13,"белоруссия, лукашенко, польский, беларусь, белорусский",66,2022-05-12 10:24:00
4181,38,"сербия, хорватия, вучича, косово, сопротивляться",63,2022-05-12 10:24:00
4374,6,"тайвань, китай, китайский, цзиньпин, си цзиньпин",199,2022-05-19 16:00:00
4381,13,"белоруссия, польша, болгария, российский газ, белорусский",180,2022-05-19 16:00:00
4406,38,"сербия, вучича, хорватия, вводить санкция против, вводить санкция",39,2022-05-19 16:00:00
4592,6,"китай, тайвань, китайский, россия китай, цзиньпин",210,2022-05-26 21:36:00
4599,13,"белоруссия, лукашенко, белорусский, интеграция, польша",113,2022-05-26 21:36:00
4624,38,"сербия, хорватия, вучича, сербский, пятеро",78,2022-05-26 21:36:00
4819,6,"китай, тайвань, китайский, россия китай, корабль",140,2022-06-03 3:12:00
4826,13,"белоруссия, военный время, лукашенко, импортозамещение, польша",80,2022-06-03 3:12:00
4850,38,"сербия, вучича, визит, сербский, хорватия",147,2022-06-03 3:12:00
5041,6,"китай, си цзиньпин, цзиньпин, си, тайвань",220,2022-06-10 8:48:00
5048,13,"белоруссия, лукашенко, белорусский, лукашенко заявить, россия белоруссия",67,2022-06-10 8:48:00
5072,38,"сербия, вучича, косово, хорватия, сербский",85,2022-06-10 8:48:00
5258,6,"китай, тайвань, си цзиньпин, цзиньпин, си",130,2022-06-17 14:24:00
5265,13,"белоруссия, польша, учение, россия белоруссия, лукашенко",88,2022-06-17 14:24:00
5290,38,"сербия, хорватия, сербский, вучича, косово",44,2022-06-17 14:24:00
5486,6,"китай, китайский, тайвань, си, цзиньпин",158,2022-06-24 20:00:00
5493,13,"белоруссия, россия белоруссия, лукашенко, польша, белорусский",168,2022-06-24 20:00:00
5517,38,"сербия, вучича, пехота, косово, хорватия",42,2022-06-24 20:00:00
5710,6,"китай, тайвань, китайский, россия китай, цзиньпин",149,2022-07-02 1:36:00
5717,13,"белоруссия, лукашенко, белорусский, поддерживать, белорус",57,2022-07-02 1:36:00
5742,38,"сербия, косово, лицемерие, сербский, европарламент",12,2022-07-02 1:36:00
5930,6,"китай, китайский, тайвань, россия китай, кнр",89,2022-07-09 7:12:00
5937,13,"белоруссия, лукашенко, нападение россия, план запад, путин план",55,2022-07-09 7:12:00
5961,38,"сербия, вучича, сербский, хорватия, новый правительство",54,2022-07-09 7:12:00
6149,6,"китай, тайвань, китайский, мид китай, потребовать сша",161,2022-07-16 12:48:00
6156,13,"белоруссия, лукашенко, польша, белорусский, лукашенко заявить",55,2022-07-16 12:48:00
6180,38,"сербия, хорватия, вучича, посетить, сербский",51,2022-07-16 12:48:00
6368,6,"тайвань, китай, китайский, цзиньпин, си",284,2022-07-23 18:24:00
6375,13,"белоруссия, польша, делиться, болгария, газ",60,2022-07-23 18:24:00
6399,38,"сербия, вучича, косово, хорватия, глава мвд",37,2022-07-23 18:24:00
