Week of fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
4 April 2022	deita.ru	https://deita.ru/article/514203	евросоюз продолжит накачивать украину оружием  до победы	True	3126	(?=.*).*	(оруж)	(накач)
7 February 2022	anna-news.info	https://anna-news.info/nato-nakachivaet-ukrainu-oruzhiem/	нато накачивает украину оружием	True	114599	(?=.*).*	(оруж)	(накач)
7 February 2022	bfm.ru	https://www.bfm.ru/news/492517	небензя  запад накачивает киев наступательным оружием  нарушая минские договоренности	True	188995	(?=.*).*	(оруж)	(накач)
11 April 2022	bloknot.ru	https://bloknot.ru/politika/rossiya-predupredila-ssha-o-nepredskazuemy-h-posledstviyah-nakachivaniya-ukrainy-oruzhiem-914956.html	россия предупредила сша о  непредсказуемых последствиях  накачивания украины оружием	True	68426	(?=.*).*	(оруж)	(накач)
25 April 2022	bloknot.ru	https://bloknot.ru/v-mire/e-to-bezumie-by-vshij-voenny-j-sovetnik-angely-merkel-predostereg-germaniyu-ot-nakachki-ukrainy-oruzhiem-919935.html	это безумие  бывший военный советник ангелы меркель предостерег германию от накачки украины оружием	True	122303	(?=.*).*	(оруж)	(накач)
24 January 2022	dni.ru	https://dni.ru/polit/2022/1/27/497940.html	как россия отреагирует на накачку украины оружием  последние новости  сша  нато  война    политика    дни ру	True	192154	(?=.*).*	(оруж)	(накач)
25 July 2022	informing.ru	https://informing.ru/2022/07/29/sp-zapad-cherez-beskidskij-tonnel-besperebojno-nakachivaet-ukrainu-oruzhiem.html	запад через бескидский тоннель бесперебойно накачивает украину оружием	True	116963	(?=.*).*	(оруж)	(накач)
14 March 2022	inosmi.ru	https://inosmi.ru/20220315/ukraina-253378734.html	сша  накачивают  украину оружием  им не нужен мир в европе	True	319815	(?=.*).*	(оруж)	(накач)
7 February 2022	m24.ru	https://www.m24.ru/news/vlast/08022022/203634	путин заявил  что члены нато продолжают накачивать украину оружием	True	198022	(?=.*).*	(оруж)	(накач)
20 June 2022	riafan.ru	https://riafan.ru/23501756-politolog_samonkin_zapad_riskuet_poluchit_zhestkii_otvet_rossii_nakachivaya_ukrainu_oruzhiem	политолог самонкин  запад рискует получить жесткий ответ россии  накачивая украину оружием	True	438898	(?=.*).*	(оруж)	(накач)
14 February 2022	rg.ru	https://rg.ru/2022/02/16/mid-rossiia-provodit-voennye-ucheniia-iz-za-nakachki-ukrainy-oruzhiem-s-zapada.html	мид  россия проводит военные учения из за накачки украины оружием с запада	True	155621	(?=.*).*	(оруж)	(накач)
21 February 2022	rg.ru	https://rg.ru/2022/02/24/matvienko-zapad-cinichno-nakachival-ukrainu-oruzhiem.html	матвиенко  запад цинично накачивал украину оружием	True	154178	(?=.*).*	(оруж)	(накач)
24 January 2022	rt.com	https://russian.rt.com/world/news/953365-zapad-oruzhie-ukraina	зампостпреда россии при оон кузьмин  запад продолжает накачивать украину оружием	True	243466	(?=.*).*	(оруж)	(накач)
24 January 2022	rt.com	https://russian.rt.com/ussr/article/953528-agressiya-donbass-oruzhie-ukraina	накачка оружием   как иностранная военная помощь всу способствует эскалации напряжённости в донбассе	True	242461	(?=.*).*	(оруж)	(накач)
7 February 2022	rt.com	https://russian.rt.com/world/news/961804-oon-ukraina-oruzhie	зампостпреда при оон полянский заявил  что накачка украины оружием продолжится	True	247576	(?=.*).*	(оруж)	(накач)
21 February 2022	tvzvezda.ru	https://tvzvezda.ru/news/20222221239-FAOWy.html	лавров заявил  что рф волнует воинственная риторика киева и накачивание украины оружием	True	479864	(?=.*).*	(оруж)	(накач)
21 February 2022	tvzvezda.ru	https://tvzvezda.ru/news/202222276-nOOBF.html	небензя обвинил запад в  беззастенчивом  накачивании украины оружием	True	479687	(?=.*).*	(оруж)	(накач)
28 February 2022	tvzvezda.ru	https://tvzvezda.ru/news/2022352112-z2BRH.html	захарова призвала запад перестать накачивать украину новейшими системами вооружений	True	479951	(?=.*).*	(оруж)	(накач)
24 January 2022	regnum.ru	https://regnum.ru/news/3489210.html	накачка оружием сша дала плоды     сеть о месте всу в рейтинге армий мира	True	365130	(?=.*).*	(оруж)	(накач)
25 April 2022	pda.kp.ru	https://pda.kp.ru/online/news/4726960/	песков заявил  что накачивание оружием украины угрожает безопасности континента	True	338571	(?=.*).*	(оруж)	(накач)
23 May 2022	pda.kp.ru	https://pda.kp.ru/online/news/4765836/	путин сообщил макрону и шольцу об опасности накачки украины оружием с запада	True	338921	(?=.*).*	(оруж)	(накач)
30 May 2022	pda.kp.ru	https://pda.kp.ru/online/news/4775246/	экс командующий вдв георгий шпак объяснил  как пресечь накачку украины западным вооружением	True	335997	(?=.*).*	(оруж)	(накач)
4 July 2022	riafan.ru	https://riafan.ru/23523542-eks_sovetnik_glavi_pentagona_ukraina_ischeznet_s_karti_mira_pri_dal_neishei_nakachke_oruzhiem	экс советник главы пентагона  украина исчезнет с карты мира при дальнейшей  накачке  оружием	True	417103	(?=.*).*	(оруж)	(накач)
18 July 2022	ria.ru	https://ria.ru/20220721/lavrov-1804124703.html	лавров надеется  что запад поймет опасность накачивания киева оружием	True	234807	(?=.*).*	(оруж)	(накач)
18 April 2022	lenta.ru	https://lenta.ru/news/2022/04/20/679300/	сша уличили в желании накачать киев вооружениями и добиться эскалации конфликта	True	290176	(?=.*).*	(оруж)	(накач)
11 April 2022	mk.ru	https://www.mk.ru/politics/2022/04/15/ekspert-rasskazal-o-taynom-smysle-nakachivaniya-kieva-vooruzheniya-s-zapada.html	эксперт рассказал о тайном смысле накачивания киева вооружением с запада	True	140698	(?=.*).*	(оруж)	(накач)
18 April 2022	mk.ru	https://www.mk.ru/politics/2022/04/19/mid-rf-nakachka-evrosoyuzom-ukrainy-vooruzheniyami-protivorechit-ego-obyazatelstvam.html	мид рф  накачка евросоюзом украины вооружениями противоречит его обязательствам	True	143763	(?=.*).*	(оруж)	(накач)
25 April 2022	mk.ru	https://www.mk.ru/politics/2022/04/25/v-germanii-nazvali-bezumnoy-nakachku-ukrainy-oruzhiem.html	в германии назвали безумной накачку украины оружием	True	146907	(?=.*).*	(оруж)	(накач)
24 January 2022	news-front.info	https://news-front.info/2022/01/24/informatsionnoe-prikrytie-zapada-nakachivanie-ukrainy-oruzhiem-prodolzhaetsya/	информационное прикрытие запада  накачивание украины оружием продолжается   последние новости  россии  украины  сирии и мира  новости новороссии  лнр  днр	True	60379	(?=.*).*	(оруж)	(накач)
25 April 2022	aif.ru	https://aif.ru/politics/peskov_nakachivanie_ukrainy_oruzhiem_ugrozhaet_bezopasnosti_kontinenta	песков  накачивание украины оружием угрожает безопасности континента	True	183800	(?=.*).*	(оруж)	(накач)
9 May 2022	riafan.ru	https://riafan.ru/23196307-vasserman_ob_yasnil_pochemu_ssha_vigodno_prodolzhat_nakachivat_ukrainu_oruzhiem	вассерман объяснил  почему сша выгодно продолжать накачивать украину оружием	True	405435	(?=.*).*	(оруж)	(накач)
16 May 2022	riafan.ru	https://riafan.ru/23328768-_hana_evrope_satanovskii_ob_yasnil_chem_obernetsya_nakachka_ukraini_inostrannim_oruzhiem	хана европе   сатановский объяснил  чем обернется накачка украины иностранным оружием	True	437491	(?=.*).*	(оруж)	(накач)
25 April 2022	ura.news	https://ura.news/news/1052548571	экс советник меркель счел безумием накачку украины оружием	True	296178	(?=.*).*	(оруж)	(накач)
30 May 2022	regnum.ru	https://regnum.ru/news/polit/3608516.html	песков  накачивание киева оружием не меняет параметров спецоперации	True	385402	(?=.*).*	(оруж)	(накач)
30 May 2022	regnum.ru	https://regnum.ru/news/polit/3608518.html	накачка украины оружием не меняет параметров специальной операции   песков	True	385403	(?=.*).*	(оруж)	(накач)
30 May 2022	regnum.ru	https://regnum.ru/news/polit/3610572.html	сша нужно перестать накачивать киев вооружениями   nyt	True	386475	(?=.*).*	(оруж)	(накач)
28 February 2022	pda.kp.ru	https://pda.kp.ru/daily/27369/4551924/	страны g  продолжат накачивать украину оружием	True	331542	(?=.*).*	(оруж)	(накач)
11 April 2022	mk.ru	https://www.mk.ru/politics/2022/04/13/nakachka-ukrainy-zapadnym-oruzhiem-prodolzhitsya-do-unichtozheniya-transportnykh-putey.html	накачка украины западным оружием продолжится до уничтожения транспортных путей	True	136546	(?=.*).*	(оруж)	(накач)
24 January 2022	vz.ru	https://vz.ru/news/2022/1/29/1141040.html	взгляд   россия осудила  лихорадочную накачку  украины оружием сша    новости дня	True	171658	(?=.*).*	(оруж)	(накач)
17 January 2022	anna-news.info	https://anna-news.info/britaniya-prodolzhaet-nakachivat-ukrainu-oruzhiem/	великобритания продолжает накачивать украину оружием	True	13637	(?=.*).*	(оруж)	(накач)
17 January 2022	anna-news.info	https://anna-news.info/ukrainu-prodolzhayut-nakachivat-oruzhiem/	украину продолжают накачивать оружием	True	4206	(?=.*).*	(оруж)	(накач)
23 May 2022	fedpress.ru	https://fedpress.ru/news/northern-america/policy/3014516	посол антонов призвал сша прекратить накачивать украину оружием   северная америка	True	447326	(?=.*).*	(оруж)	(накач)
6 June 2022	ria.ru	https://ria.ru/20220608/moldaviya-1794019430.html	захарова предупредила об опасности накачки молдавии натовским оружием	True	226437	(?=.*).*	(оруж)	(накач)
6 June 2022	ria.ru	https://ria.ru/20220612/turtsiya-1794902041.html	в турции заявили  что накачка греции оружием может привести к конфликту	True	232920	(?=.*).*	(оруж)	(накач)
13 June 2022	ria.ru	https://ria.ru/20220617/ukraina-1795976839.html	экс помощник рейгана назвал опасные последствия накачки украины оружием	True	227340	(?=.*).*	(оруж)	(накач)
13 June 2022	rt.com	https://russian.rt.com/world/article/1016176-ssha-ukraina-oruzhie-eskalaciya	дорога к прямой конфронтации   россия предупредила сша о рисках дальнейшей накачки украины оружием	True	251709	(?=.*).*	(оруж)	(накач)
13 June 2022	regnum.ru	https://regnum.ru/news/polit/3620596.html	накачивать украину западным оружием бессмысленно   песков	True	401867	(?=.*).*	(оруж)	(накач)
20 June 2022	regnum.ru	https://regnum.ru/news/3625264.html	посол рф назвал визит джонсона попыткой прикрыть накачку киева оружием	True	402400	(?=.*).*	(оруж)	(накач)
27 June 2022	regnum.ru	https://regnum.ru/news/3630007.html	красносельский  молдавию накачивают оружием  как грузию перед      годом	True	389314	(?=.*).*	(оруж)	(накач)
7 February 2022	lenta.ru	https://lenta.ru/news/2022/02/12/masshtabnaya_nakachka/	путин заявил о  масштабной накачке  украины вооружением	True	281772	(?=.*).*	(оруж)	(накач)
7 February 2022	lenta.ru	https://lenta.ru/news/2022/02/12/masshtabnaya_nakachka/	путин заявил о масштабной накачке украины вооружением	True	281773	(?=.*).*	(оруж)	(накач)
7 February 2022	lenta.ru	https://lenta.ru/news/2022/02/12/sankk/	в мид россии заявили о накачке украины вооружением	True	281585	(?=.*).*	(оруж)	(накач)
21 February 2022	lenta.ru	https://lenta.ru/news/2022/02/22/oruzhiee/	небензя обвинил запад в  беззастенчивом накачивании  украины оружием	True	278661	(?=.*).*	(оруж)	(накач)
4 April 2022	lenta.ru	https://lenta.ru/news/2022/04/05/lethal/	россия призвала сша прекратить накачивать украину летальным оружием	True	276782	(?=.*).*	(оруж)	(накач)
14 March 2022	pravda.ru	https://www.pravda.ru/news/world/1690870-es_ukraina_oruzhie/	в италии увидели опасность в накачке украины оружием	True	341148	(?=.*).*	(оруж)	(накач)
28 March 2022	mk.ru	https://www.mk.ru/politics/2022/03/28/amerikanskiy-zhurnalist-ssha-s-2014-goda-nakachivali-ukrainu-oruzhiem.html	американский журналист  сша с      года  накачивали  украину оружием	True	141730	(?=.*).*	(оруж)	(накач)
6 June 2022	riafan.ru	https://riafan.ru/23482278-navyazannaya_konfrontatsiya_ekspert_mendkovich_ob_yasnil_gotovnost_parizha_nakachivat_kiev_oruzhiem	навязанная конфронтация  эксперт мендкович объяснил готовность парижа накачивать киев оружием	True	437114	(?=.*).*	(оруж)	(накач)
25 April 2022	xakac.info	https://xakac.info/news/100448	сша начинают накачивать оружием грузию	True	91107	(?=.*).*	(оруж)	(накач)
18 April 2022	argumenti.ru	https://argumenti.ru/army/2022/04/769176	сша  британия и канада усиленно накачивают украину тяжёлым вооружением	True	492535	(?=.*).*	(оруж)	(накач)
2 May 2022	argumenti.ru	https://argumenti.ru/politics/2022/05/770772	василий небензя  ряд стран делают из украины плацдарм для битвы с россией  накачивая киев вооружениями	True	487581	(?=.*).*	(оруж)	(накач)
9 May 2022	argumenti.ru	https://argumenti.ru/politics/2022/05/771583	медведев  учения нато у границ россии и накачивание украины оружием повышают вероятность прямого конфликта блока с москвой	True	487818	(?=.*).*	(оруж)	(накач)
9 May 2022	argumenti.ru	https://argumenti.ru/politics/2022/05/771606	политолог аслан рубаев   мы видим  как уничтожается европа  как борцы за мир и свободу накачивают оружием украину	True	487830	(?=.*).*	(оруж)	(накач)
24 January 2022	gazeta.ru	https://www.gazeta.ru/politics/news/2022/01/29/17210623.shtml	в россии объяснили  к чему приведет накачка киевского режима оружием сша   газета ru	True	313911	(?=.*).*	(оруж)	(накач)
28 March 2022	rt.com	https://russian.rt.com/world/article/983973-ssha-switchblade-ukraina-postavka	второй афганистан  зачем сша продолжают накачивать украину оружием	True	240162	(?=.*).*	(оруж)	(накач)
7 February 2022	tass.ru	https://tass.ru/politika/13692591	ушаков  сша раздувают истерию вокруг  вторжения   параллельно накачивая киев оружием	True	267010	(?=.*).*	(оруж)	(накач)
17 January 2022	vesti.ru	https://www.vesti.ru/article/2666203	украину накачивают вооружением и подталкивают к гражданской войне	True	7269	(?=.*).*	(оруж)	(накач)
23 May 2022	regnum.ru	https://regnum.ru/news/3603809.html	посол рф в сша предупредил о рисках из за накачки украины вооружениями	True	382683	(?=.*).*	(оруж)	(накач)
17 January 2022	pravda.ru	https://www.pravda.ru/world/1676157-evrobezopasnost/	свежо предание  говоря о безопасности  запад накачивает украину оружием	True	341271	(?=.*).*	(оруж)	(накач)
24 January 2022	pravda.ru	https://www.pravda.ru/news/world/1678742-ukraina/	посольство рф предупредило о  безостановочной накачке вашингтоном киевского режима новыми вооружениями	True	348301	(?=.*).*	(оруж)	(накач)
6 June 2022	mk.ru	https://www.mk.ru/politics/2022/06/12/tureckiy-ekspert-rezko-vyskazalsya-po-povodu-nakachki-grecii-oruzhiem.html	турецкий эксперт резко высказался по поводу накачки греции оружием	True	148015	(?=.*).*	(оруж)	(накач)
14 February 2022	riafan.ru	https://riafan.ru/1608580-zaharova-zapad-sozdaet-informacionnuyu-zavesu-dlya-nakachki-ukrainy-oruzhiem	захарова  запад создает информационную завесу для накачки украины оружием	True	411792	(?=.*).*	(оруж)	(накач)
28 February 2022	riafan.ru	https://riafan.ru/1618748-obrushit-vse-eto-na-rossiyu-suraikin-obyasnil-cel-nakachki-ukrainy-vooruzheniem	обрушить все это на россию  сурайкин объяснил цель  накачки  украины вооружением	True	412880	(?=.*).*	(оруж)	(накач)
7 February 2022	regnum.ru	https://regnum.ru/news/3501663.html	небензя заявил о накачке киева странами запада наступательным оружием	True	380071	(?=.*).*	(оруж)	(накач)
7 February 2022	regnum.ru	https://regnum.ru/news/3505861.html	зампостпреда рф при оон заявил  что накачка украины оружием продолжится	True	379489	(?=.*).*	(оруж)	(накач)
21 March 2022	pda.kp.ru	https://pda.kp.ru/online/news/4679185/	захарова заявила  что страны   члены нато продолжают накачку украины оружием	True	331051	(?=.*).*	(оруж)	(накач)
25 April 2022	pda.kp.ru	https://pda.kp.ru/online/news/4723731/	лавров заявил  что переговоры по украине вряд ли будут результативными  если киев продолжат накачивать оружием	True	339437	(?=.*).*	(оруж)	(накач)
23 May 2022	riafan.ru	https://riafan.ru/23459768-infobrics_nakachka_ukraini_zapadnim_oruzhiem_stanet_ugrozoi_dlya_grazhdanskoi_aviatsii	infobrics  накачка украины западным оружием станет угрозой для гражданской авиации	True	420755	(?=.*).*	(оруж)	(накач)
28 February 2022	vz.ru	https://vz.ru/news/2022/3/3/1146758.html	взгляд   рябков счел накачку киева вооружениями отражением политики запада в стиле  все средства хороши     новости дня	True	167619	(?=.*).*	(оруж)	(накач)
4 July 2022	regnum.ru	https://regnum.ru/news/3639543.html	в россии предупредили молдавию о последствиях от  накачки  оружием нато	True	396314	(?=.*).*	(оруж)	(накач)
24 January 2022	tass.ru	https://tass.ru/mezhdunarodnaya-panorama/13535073	в лнр назвали инициативу о поставках оружия из рф ответом на военную накачку киева западом	True	260565	(?=.*).*	(оруж)	(накач)
7 February 2022	vesti.ru	https://www.vesti.ru/article/2673961	воздушный мост  сша торопятся накачать европу оружием	True	12000	(?=.*).*	(оруж)	(накач)
