Week of fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
4 April 2022	neftegaz.ru	https://neftegaz.ru/news/politics/733175-smi-es-isklyuchil-serbiyu-iz-sanktsionnogo-spiska-stran-vvozyashchikh-neft-iz-rossii/	сми  ес исключил сербию из санкционного списка стран  ввозящих нефть из россии	True	78006	(?=.*).*	(серб)	()
27 December 2021	news-front.info	https://news-front.info/2021/12/29/balkanskoe-eho-ukrainskogo-provala-zapad-popytaetsya-otygratsya-na-serbah/	балканское эхо украинского провала  запад попытается отыграться на сербах   последние новости  россии  украины  сирии и мира  новости новороссии  лнр  днр	True	82360	(?=.*).*	(серб)	()
4 July 2022	news-front.info	https://news-front.info/2022/07/07/evroparlament-serbiju-primut-v-es-esli-ona-vvedet-sankcii-protiv-rossii-i-priznaet-kosovo/	европарламент  сербию примут в ес  если она введет санкции против россии и признает косово	True	105044	(?=.*).*	(серб)	()
11 July 2022	news-front.info	https://news-front.info/2022/07/17/deputat-verhovnoj-rady-ukrainy-v-ocherednoj-raz-obratilsja-s-ugrozami-k-lideru-serbii/	депутат верховной рады украины в очередной раз обратился с угрозами к лидеру сербии	True	98123	(?=.*).*	(серб)	()
11 July 2022	newslab.ru	http://newslab.ru/news/1115661	роман сербин   осенью в норильске появится первая современная детская площадка с оборудованием для детей с ограниченными возможностями    новости общества красноярска и красноярского края            newslab ru	True	91492	(?=.*).*	(серб)	()
18 April 2022	ngs.ru	https://ngs.ru/text/world/2022/04/21/71272916/	программист   об эмиграции в сербию  эмиграция в сербию переезд в сербию  как переехать в сербию  как переехать в белград  страны  куда не нужна виза   нгс	True	117300	(?=.*).*	(серб)	()
17 January 2022	patriarchia.ru	http://www.patriarchia.ru/db/text/5889823.html	патриарх сербский порфирий  мы продолжим оказывать поддержку митрополиту онуфрию и его церкви   новости   патриархия ru	True	87808	(?=.*).*	(серб)	()
25 April 2022	patriarchia.ru	http://www.patriarchia.ru/db/text/5921647.html	состоялась беседа святейшего патриарха кирилла с предстоятелем сербской православной церкви   новости   патриархия ru	True	98839	(?=.*).*	(серб)	()
23 May 2022	patriarchia.ru	http://www.patriarchia.ru/db/text/5929409.html	поздравление предстоятеля сербской православной церкви святейшему патриарху кириллу с днем тезоименитства   проповеди   патриархия ru	True	115769	(?=.*).*	(серб)	()
30 May 2022	patriarchia.ru	http://www.patriarchia.ru/db/text/5932033.html	книга сербского писателя с  стойичевича  гибридная война против сербской православной церкви  издана русской экспертной школой   новости   патриархия ru	True	113898	(?=.*).*	(серб)	()
30 May 2022	patriarchia.ru	http://www.patriarchia.ru/db/text/912238.html	святой мученик иоанн владимир  князь сербский   патриархия ru	True	89707	(?=.*).*	(серб)	()
24 January 2022	piter.tv	https://piter.tv/event/basketbol_chempionat_evropi_rezul_tati_dnya_5_tur_sbornaya_rossii/	баскетбол  чемпионат европы  результаты   го тура  россия отжигает  хорватия и сербия уверенно побеждают	True	95761	(?=.*).*	(серб)	()
11 April 2022	piter.tv	https://piter.tv/event/Vuchich_Serbiya_kupila_u_Kitaya_ZRK_FK_3_dlya_zaschiti_svoej_strani/	вучич  сербия купила у китая зрк fk   для защиты своей страны	True	78235	(?=.*).*	(серб)	()
16 May 2022	piter.tv	https://piter.tv/event/Artem_Dzyuba_ne_zahotel_perehodit_v_serbskuyu_Crvenu_Zvezdu_/	артем дзюба не захотел переходить в сербскую  црвену звезду	True	113085	(?=.*).*	(серб)	()
6 June 2022	piter.tv	https://piter.tv/event/Lavrov_nazval_reshenie_zapadnih_stran_ne_propustit_ego_samolet_v_Serbiyu_besprecedentnim/	лавров назвал решение запада не пропустить его самолет в сербию беспрецедентным	True	111380	(?=.*).*	(серб)	()
18 July 2022	piter.tv	https://piter.tv/event/evrosoyuz_vinuzhdaet_serbiyu_vvesti_sankcii_protiv_rossii/	евросоюз просит сербию ввести санкции против российского государства	True	68606	(?=.*).*	(серб)	()
25 July 2022	piter.tv	https://piter.tv/event/Serbskij_biznesmen_zayavil_chto_Rossiya_dolzhna_postavlyat_strane_deshevij_gaz/	сербский бизнесмен заявил  что россия должна поставлять стране дешевый газ	True	122374	(?=.*).*	(серб)	()
7 February 2022	pnp.ru	https://www.pnp.ru/social/gincburg-virusologi-serbii-mogut-vnesti-znachitelnyy-vklad-v-proizvodstvo-sputnika-v.html	гинцбург  вирусологи сербии могут внести значительный вклад в производство  спутника v	True	70509	(?=.*).*	(серб)	()
7 February 2022	pnp.ru	https://www.pnp.ru/in-world/diplomaty-pochtili-pamyat-posla-rossiyskoy-imperii-v-serbii.html	дипломаты почтили память посла российской империи в сербии	True	70458	(?=.*).*	(серб)	()
7 February 2022	pnp.ru	https://www.pnp.ru/politics/vuchich-vozglavit-spisok-pravyashhey-partii-na-vyborakh.html	вучич возглавит список правящей партии на выборах в сербии	True	70916	(?=.*).*	(серб)	()
14 March 2022	pnp.ru	https://www.pnp.ru/in-world/v-mvd-serbii-vnov-prishlo-soobshhenie-o-bombe-v-samolete-vyletayushhem-v-moskvu.html	в мвд сербии вновь пришло сообщение о бомбе в вылетающем в москву самолете	True	100351	(?=.*).*	(серб)	()
21 March 2022	pnp.ru	https://www.pnp.ru/politics/belgrad-otvetil-vilnyusu-na-prizyv-k-antiserbskim-sankciyam.html	белград ответил вильнюсу на призыв к антисербским санкциям	True	73938	(?=.*).*	(серб)	()
21 March 2022	pnp.ru	https://www.pnp.ru/politics/v-serbii-zayavili-chto-strana-nikogda-ne-prisoedinitsya-k-antirossiyskoy-isterii.html	в сербии заявили  что страна никогда не присоединится к антироссийской истерии	True	88351	(?=.*).*	(серб)	()
21 March 2022	pnp.ru	https://www.pnp.ru/in-world/kak-v-serbii-podderzhivayut-specoperaciyu-rossii-na-ukraine.html	как в сербии поддерживают спецоперацию россии на украине	True	83267	(?=.*).*	(серб)	()
11 April 2022	pnp.ru	https://www.pnp.ru/in-world/ekspert-v-evrope-dolzhny-uchityvat-specificheskie-otnosheniya-serbii-s-rossiey.html	эксперт  в европе должны учитывать специфические отношения сербии с россией	True	69149	(?=.*).*	(серб)	()
11 April 2022	pnp.ru	https://www.pnp.ru/politics/posol-frg-germaniya-ozhidaet-ot-serbii-prisoedineniya-k-antirossiyskim-sankciyam.html	посол фрг  германия ожидает от сербии присоединения к антироссийским санкциям	True	71002	(?=.*).*	(серб)	()
11 April 2022	pnp.ru	https://www.pnp.ru/politics/vuchich-serbiya-prodolzhit-razvivat-sotrudnichestvo-s-rossiey-i-kitaem.html	вучич  сербия продолжит развивать сотрудничество с россией и китаем	True	93527	(?=.*).*	(серб)	()
18 April 2022	pnp.ru	https://www.pnp.ru/politics/spiker-parlamenta-serbii-zayavil-chto-belgrad-budet-berech-druzheskie-otnosheniya-s-rossiey.html	спикер парламента сербии заявил  что белград будет беречь дружеские отношения с россией	True	85891	(?=.*).*	(серб)	()
18 April 2022	pnp.ru	https://www.pnp.ru/politics/glava-mvd-serbii-protiv-strany-vedetsya-gibridnaya-voyna-iz-za-otkaza-vvesti-antirossiyskie-sankcii.html	мвд сербии  против страны ведется гибридная война из за отказа ввести антироссийские санкции	True	94451	(?=.*).*	(серб)	()
25 April 2022	pnp.ru	https://www.pnp.ru/politics/sluckiy-pozdravil-prezidenta-serbii-s-pereizbraniem-na-novyy-srok.html	слуцкий поздравил президента сербии с переизбранием на новый срок	True	67882	(?=.*).*	(серб)	()
9 May 2022	pnp.ru	https://www.pnp.ru/in-world/vuchich-zayavil-chto-serbiya-budet-soprotivlyatsya-vvedeniyu-antirossiyskikh-sankciy.html	вучич заявил  что сербия будет сопротивляться введению антироссийских санкций	True	86170	(?=.*).*	(серб)	()
16 May 2022	pnp.ru	https://www.pnp.ru/politics/serbskiy-ekspert-reshenie-vstupit-v-nato-ne-yavlyaetsya-vyborom-grazhdan-shvecii-i-finlyandii.html	сербский эксперт  решение вступить в нато не является выбором граждан швеции и финляндии	True	113176	(?=.*).*	(серб)	()
