id,Topic,Words,Frequency,Timestamp
6,5,"санкция, санкция против, разрыв отношение, новый санкция, санкция против россия",107,2021-12-25 18:47:31.200
209,5,"санкция, санкция против, санкция против россия, против россия, против",61,2022-01-02 05:36:00.000
408,5,"санкция, новый санкция, санкция сша, санкция против, против",179,2022-01-09 11:12:00.000
610,5,"санкция, санкция против, против, санкция против россия, против россия",215,2022-01-16 16:48:00.000
817,5,"санкция, санкция против, против, против россия, санкция против россия",286,2022-01-23 22:24:00.000
1039,5,"санкция, санкция против, против россия, санкция против россия, против",120,2022-01-31 04:00:00.000
1257,5,"санкция против россия, санкция, санкция против, против россия, против",152,2022-02-07 09:36:00.000
1472,5,"санкция, санкция против, санкция против россия, против россия, против",194,2022-02-14 15:12:00.000
1692,5,"санкция, санкция против, санкция против россия, против россия, против",831,2022-02-21 20:48:00.000
1919,5,"санкция, санкция против, санкция против россия, против россия, против",259,2022-03-01 02:24:00.000
2143,5,"санкция, санкция против, санкция против россия, против россия, против",375,2022-03-08 08:00:00.000
2363,5,"санкция, санкция против, санкция против россия, против россия, антироссийский санкция",228,2022-03-15 13:36:00.000
2584,5,"санкция, санкция против, против, санкция против россия, против россия",238,2022-03-22 19:12:00.000
2805,5,"санкция, санкция против, санкция против россия, против россия, новый санкция",278,2022-03-30 00:48:00.000
3031,5,"санкция, санкция против, против, против россия, санкция против россия",174,2022-04-06 06:24:00.000
3252,5,"санкция, санкция против, санкция против россия, против россия, против",160,2022-04-13 12:00:00.000
3474,5,"санкция, санкция против, против, односторонний, санкция против россия",130,2022-04-20 17:36:00.000
3700,5,"санкция, санкция против, антироссийский санкция, антироссийский, санкция против россия",118,2022-04-27 23:12:00.000
3927,5,"санкция, санкция против, против россия, санкция против россия, против",118,2022-05-05 04:48:00.000
4148,5,"санкция, санкция против, антироссийский санкция, санкция против россия, антироссийский",131,2022-05-12 10:24:00.000
4373,5,"санкция, санкция против, антироссийский санкция, антироссийский, против",86,2022-05-19 16:00:00.000
4591,5,"санкция, санкция против, санкция против россия, против россия, против",166,2022-05-26 21:36:00.000
4818,5,"санкция, санкция против, против путин, против, санкция против россия",136,2022-06-03 03:12:00.000
5040,5,"санкция, санкция против россия, санкция против, против россия, антироссийский санкция",117,2022-06-10 08:48:00.000
5257,5,"санкция, антироссийский санкция, антироссийский, санкция против, против россия",94,2022-06-17 14:24:00.000
5485,5,"санкция, санкция против, сша ввести, против, антироссийский санкция",110,2022-06-24 20:00:00.000
5709,5,"санкция, антироссийский санкция, антироссийский, санкция против, против россия",60,2022-07-02 01:36:00.000
5929,5,"санкция, санкция против, антироссийский санкция, антироссийский, санкция против россия",93,2022-07-09 07:12:00.000
6148,5,"санкция, антироссийский санкция, антироссийский, санкция против, санкция против россия",135,2022-07-16 12:48:00.000
6367,5,"санкция, санкция запад, санкция против, снятие санкция, санкция против россия",68,2022-07-23 18:24:00.000
