id,Topic,Words,Frequency,Timestamp
65,65,"инфляция, экономист, фактический, годовой, сдержать",19,2021-12-25 18:47:31.200
269,65,"инфляция, годовой, рекорд, достигнуть, исторический рекорд",5,2022-01-02 05:36:00.000
467,65,"инфляция, годовой, максимум, рекордный, достигнуть",41,2022-01-09 11:12:00.000
669,65,"инфляция, годовой, замедление, спрогнозировать, минэкономразвития",12,2022-01-16 16:48:00.000
876,65,"инфляция, фрс, рекордный, байден назвать, рост",20,2022-01-23 22:24:00.000
1099,65,"инфляция, годовой, фактический, рекордный, ускорение",15,2022-01-31 04:00:00.000
1317,65,"инфляция, минэкономразвития, прогноз, годовой, повысить",60,2022-02-07 09:36:00.000
1531,65,"инфляция, рекордный, борьба, путин призвать, экономист",27,2022-02-14 15:12:00.000
1752,65,"инфляция, годовой, минэкономразвития, экономист, фрс",16,2022-02-21 20:48:00.000
1979,65,"инфляция, экономист оценить, фрс, оценить влияние, влияние",11,2022-03-01 02:24:00.000
2202,65,"инфляция, рекордный, годовой, ускорение, сша санкция",37,2022-03-08 08:00:00.000
2423,65,"инфляция, годовой, экономист, достигнуть, рост",21,2022-03-15 13:36:00.000
2643,65,"инфляция, годовой, экономист, минэкономразвития, прогноз",17,2022-03-22 19:12:00.000
2865,65,"инфляция, экономист, бить рекорд, годовой, год вырасти",15,2022-03-30 00:48:00.000
3091,65,"инфляция, годовой, достигнуть, рост, минэкономразвития",25,2022-04-06 06:24:00.000
3311,65,"инфляция, высокий, годовой, рекордный, кипр",40,2022-04-13 12:00:00.000
3534,65,"инфляция, рекордный, годовой, экономист, минэкономразвития",24,2022-04-20 17:36:00.000
3760,65,"инфляция, экономист, годовой, небывалый, рекордный",19,2022-04-27 23:12:00.000
3987,65,"инфляция, годовой, минэкономразвития, экономист, рекордный",28,2022-05-05 04:48:00.000
4208,65,"инфляция, рекордный, минэкономразвития, годовой, власть сша",36,2022-05-12 10:24:00.000
4433,65,"инфляция, экономист, рекордный, годовой, минэкономразвития",35,2022-05-19 16:00:00.000
4651,65,"инфляция, рекордный, годовой, экономист, борьба",45,2022-05-26 21:36:00.000
4877,65,"инфляция, годовой, рекордный, россия удаться, экономист",88,2022-06-03 03:12:00.000
5099,65,"инфляция, путинский, рекордный, минэкономразвития, годовой",74,2022-06-10 08:48:00.000
5317,65,"инфляция, фрс, годовой, безответственный, минэкономразвития",48,2022-06-17 14:24:00.000
5544,65,"инфляция, минэкономразвития, годовой, экономист, июнь",35,2022-06-24 20:00:00.000
5769,65,"инфляция, годовой, минэкономразвития, экономист, рекордный",32,2022-07-02 01:36:00.000
5988,65,"инфляция, годовой, рекордный, достигнуть, прогноз",45,2022-07-09 07:12:00.000
6207,65,"инфляция, рекордный, годовой, цб, год газета ru",15,2022-07-16 12:48:00.000
6425,65,"инфляция, годовой, обновить, рекорд, достигнуть рекордный",14,2022-07-23 18:24:00.000
