id,Topic,Words,Frequency,Timestamp
130,134,"swift, россия swift, отключить, отключение, отключать",4,2021-12-25 18:47:31
527,134,"swift, россия swift, отключение россия, отключение, навредить",18,2022-01-09 11:12:00
737,134,"swift, россия swift, отключение, отключение россия, отключить",64,2022-01-16 16:48:00
944,134,"swift, россия swift, отключение россия, отключение, отключить",45,2022-01-23 22:24:00
1167,134,"swift, отключение, сша усомниться, хотя, спастись",2,2022-01-31 4:00:00
1382,134,"swift, россия swift, отключение, отключение россия, отключать",18,2022-02-07 9:36:00
1820,134,"swift, россия swift, отключение, отключение россия, отключить",131,2022-02-21 20:48:00
2047,134,"swift, отключение, отключить, банк, россия swift",35,2022-03-01 2:24:00
2270,134,"swift, отключение, россия swift, сбербанк, отключение россия",15,2022-03-08 8:00:00
2490,134,"swift, отключение, сбербанк, связать, фрг",1,2022-03-15 13:36:00
2709,134,"swift, россия swift, отключение, отключение россия, депутат европарламент",6,2022-03-22 19:12:00
2934,134,"swift, спасибо, россия создать, альтернатива, индия",1,2022-03-30 0:48:00
3157,134,"swift, страна брикс, аналог, независимый, ускорить",1,2022-04-06 6:24:00
3828,134,"swift, отключение, отключить, россия swift, отключение россия",11,2022-04-27 23:12:00
4720,134,"swift, сбербанк, отключение, отключить, россия swift",11,2022-05-26 21:36:00
4944,134,"swift, мало, отключить, рф белоруссия, шестой",1,2022-06-03 3:12:00
5165,134,"swift, отключать, отключить, банк, евросоюз",14,2022-06-10 8:48:00
6057,134,"swift, тестирование, аналог, учреждение, помощник",2,2022-07-09 7:12:00
6274,134,"swift, независимый, помощник, сделать, система",1,2022-07-16 12:48:00
6493,134,"swift, мочь заменить, россия иран, разработка, заменить",1,2022-07-23 18:24:00
