id,Topic,Words,Frequency,Timestamp
176,195,"топливный, бедность, британия, рекордный, самый высокий",11,2021-12-25 18:47:31.200
188,210,"потребление, газ, кризис ес, поставка газ, ес",7,2021-12-25 18:47:31.200
195,220,"латвия, бунт, отказаться российский, слишком, рига",2,2021-12-25 18:47:31.200
374,195,"декабрь, услуга, вариант, обеспечить, великобритания",1,2022-01-02 05:36:00.000
387,210,"аргумент, против рф, позиция, газпром, ес",1,2022-01-02 05:36:00.000
575,195,"отопление, энергокризис, кот, британец, заменить",1,2022-01-09 11:12:00.000
587,210,"газпром, энергокризис, обвинение, ес, спекуляция",13,2022-01-09 11:12:00.000
784,195,"электричество, британец, ошибка, апокалипсис, британия",5,2022-01-16 16:48:00.000
798,210,"манипуляция, газпром, обвинить, столтенберг, газовый",7,2022-01-16 16:48:00.000
803,220,"мочь выйти, экс советник, латвия, свет, советник",1,2022-01-16 16:48:00.000
1012,210,"ес, газ рф, газ, катар, газ ес",10,2022-01-23 22:24:00.000
1021,220,"разработать план, разработать, независимость, российский газ, латвия",3,2022-01-23 22:24:00.000
1203,173,"выработка, финляндия, вновь, электричество, аэс",3,2022-01-31 04:00:00.000
1220,195,"электроэнергия, электричество, цена, верхний, британец",8,2022-01-31 04:00:00.000
1235,210,"газовый, ес, кризис ес, диверсификация, ес обсудить",5,2022-01-31 04:00:00.000
1244,220,"латвия, добывать, надеяться, морской, экспорт",2,2022-01-31 04:00:00.000
1419,173,"электроэнергия, перенести, аэс, финляндия, производство",1,2022-02-07 09:36:00.000
1436,195,"рекордный уровень, цена топливо, топливо, достигнуть, рекордный",1,2022-02-07 09:36:00.000
1449,210,"кризис ес, ес назвать, газ ес, конфликт сша, ес",4,2022-02-07 09:36:00.000
1652,195,"десятилетие, государственный, увеличиться, пункт, великобритания",1,2022-02-14 15:12:00.000
1667,210,"газ, поставка газ, отказаться газ, забывать, ес отказаться",5,2022-02-14 15:12:00.000
1859,173,"прекращение поставка, финляндия, прекращение, поставка газ, готовиться возможный",8,2022-02-21 20:48:00.000
1880,195,"максимум, бензин, исторический, стоимость, достигнуть",3,2022-02-21 20:48:00.000
1895,210,"планета, смена, глобальный, помогать, прекратить",2,2022-02-21 20:48:00.000
1903,220,"латвия, озаботиться, пощёчина, российский газ, проблема поставка",3,2022-02-21 20:48:00.000
2085,173,"финский, электричество, метод, простой, экономия",1,2022-03-01 02:24:00.000
2105,195,"daily mail, плата, mail, электроэнергия, возмутиться",1,2022-03-01 02:24:00.000
2120,210,"лёт, лгать, найти замена, мочь отказаться, газ рф",3,2022-03-01 02:24:00.000
2128,220,"латвия, литва, российский газ, готовый отказаться, газ",4,2022-03-01 02:24:00.000
2327,195,"отопление, британия, усугубить, ограничение поставка, энергокризис",4,2022-03-08 08:00:00.000
2341,210,"отказаться газ, трудный, the telegraph, газ рф, telegraph",2,2022-03-08 08:00:00.000
2347,220,"латвия, друг, друг друг, избавиться, газ рф",2,2022-03-08 08:00:00.000
2527,173,"тепло, отопление, финляндия, офис, направить",1,2022-03-15 13:36:00.000
2546,195,"четверть, электроэнергия, необходимый, получать, аэс",1,2022-03-15 13:36:00.000
2561,210,"politico, ес отказаться, ничто, топливный, помочь",2,2022-03-15 13:36:00.000
2568,220,"избавиться, назвать способ, латвия, нефть газ, отказываться",2,2022-03-15 13:36:00.000
2766,195,"британец, рост цена, электроэнергия, свет, трудность",16,2022-03-22 19:12:00.000
2781,210,"ес, газа, газ, страна ес, закупка",8,2022-03-22 19:12:00.000
2789,220,"латвия, российский газ, россия президент, легко, импорт",12,2022-03-22 19:12:00.000
2990,195,"британец, энергетический кризис, бензин, цена, британия",26,2022-03-30 00:48:00.000
3005,210,"газ рф, газ, эксперт предречь, ес, потребление",8,2022-03-30 00:48:00.000
3014,220,"латвия, российский газ, газ, литва, страна балтия",62,2022-03-30 00:48:00.000
3193,173,"финляндия, активист, уголь, электроэнергия, заблокировать",4,2022-04-06 06:24:00.000
3213,195,"электроэнергия, счёт, бензин, британец, британия",7,2022-04-06 06:24:00.000
3227,210,"газ ес, держаться, сша собираться, ес, быстро",5,2022-04-06 06:24:00.000
3236,220,"российский газ, латвия, газ год, коллапс, эстония",5,2022-04-06 06:24:00.000
3416,173,"импортировать, электроэнергия, россия готовый, финляндия, готовый",1,2022-04-13 12:00:00.000
3436,195,"каждый четвёртый, британец, зимой, цена топливо, отопление",4,2022-04-13 12:00:00.000
3451,210,"почему рф, развитие событие, газ, сотрудничество рф, грозный",5,2022-04-13 12:00:00.000
3459,220,"латвия, российский газ, газ год, отказаться российский, заявить план",5,2022-04-13 12:00:00.000
3638,173,"финляндия, электроэнергия, газ рубль, платить, электричество",32,2022-04-20 17:36:00.000
3658,195,"британец, топливо, цена топливо, роскошь, энергокризис",3,2022-04-20 17:36:00.000
3673,210,"шантаж, глава ек, газ рф, ft, ек",2,2022-04-20 17:36:00.000
3682,220,"страна балтия, латвия, балтия, закупать, покупать",3,2022-04-20 17:36:00.000
3865,173,"финляндия, яндекс, дата, поставка российский, резервный",31,2022-04-27 23:12:00.000
3887,195,"британец, цена топливо, топливо, nyt, столкнуться",3,2022-04-27 23:12:00.000
3902,210,"газ рф, ес, кризис ес, газ ес, газ",6,2022-04-27 23:12:00.000
3910,220,"латвия, латвийский, российский газ, газ рубль, регулятор",8,2022-04-27 23:12:00.000
4089,173,"финляндия, поставка газ, прекращение поставка, поставка, май",27,2022-05-05 04:48:00.000
4109,195,"электричество, британец, счёт, расти, цена топливо",6,2022-05-05 04:48:00.000
4124,210,"делиться, el, сокращение, страна ес, ес",12,2022-05-05 04:48:00.000
4311,173,"финляндия, прекращение поставка, электроэнергия, прекращение, поставка",65,2022-05-12 10:24:00.000
4332,195,"рекорд, включать, британец, отопление, топливо",6,2022-05-12 10:24:00.000
4347,210,"хранилище, серьёзность, отнять, ограничивать, осознать",4,2022-05-12 10:24:00.000
4356,220,"латвия, российский газ, обходиться, газ, литва",9,2022-05-12 10:24:00.000
4533,173,"финляндия, поставка газ, поставка, газ, прекращение поставка",78,2022-05-19 16:00:00.000
4552,195,"топливный, нищета, британец, британия, мочь столкнуться",21,2022-05-19 16:00:00.000
4564,210,"благо, реальность, рассказать почему, энергетика, конгресс",3,2022-05-19 16:00:00.000
4573,220,"латвия, российский газ, мид латвия, газ, газ глава",8,2022-05-19 16:00:00.000
4758,173,"финляндия, продолжать, электроэнергия, покупать, остаться российский",8,2022-05-26 21:36:00.000
4780,195,"электричество, британец, отключение, зимой, миллион",19,2022-05-26 21:36:00.000
4793,210,"страна ес, постепенно, заместить, газ рф, затягивать",5,2022-05-26 21:36:00.000
4802,220,"способный, альтернатива, газ россия, россия заявить, литва",1,2022-05-26 21:36:00.000
4981,173,"финляндия, назревать, фролов, холод, зимний",3,2022-06-03 03:12:00.000
5000,195,"бензин, цена, великобритания, британия, максимум",15,2022-06-03 03:12:00.000
5012,210,"сорвать, британец, отказаться газ, джонсон, план",2,2022-06-03 03:12:00.000
5021,220,"жкх, поразить, латвия, отключение, российский газ",1,2022-06-03 03:12:00.000
5202,173,"финляндия, получать российский, российский газ, г общество, г общество новость",4,2022-06-10 08:48:00.000
5221,195,"бензин, британец, рост цена, массово, цена",10,2022-06-10 08:48:00.000
5234,210,"ответ рф, шантаж, газовый, заметить, лозунг",4,2022-06-10 08:48:00.000
5424,173,"финляндия, заявить сохранение, порвать, поставка российский, сохранение",2,2022-06-17 14:24:00.000
