Week of fetchdate_orig	page_domain_root	page_url	title_new	Distinct count of ID	topic
July 11, 2022	regnum.ru	https://regnum.ru/news/polit/3646843.html	глава франции предостерег жителей от беспрецедентной с      года инфляции	1	Inflation in the West
June 6, 2022	regnum.ru	https://regnum.ru/news/polit/3616909.html	байден назвал инфляцию в сша  субпродуктом  помощи киеву	1	Inflation in the West
June 20, 2022	regnum.ru	https://regnum.ru/news/polit/3616458.html	полянский назвал неубедительными обвинения россии в инфляции в сша	1	Inflation in the West
June 13, 2022	regnum.ru	https://regnum.ru/news/polit/3615332.html	инфляция больше всего тревожит сша  рейтинг байдена падает до       опрос	1	Inflation in the West
June 6, 2022	regnum.ru	https://regnum.ru/news/polit/3612385.html	сенатор сша назвал позорищем план байдена по борьбе с инфляцией	1	Inflation in the West
May 16, 2022	regnum.ru	https://regnum.ru/news/polit/3597788.html	сеть об инфляции в странах ес   русофобия оказалась не по карману	1	Inflation in the West
April 11, 2022	regnum.ru	https://regnum.ru/news/polit/3565285.html	байден объяснил инфляцию в сша  политикой путина	1	Inflation in the West
April 11, 2022	regnum.ru	https://regnum.ru/news/polit/3564196.html	антироссийские санкции усилят рост инфляции в сша   wp	1	Inflation in the West
March 7, 2022	regnum.ru	https://regnum.ru/news/polit/3529387.html	байден обвинил путина в инфляции в сша	1	Inflation in the West
July 25, 2022	regnum.ru	https://regnum.ru/news/economy/3653642.html	в госдуме ждут  что страны европы перегрызутся из за холода и инфляции	1	Inflation in the West
July 11, 2022	regnum.ru	https://regnum.ru/news/economy/3646863.html	глава минфина сша признала инфляцию в стране  неприемлемо высокой	1	Inflation in the West
July 4, 2022	regnum.ru	https://regnum.ru/news/economy/3640835.html	фрс сша запустила ситуацию с ростом инфляции в америке   экономист	1	Inflation in the West
June 20, 2022	regnum.ru	https://regnum.ru/news/economy/3621671.html	экономист сафонов объяснил  почему фрс не сможет погасить инфляцию в сша	1	Inflation in the West
June 6, 2022	regnum.ru	https://regnum.ru/news/economy/3616854.html	сша придется еще  некоторое время  уживаться с инфляцией   байден	1	Inflation in the West
June 6, 2022	regnum.ru	https://regnum.ru/news/economy/3616235.html	йеллен признала влияние антироссийских санкций на инфляцию в сша	1	Inflation in the West
May 30, 2022	regnum.ru	https://regnum.ru/news/economy/3608675.html	рост инфляции в сша зависит от решительности главы фрс   экономист	1	Inflation in the West
May 30, 2022	regnum.ru	https://regnum.ru/news/economy/3608672.html	рост инфляции в сша чреват социальными потрясениями   экономист хестанов	1	Inflation in the West
May 30, 2022	regnum.ru	https://regnum.ru/news/economy/3606816.html	министр финансов сша признала свою ошибку в оценке влияния инфляции	1	Inflation in the West
May 30, 2022	regnum.ru	https://regnum.ru/news/economy/3606255.html	профессор ильинский объяснил  чем вызвана рекордная инфляция в германии	1	Inflation in the West
May 30, 2022	regnum.ru	https://regnum.ru/news/economy/3606159.html	инфляция во франции бьет рекорды вслед за другими странами ес	1	Inflation in the West
May 16, 2022	regnum.ru	https://regnum.ru/news/economy/3597147.html	ft назвала страны ес с рекордной инфляцией из за санкций против россии	1	Inflation in the West
April 18, 2022	regnum.ru	https://regnum.ru/news/economy/3572451.html	экономика сша переживает инфляционный шторм   профессор ильинский	1	Inflation in the West
April 11, 2022	regnum.ru	https://regnum.ru/news/economy/3566029.html	европу предупредили о рекордной инфляции без российских энергоресурсов	1	Inflation in the West
April 11, 2022	regnum.ru	https://regnum.ru/news/economy/3563810.html	байден опережает события  эксперт о росте инфляции в сша	1	Inflation in the West
April 11, 2022	regnum.ru	https://regnum.ru/news/economy/3563264.html	wsj назвала истинных виновных в росте инфляции в сша	1	Inflation in the West
April 4, 2022	regnum.ru	https://regnum.ru/news/economy/3557093.html	экономист заявил о росте инфляции в ес после решения продавать газ за рубли	1	Inflation in the West
March 28, 2022	regnum.ru	https://regnum.ru/news/economy/3546981.html	инфляция в ес продолжит расти из за санкций против рф   экономист	1	Inflation in the West
February 14, 2022	regnum.ru	https://regnum.ru/news/economy/3506894.html	геополитика и инфляция оказали давление на фондовые индексы сша	1	Inflation in the West
January 31, 2022	regnum.ru	https://regnum.ru/news/economy/3495344.html	инфляция в сша побила сорокалетний максимум	1	Inflation in the West
July 25, 2022	regnum.ru	https://regnum.ru/news/3656489.html	рост экономики грузии обеспечили инфляция и россия   политолог	1	Inflation in the West
