Week of fetchdate_orig	page_domain_root	page_url	title_new	Distinct count of ID
25 July 2022	riafan.ru	https://riafan.ru/23563512-razveyannii_mif_ob_izolyatsii_rossii_vizval_paniku_vo_frantsii_i_ssha	развеянный миф об  изоляции  россии вызвал панику во франции и сша	1
25 July 2022	riafan.ru	https://riafan.ru/23562710-rossiya_menyaet_konfiguratsiyu_ssha_okazalis_v_izolyatsii_dazhe_v_zapadnom_polusharii	россия меняет конфигурацию  сша оказались в изоляции даже в западном полушарии	1
25 July 2022	riafan.ru	https://riafan.ru/23557073-ft_afrikanskoe_turne_lavrova_prodemonstrirovalo_neudachu_zapada_s_izolyatsiei_rossii	ft  африканское турне лаврова продемонстрировало неудачу запада с изоляцией россии	1
25 July 2022	riafan.ru	https://riafan.ru/23556163-_vospalennoe_voobrazhenie_posol_stvo_rossii_v_ssha_otvetilo_na_zayavlenie_gosdepa_ob_izolyatsii_moskvi	воспаленное воображение   посольство россии в сша ответило на заявление госдепа об изоляции москвы	1
18 July 2022	riafan.ru	https://riafan.ru/23553960-mk_lavrov_razbil_tezis_zapada_ob_izolyatsii_rossii_v_iyul_skom_turne_po_miru	мк  лавров разбил тезис запада об  изоляции  россии в июльском турне по миру	1
18 July 2022	riafan.ru	https://riafan.ru/23553408-satanovskii_podnyal_na_smeh_ssha_za_popitki_sozdat_illyuziyu_izolyatsii_rossii	сатановский поднял на смех сша за попытки создать иллюзию изоляции россии	1
18 July 2022	riafan.ru	https://riafan.ru/23547166-zaharova_ne_uvidela_logiki_v_vipade_ssha_ob_izolyatsii_rossii	захарова не увидела логики в выпаде сша об  изоляции  россии	1
18 July 2022	riafan.ru	https://riafan.ru/23547029-_nevernaya_otsenka_peskov_otvetil_na_vipad_ssha_ob_izolyatsii_rossii	неверная оценка   песков ответил на выпад сша об изоляции россии	1
11 July 2022	riafan.ru	https://riafan.ru/23531997-mezhdunarodnaya_izolyatsiya_rossii_i_natsisti_v_tyur_me_kakie_feiki_rasprostranili_na_ukraine_11_iyulya	международная изоляция россии и нацисты в тюрьме   какие фейки распространили на украине    июля	1
20 June 2022	riafan.ru	https://riafan.ru/23500847-_zona_blokadi_ruslan_kitaigorodskii_o_popitkah_ekonomicheskoi_izolyatsii_rossii	зона блокады   руслан китайгородский о попытках экономической изоляции россии	1
20 June 2022	riafan.ru	https://riafan.ru/23496320-junge_welt_pmef_2022_pokazal_proval_popitok_zapada_po_izolyatsii_rossii	junge welt  пмэф      показал провал попыток запада по  изоляции  россии	1
13 June 2022	riafan.ru	https://riafan.ru/23492603-putin_otkazalsya_vesti_rossiyu_po_puti_samoizolyatsii	путин отказался вести россию по пути самоизоляции	1
13 June 2022	riafan.ru	https://riafan.ru/23486977-peskov_ukazal_na_besperspektivnost_izolyatsii_rossii_so_storoni_zapada	песков указал на бесперспективность изоляции россии со стороны запада	1
30 May 2022	riafan.ru	https://riafan.ru/23471556-politolog_diskin_pitayas_izolirovat_rossiyu_zapad_sam_okazalsya_na_grani_raskola	политолог дискин  пытаясь изолировать россию  запад сам оказался на грани раскола	1
23 May 2022	riafan.ru	https://riafan.ru/23460387-amerikanskie_eksperti_konstatirovali_proval_politiki_ssha_po_izolyatsii_rossii	американские эксперты констатировали провал политики сша по изоляции россии	1
23 May 2022	riafan.ru	https://riafan.ru/23457668-na_konu_gegemoniya_ssha_pochemu_zapad_ne_smog_izolirovat_rossiyu	на кону гегемония сша  почему запад не смог изолировать россию	1
16 May 2022	riafan.ru	https://riafan.ru/23426149-nebenzya_obvinil_zapad_v_podtalkivanii_mira_k_golodu_iz_za_stremleniya_izolirovat_rossiyu	небензя обвинил запад в подталкивании мира к голоду из за стремления изолировать россию	1
16 May 2022	riafan.ru	https://riafan.ru/23414821-popitki_zapada_izolirovat_rossiyu_obsudyat_v_shtabe_kiber_fronta_z	попытки запада изолировать россию обсудят в штабе кибер фронта z	1
9 May 2022	riafan.ru	https://riafan.ru/23193615-kongress_ssha_prinyal_initsiativi_kotorie_uzhestochat_sanktsii_i_izoliruyut_rossiyu	конгресс сша принял инициативы  которые ужесточат санкции и  изолируют  россию	1
25 April 2022	riafan.ru	https://riafan.ru/23160220-le_figaro_zapad_obrushil_suschestvuyuschii_miroporyadok_izolirovav_rossiyu_na_mezhdunarodnoi_arene	le figaro  запад обрушил существующий миропорядок  изолировав россию на международной арене	1
18 April 2022	riafan.ru	https://riafan.ru/23147162-eks_kantsler_germanii_shreder_zayavil_o_nevozmozhnosti_izolyatsii_rossii	экс канцлер германии шредер заявил о невозможности изоляции россии	1
18 April 2022	riafan.ru	https://riafan.ru/23116362-ssha_zhdet_proval_s_izolyatsiei_rossii_v_g20_nesmotrya_na_hitruyu_diplomaticheskuyu_igru	сша ждет провал с изоляцией россии в g    несмотря на хитрую дипломатическую игру	1
18 April 2022	riafan.ru	https://riafan.ru/23079284-amerikanskii_senator_kelli_zayavil_o_planah_ssha_ubedit_pyat_stran_izolirovat_rossiyu	американский сенатор келли заявил о планах сша убедить пять стран  изолировать  россию	1
11 April 2022	riafan.ru	https://riafan.ru/23078558-zhurnalisti_washington_post_raskrili_plani_ssha_i_evropi_po_izolyatsii_rossii	журналисты washington post раскрыли планы сша и европы по изоляции россии	1
4 April 2022	riafan.ru	https://riafan.ru/22872560-ekonomist_del_vall_popitka_izolirovat_rossiyu_uskorit_padenie_dollara	экономист дель валль  попытка изолировать россию ускорит падение доллара   федеральное агентство новостей no	1
4 April 2022	riafan.ru	https://riafan.ru/22872560-ekonomist_del_vall_popitka_izolirovat_rossiyu_uskorit_padenie_dollara	экономист дель валль  попытка изолировать россию ускорит падение доллара	1
