id,Topic,Words,Frequency,Timestamp
83,83,"нацист, нацистский, нацизм, украинский нацист, указка",8,2021-12-25 18:47:31.200
287,83,"нацист, украинский нацист, молдова, входить, настроение",4,2022-01-02 05:36:00.000
484,83,"украинский нацист, хаос, нацист, мочь привести, спасение",2,2022-01-09 11:12:00.000
687,83,"оккупация, нарышкин, нацпроект, сравнить, нацист",21,2022-01-16 16:48:00.000
894,83,"нацизм, нацист, реабилитация, напомнить, неонацист",14,2022-01-23 22:24:00.000
1117,83,"называть, нацист, похвастаться, киев назвать, гитлер",5,2022-01-31 04:00:00.000
1335,83,"нацист, лозунг, делать всё, многий, нацистский",4,2022-02-07 09:36:00.000
1549,83,"фактический, нацпроект, сша против россия, нацистский, исполнение",3,2022-02-14 15:12:00.000
1770,83,"нацист, нацизм, неонацист, украинский нацист, нацистский",46,2022-02-21 20:48:00.000
1997,83,"нацист, нацизм, неонацист, украинский нацист, нацистский",55,2022-03-01 02:24:00.000
2220,83,"нацист, фашизм, нацизм, проявление, нападки",26,2022-03-08 08:00:00.000
2440,83,"нацист, нацизм, украинский нацист, неонацист, нацистский",50,2022-03-15 13:36:00.000
2661,83,"нацист, нацизм, украинский нацист, нацистский, сравнить",73,2022-03-22 19:12:00.000
2883,83,"нацист, нацизм, украинский нацист, нацистский, неонацист",37,2022-03-30 00:48:00.000
3109,83,"нацист, украинский нацист, нацизм, нацистский, фашизм",33,2022-04-06 06:24:00.000
3329,83,"нацизм, нацист, украинский нацист, кириенко, сделать всё",45,2022-04-13 12:00:00.000
3552,83,"нацист, нацизм, украинский нацист, неонацист, нацистский",35,2022-04-20 17:36:00.000
3778,83,"нацист, нацизм, неонацист, украинский нацист, нацистский",40,2022-04-27 23:12:00.000
4005,83,"нацизм, нацист, возрождение, нацистский, украинский нацист",30,2022-05-05 04:48:00.000
4226,83,"нацист, нацизм, украинский нацист, нарышкин, нацистский",45,2022-05-12 10:24:00.000
4451,83,"нацист, нацизм, украинский нацист, фашизм, нацистский",34,2022-05-19 16:00:00.000
4669,83,"нацист, украинский нацист, нацизм, разжигание, нацистский",26,2022-05-26 21:36:00.000
4894,83,"нацист, украинский нацист, нацизм, неонацист, украина американский",20,2022-06-03 03:12:00.000
5116,83,"нацист, нацизм, украинский нацист, отличаться, ничто",15,2022-06-10 08:48:00.000
5335,83,"нацист, нацизм, украинский нацист, нацистский, неонацист",17,2022-06-17 14:24:00.000
5562,83,"нацизм, нацист, кургинян, гитлер, нацистский",15,2022-06-24 20:00:00.000
5787,83,"нацист, нацизм, фашизм, украинский нацист, нацистский",12,2022-07-02 01:36:00.000
6006,83,"нацизм, нацист, х год, украинский нацист, х",10,2022-07-09 07:12:00.000
6224,83,"нацпроект, нацист, украинский нацист, нацизм, нацистский",11,2022-07-16 12:48:00.000
6443,83,"нацист, нацизм, настроение, украинский нацист, нацистский",18,2022-07-23 18:24:00.000
