id,Topic,Words,Frequency,Timestamp
69,69,"нацистский, нацист, нацизм, реабилитация, рейх",10,2021-12-25 18:47:31
273,69,"реабилитация, афера, африканский, нацизм, художник",3,2022-01-02 5:36:00
471,69,"реабилитация, нацизм, нацист, волгоградец, художник",10,2022-01-09 11:12:00
673,69,"нацист, реабилитация, нацизм, нацистский, анна",20,2022-01-16 16:48:00
880,69,"нацизм, нацист, ссср, нацистский, реабилитация",19,2022-01-23 22:24:00
1103,69,"нацизм, нацист, нацистский, реабилитация, милон",12,2022-01-31 4:00:00
1321,69,"нацист, нацистский, нацизм, реабилитация, символика",20,2022-02-07 9:36:00
1535,69,"нацистский, нацист, нарисовать, фашист, либерал",10,2022-02-14 15:12:00
1756,69,"нацизм, нацист, реабилитация, нацистский, фашист",20,2022-02-21 20:48:00
1983,69,"нацист, нацизм, реабилитация, нацистский, фашизм",21,2022-03-01 2:24:00
2206,69,"нацизм, нацист, реабилитация, неонацист, нацистский",25,2022-03-08 8:00:00
2427,69,"нацист, неонацист, нацизм, реабилитация, мариуполь",37,2022-03-15 13:36:00
2647,69,"нацизм, нацист, реабилитация, нацистский, неонацист",46,2022-03-22 19:12:00
2869,69,"нацист, нацизм, реабилитация, нацистский, фашизм",50,2022-03-30 0:48:00
3095,69,"нацизм, реабилитация, нацист, нацистский, неонацист",62,2022-04-06 6:24:00
3315,69,"нацист, нацизм, реабилитация, нацистский, азовсталь",45,2022-04-13 12:00:00
3538,69,"реабилитация, нацизм, нацист, нацистский, дело",63,2022-04-20 17:36:00
3764,69,"нацист, нацизм, реабилитация, нацистский, азовсталь",52,2022-04-27 23:12:00
3991,69,"нацист, нацизм, нацистский, реабилитация, неонацист",73,2022-05-05 4:48:00
4212,69,"нацист, нацизм, нацистский, реабилитация, азов",60,2022-05-12 10:24:00
4437,69,"нацист, нацизм, реабилитация, нацистский, азовсталь",47,2022-05-19 16:00:00
4655,69,"нацизм, нацист, реабилитация, азов, откреститься",34,2022-05-26 21:36:00
4881,69,"нацист, нацизм, нацистский, реабилитация, азов",32,2022-06-03 3:12:00
5103,69,"нацист, нацистский, нацизм, реабилитация, фашизм",18,2022-06-10 8:48:00
5321,69,"нацизм, нацист, реабилитация, нацистский, ссср",27,2022-06-17 14:24:00
5548,69,"нацист, нацизм, нацистский, реабилитация, гитлер",22,2022-06-24 20:00:00
5773,69,"нацист, нацизм, реабилитация, ростов дон, создатель",22,2022-07-02 1:36:00
5992,69,"нацист, нацизм, реабилитация, нацистский, каховка",14,2022-07-09 7:12:00
6211,69,"рейх, возродить, нацист, несостоявшийся, фашизм",7,2022-07-16 12:48:00
6429,69,"нацист, нацизм, нацистский, идеология, реабилитация",19,2022-07-23 18:24:00
