Week of fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
4 April 2022	deita.ru	https://deita.ru/article/514248	new york times подтвердил зверства украинских солдат	True	10013	(?=.*).*	(зверств)	()
25 July 2022	aif.ru	https://aif.ru/politics/world/bessovestno_lgut_kak_evrope_rasskazyvayut_pro_zverstva_rossiyskih_voysk	бессовестно лгут   как европе рассказывают про  зверства российских войск	True	179884	(?=.*).*	(зверств)	()
2 May 2022	anna-news.info	https://anna-news.info/ddeputat-gd-slutskij-tragediya-v-odesse-8-let-povtoreniya-zverstv-hatyni-v-xxi-veke/	депутат гд слуцкий  трагедия в одессе     лет повторения зверств хатыни в xxi веке	True	109169	(?=.*).*	(зверств)	()
11 April 2022	bloknot.ru	https://bloknot.ru/yanovost-chasa/popavshij-v-plen-britanskij-naemnik-rasskazal-o-zverstvah-natsionalistov-v-mariupole-915090.html	попавший в плен британский наемник рассказал о зверствах националистов в мариуполе	True	68420	(?=.*).*	(зверств)	()
4 April 2022	deita.ru	https://deita.ru/article/514285	извращенные палачи   российский генерал поразился зверствам украинских нацистов	True	90463	(?=.*).*	(зверств)	()
6 June 2022	deita.ru	https://deita.ru/article/517718	все ради пушек  украина призналась во лжи о зверствах русских солдат	True	89269	(?=.*).*	(зверств)	()
4 April 2022	geopolitica.ru	http://www.geopolitica.ru/news/minoborony-obnarodovalo-novye-fakty-zverstv-banderovcev-vo-vremya-vov	минобороны обнародовало новые факты зверств бандеровцев во время вов	True	78309	(?=.*).*	(зверств)	()
11 April 2022	lenta.ru	https://lenta.ru/news/2022/04/15/minoborony_rassekretilo/	минобороны показало материалы о зверствах националистов на украине в годы войны	True	277067	(?=.*).*	(зверств)	()
24 January 2022	pravda.ru	https://www.pravda.ru/news/world/1678928-polsha_bezhency_ukraina/	польша готова принять миллион украинских беженцев в случае  зверств войны	True	347352	(?=.*).*	(зверств)	()
21 February 2022	pravda.ru	https://www.pravda.ru/news/politics/1685861-donbass_otvetil_ukraincam/	даниил безсонов напомнил просящим остановить россию о зверствах всу на донбассе	True	345222	(?=.*).*	(зверств)	()
21 February 2022	pravda.ru	https://www.pravda.ru/news/politics/1685861-donbass_otvetil_ukraincam/	что ж вы мрази  восемь лет молчали     о зверствах всу в донбассе напомнил всем протестующим  за мир  даниил безсонов	True	345224	(?=.*).*	(зверств)	()
