Week of fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
21 March 2022	bfm.ru	https://www.bfm.ru/news/496208	басурин сообщил о блокировке украинских националистов на заводе  азовсталь	True	187930	(?=.*).*	(наци)	(азовстал)
2 May 2022	bk55.ru	https://www.bk55.ru/news/article/202130/	хуже могло быть только людоедство   заблокированные в  азовстали  националисты требуют еду и лекарства в обмен на мирных жителей	True	82794	(?=.*).*	(наци)	(азовстал)
25 April 2022	bloknot.ru	https://bloknot.ru/glavnaya/natsionalisty-s-azovstali-predlozhili-neozhidannuyu-tochku-e-vakuatsii-919983.html	националисты с  азовстали  предложили неожиданную точку эвакуации	True	122121	(?=.*).*	(наци)	(азовстал)
25 April 2022	bloknot.ru	https://bloknot.ru/obshhestvo/podval-ny-e-boeviki-pochemu-ukrainskie-natsionalisty-boyatsya-vy-puskat-mirny-h-grazhdan-s-azovstali-921300.html	подвальные  боевики  почему украинские националисты боятся выпускать мирных граждан с  азовстали	True	113451	(?=.*).*	(наци)	(азовстал)
25 April 2022	deita.ru	https://deita.ru/article/515554	глава семьи  спасенной из  азовстали   оказался нацистом	True	94305	(?=.*).*	(наци)	(азовстал)
16 May 2022	m24.ru	https://www.m24.ru/news/politika/20052022/463506	мо рф показало кадры выхода последних националистов с  азовстали	True	196899	(?=.*).*	(наци)	(азовстал)
2 May 2022	mk.ru	https://www.mk.ru/politics/2022/05/06/v-dnr-soobshhili-chto-nacionalistam-na-azovstali-dayut-vozmozhnost-slozhit-oruzhie.html	в днр сообщили  что националистам на  азовстали  дают возможность сложить оружие	True	140635	(?=.*).*	(наци)	(азовстал)
16 May 2022	rg.ru	https://rg.ru/2022/05/16/mezhdu-nacionalistami-i-naemnikami-na-azovstali-voznik-konflikt.html	между националистами и наемниками на  азовстали  возник конфликт	True	158854	(?=.*).*	(наци)	(азовстал)
16 May 2022	rg.ru	https://rg.ru/2022/05/18/nacionalisty-s-azovstali-massovo-skladyvaiut-oruzhie.html	националисты с  азовстали  массово складывают оружие	True	159294	(?=.*).*	(наци)	(азовстал)
16 May 2022	rg.ru	https://rg.ru/2022/05/19/bolgarskij-general-o-sobytiiah-na-azovstali-ne-evakuaciia-geroev-a-plenenie-ukronacistov.html	болгарский генерал о событиях на  азовстали   не эвакуация героев  а пленение укронацистов	True	159598	(?=.*).*	(наци)	(азовстал)
16 May 2022	rg.ru	https://rg.ru/2022/05/19/kak-zhivet-osvobozhdennyj-mariupol-poka-na-azovstali-sdaiutsia-nacionalisty.html	как живет освобожденный мариуполь  пока на  азовстали  сдаются националисты	True	159932	(?=.*).*	(наци)	(азовстал)
16 May 2022	rg.ru	https://rg.ru/2022/05/20/kak-zhivet-mariupol-poka-na-azovstali-sdaiutsia-nacionalisty.html	как живет мариуполь  пока на  азовстали  сдаются националисты	True	158313	(?=.*).*	(наци)	(азовстал)
16 May 2022	rg.ru	https://rg.ru/2022/05/21/minoborony-rf-pokazalo-nacistskie-nakolki-u-boevikov-sdavshihsia-na-azovstali.html	минобороны рф показало нацистские наколки у боевиков  сдавшихся на  азовстали	True	159142	(?=.*).*	(наци)	(азовстал)
16 May 2022	rg.ru	https://rg.ru/2022/05/22/vozle-azovstali-korrespondenty-rg-nashli-smartfon-nacionalistov.html	возле  азовстали  корреспонденты  рг  нашли смартфон националистов	True	158833	(?=.*).*	(наци)	(азовстал)
23 May 2022	riafan.ru	https://riafan.ru/23453131-tri_glavarya_natsionalistov_s_azovstali_eli_krasnuyu_ikru_lozhkami_vo_vremya_osadi_zavoda	три главаря националистов с  азовстали  ели красную икру ложками во время осады завода	True	406941	(?=.*).*	(наци)	(азовстал)
23 May 2022	riafan.ru	https://riafan.ru/23454009-politolog_kedmi_natsionalistov_s_azovstali_vinudili_sdat_sya_dve_neochevidnie_prichini	политолог кедми  националистов с  азовстали  вынудили сдаться две неочевидные причины	True	431862	(?=.*).*	(наци)	(азовстал)
11 April 2022	bloknot.ru	https://bloknot.ru/politika/voenny-e-e-ksperty-rasskazali-kak-rossijskaya-armiya-budet-vy-kurivat-natsionalistov-iz-katakomb-azovstali-913551.html	военные эксперты рассказали  как российская армия будет  выкуривать  националистов из катакомб  азовстали	True	65678	(?=.*).*	(наци)	(азовстал)
25 April 2022	bloknot.ru	https://bloknot.ru/v-mire/natsionalisty-azova-popy-talis-prorvat-sya-iz-zablokirovannoj-azovstali-922481.html	националисты  азова   попытались прорваться из заблокированной  азовстали	True	64121	(?=.*).*	(наци)	(азовстал)
2 May 2022	bloknot.ru	https://bloknot.ru/v-mire/natsionalisty-pugali-mirny-h-zhitelej-na-azovstali-tem-chto-mariupol-pogruzilsya-v-haos-i-tam-nechego-est-925499.html	националисты пугали мирных жителей на  азовстали  тем  что мариуполь погрузился в анархию и там нечего есть	True	158	(?=.*).*	(наци)	(азовстал)
25 April 2022	mk.ru	https://www.mk.ru/politics/2022/04/26/sidyashhie-na-azovstali-nacionalisty-vyshlina-svyaz-s-rossiyskimi-voennymi.html	сидящие на  азовстали  националисты вышли на связь с российскими военными	True	145605	(?=.*).*	(наци)	(азовстал)
25 April 2022	mk.ru	https://www.mk.ru/politics/2022/04/29/mash-u-vyshedshego-iz-azovstali-glavy-semi-nashli-nacistskie-foto.html	mash  у вышедшего из  азовстали  главы семьи нашли  нацистские  фото	True	144012	(?=.*).*	(наци)	(азовстал)
2 May 2022	mk.ru	https://www.mk.ru/politics/2022/05/02/nazvany-perspektivy-sdachi-zasevshikh-v-azovstali-fanatichnykh-nacionalistov.html	названы перспективы сдачи засевших в  азовстали  фанатичных националистов	True	150673	(?=.*).*	(наци)	(азовстал)
23 May 2022	riafan.ru	https://riafan.ru/23461133-plennii_natsionalist_grintsevich_pozhalovalsya_na_usloviya_v_kotorih_nahodilsya_v_azovstali	пленный националист гринцевич пожаловался на условия  в которых находился в  азовстали	True	425319	(?=.*).*	(наци)	(азовстал)
30 May 2022	riafan.ru	https://riafan.ru/23464951-rossiiskie_voennie_obnaruzhili_v_azovstali_furgon_s_telami_ukrainskih_natsionalistov	российские военные обнаружили в  азовстали  фургон с телами украинских националистов	True	439223	(?=.*).*	(наци)	(азовстал)
6 June 2022	riafan.ru	https://riafan.ru/23474736-evropa_uzhasnetsya_ssha_i_es_ne_zrya_tak_boyatsya_pokazatel_nogo_suda_nad_natsistami_s_azovstali	европа ужаснется  сша и ес не зря так боятся показательного суда над нацистами с  азовстали	True	434925	(?=.*).*	(наци)	(азовстал)
6 June 2022	riafan.ru	https://riafan.ru/23475451-zelenskii_podtverdil_dannie_o_sdache_v_plen_okolo_2_5_tisyachi_natsionalistov_v_azovstali	зеленский подтвердил данные о сдаче в плен около     тысячи националистов в  азовстали	True	433144	(?=.*).*	(наци)	(азовстал)
16 May 2022	fedpress.ru	https://fedpress.ru/news/20/society/3007191	кадыров заявил  что у сдавшихся в плен украинских нацистов с  азовстали  не было духа   республика чечня	True	447025	(?=.*).*	(наци)	(азовстал)
4 April 2022	pda.kp.ru	https://pda.kp.ru/online/news/4700483/	украинский националист сообщил о         иностранных наемниках на заводе  азовсталь  в мариуполе	True	331879	(?=.*).*	(наци)	(азовстал)
11 April 2022	pda.kp.ru	https://pda.kp.ru/online/news/4709627/	представитель днр заявил  что всу не смогут деблокировать националистов на  азовстали	True	334875	(?=.*).*	(наци)	(азовстал)
11 April 2022	pda.kp.ru	https://pda.kp.ru/online/news/4710336/	минобороны россии  блокированные в  азовстали  националисты просят у киева разрешения сдаться в плен	True	333239	(?=.*).*	(наци)	(азовстал)
18 April 2022	pda.kp.ru	https://pda.kp.ru/daily/27381/4575161/	украинским националистам и наемникам на  азовстали  предложили выйти из подвалов и сохранить себе жизнь	True	338610	(?=.*).*	(наци)	(азовстал)
18 April 2022	pda.kp.ru	https://pda.kp.ru/online/news/4717784/	кадыров сообщил  что командование националистов не позволяет боевикам на  азовстали  сложить оружие	True	333337	(?=.*).*	(наци)	(азовстал)
25 April 2022	pda.kp.ru	https://pda.kp.ru/online/news/4730727/	в минобороны сообщили  что благодаря инициативе путина с  азовстали  удалось вызволить    удерживаемых националистами граждан	True	335344	(?=.*).*	(наци)	(азовстал)
2 May 2022	pda.kp.ru	https://pda.kp.ru/daily/27387/4581736/	черный дым и ужас  азовстали   с чем столкнулись разведчики на промзоне  где засели нацисты	True	336233	(?=.*).*	(наци)	(азовстал)
2 May 2022	pda.kp.ru	https://pda.kp.ru/online/news/4734315/	нацисты с  азовстали  предложили обмен мирных граждан на продукты и лекарства	True	334241	(?=.*).*	(наци)	(азовстал)
2 May 2022	pda.kp.ru	https://pda.kp.ru/online/news/4735588/	в районе  азовстали  российские военные продолжают зачищать позиции националистов	True	335658	(?=.*).*	(наци)	(азовстал)
2 May 2022	pda.kp.ru	https://pda.kp.ru/online/news/4737042/	в днр сообщили  что националистов на  азовстали  каждый день призывают сложить оружие	True	332395	(?=.*).*	(наци)	(азовстал)
23 May 2022	pda.kp.ru	https://pda.kp.ru/daily/27396/4591839/	вскрыто логово нацистов в подземельях  азовстали   пропахшие кровью коридоры  мешки для трупов и бесполезное оружие	True	338706	(?=.*).*	(наци)	(азовстал)
23 May 2022	pda.kp.ru	https://pda.kp.ru/online/news/4759975/	могильный холод тоннелей  азовстали   опубликованы фото и видео из бункера нацистов	True	338734	(?=.*).*	(наци)	(азовстал)
23 May 2022	pda.kp.ru	https://pda.kp.ru/online/news/4760041/	на  азовстали  найден тайный дневник нациста   зеленский все время говорит о мариуполе  но это пустые слова	True	338720	(?=.*).*	(наци)	(азовстал)
23 May 2022	pda.kp.ru	https://pda.kp.ru/online/news/4760172/	бросили бункер в бессильной злобе  выяснилось  как нацисты выживали на  азовстали	True	333937	(?=.*).*	(наци)	(азовстал)
23 May 2022	pda.kp.ru	https://pda.kp.ru/online/news/4762606/	в катакомбах  азовстали  обнаружили прятавшихся там националистов	True	339921	(?=.*).*	(наци)	(азовстал)
23 May 2022	pda.kp.ru	https://pda.kp.ru/online/news/4763609/	дневник украинского военного из подземелий  азовстали   для нацистов мы никчемное пушечное мясо	True	335444	(?=.*).*	(наци)	(азовстал)
30 May 2022	pda.kp.ru	https://pda.kp.ru/daily/27398.5/4595198/	что означают татуировки нацистов с  азовстали   бандера  гитлер  дьявол	True	338252	(?=.*).*	(наци)	(азовстал)
30 May 2022	pda.kp.ru	https://pda.kp.ru/online/news/4768532/	сотрудники следственного комитета рф нашли на  азовстали  иностранное оружие и сожженную форму националистов	True	338281	(?=.*).*	(наци)	(азовстал)
30 May 2022	pda.kp.ru	https://pda.kp.ru/online/news/4769309/	в подземельях  азовстали  нашли  фургон смерти  с     замороженными телами погибших нацистов	True	339813	(?=.*).*	(наци)	(азовстал)
11 April 2022	mk.ru	https://www.mk.ru/politics/army/2022/04/16/v-dnr-zayavili-o-nesposobnosti-vsu-deblokirovat-nacionalistov-na-azovstali.html	в днр заявили о неспособности всу деблокировать националистов на  азовстали	True	151710	(?=.*).*	(наци)	(азовстал)
18 April 2022	mk.ru	https://www.mk.ru/politics/2022/04/19/ukrainskim-voennym-i-nacionalistam-na-azovstali-dali-posledniy-shans.html	украинским военным и националистам на  азовстали  дали последний шанс	True	148967	(?=.*).*	(наци)	(азовстал)
18 April 2022	mk.ru	https://www.mk.ru/politics/2022/04/22/ukrainskiy-nacionalist-iz-azovstali-poprosil-pomoshhi-u-zelenskogo.html	украинский националист из  азовстали  попросил помощи у зеленского	True	149014	(?=.*).*	(наци)	(азовстал)
25 April 2022	argumenti.ru	https://argumenti.ru/politics/2022/05/770184	минобороны рф  благодаря инициативе путина с  азовстали  удалось вызволить    гражданских лиц  удерживавшихся националистами	True	492468	(?=.*).*	(наци)	(азовстал)
2 May 2022	argumenti.ru	https://argumenti.ru/world/2022/05/770594	источник  остающиеся на  азовстали  националисты не подчиняются зеленскому  надеются на американцев и британцев	True	492914	(?=.*).*	(наци)	(азовстал)
16 May 2022	argumenti.ru	https://argumenti.ru/opinion/2022/05/772501	главный редактор журнала  национальная оборона  игорь коротченко   сдача боевиков  азовстали    это важный психологический аспект	True	494030	(?=.*).*	(наци)	(азовстал)
16 May 2022	argumenti.ru	https://argumenti.ru/politics/2022/05/772481	глава днр пушилин  суд решит судьбу сдавшихся украинских боевиков с  азовстали   нацистов ждет трибунал	True	494691	(?=.*).*	(наци)	(азовстал)
16 May 2022	argumenti.ru	https://argumenti.ru/world/2022/05/772605	захарова  украинские военные обстреляли сизо в еленовке  в котором находятся вышедшие с   азовстали  и сдавшиеся националисты	True	495047	(?=.*).*	(наци)	(азовстал)
11 April 2022	regnum.ru	https://regnum.ru/news/3563976.html	ходарёнок пообещал показать  настоящий штурм  неонацистам в  азовстали	True	383401	(?=.*).*	(наци)	(азовстал)
11 April 2022	regnum.ru	https://regnum.ru/news/3566853.html	в минобороны россии назвали число укрывшихся на  азовстали  националистов	True	376566	(?=.*).*	(наци)	(азовстал)
18 April 2022	regnum.ru	https://regnum.ru/news/3567972.html	боец днр рассказал о двух попытках нацистов прорваться с  азовстали	True	391143	(?=.*).*	(наци)	(азовстал)
18 April 2022	regnum.ru	https://regnum.ru/news/3569301.html	пушилин  украинские нацисты на  азовстали  находятся в патовой ситуации	True	396977	(?=.*).*	(наци)	(азовстал)
18 April 2022	regnum.ru	https://regnum.ru/news/3569744.html	кадыров рассказал о зачистке  азовстали  от нацистов	True	376270	(?=.*).*	(наци)	(азовстал)
18 April 2022	regnum.ru	https://regnum.ru/news/3569854.html	на  азовстали  бьются мотивированные оккультные нацисты  их нужно сломать	True	376303	(?=.*).*	(наци)	(азовстал)
18 April 2022	regnum.ru	https://regnum.ru/news/3570740.html	почему не уничтожат нацистов в  азовстали     тг каналы ищут объяснения	True	398786	(?=.*).*	(наци)	(азовстал)
25 April 2022	regnum.ru	https://regnum.ru/news/3577573.html	сеть   нацистов спасти не дадим    оон выступила за эвакуацию с  азовстали	True	387436	(?=.*).*	(наци)	(азовстал)
25 April 2022	regnum.ru	https://regnum.ru/news/3578485.html	басурин заявил  какая судьба должна ждать засевших в  азовстали  нацистов	True	392918	(?=.*).*	(наци)	(азовстал)
25 April 2022	regnum.ru	https://regnum.ru/news/3579351.html	укронацисты не пытаются прорваться с  азовстали   заявили в днр	True	387832	(?=.*).*	(наци)	(азовстал)
25 April 2022	regnum.ru	https://regnum.ru/news/polit/3571916.html	сеть   никуда не денутся    сети о блокировании нацистов на  азовстали	True	384415	(?=.*).*	(наци)	(азовстал)
2 May 2022	regnum.ru	https://regnum.ru/news/3581508.html	кадыров обратился к командиру нацистов  укрывающихся в недрах  азовстали	True	361949	(?=.*).*	(наци)	(азовстал)
2 May 2022	regnum.ru	https://regnum.ru/news/3582906.html	нацисты с  азовстали  готовы обменять мирных граждан на продовольствие	True	376883	(?=.*).*	(наци)	(азовстал)
2 May 2022	regnum.ru	https://regnum.ru/news/accidents/3583256.html	нацисты с  азовстали  хотят менять заложников на еду  сети   террористы	True	383580	(?=.*).*	(наци)	(азовстал)
9 May 2022	regnum.ru	https://regnum.ru/news/polit/3588705.html	на территории  азовстали  убит боевик грузинской национальности	True	355295	(?=.*).*	(наци)	(азовстал)
9 May 2022	regnum.ru	https://regnum.ru/news/3589796.html	вокруг националистов на  азовстали  войска днр и россии стягивают удавку	True	358091	(?=.*).*	(наци)	(азовстал)
9 May 2022	regnum.ru	https://regnum.ru/news/3590710.html	в турции предложили эвакуировать украинских националистов с  азовстали	True	354179	(?=.*).*	(наци)	(азовстал)
9 May 2022	regnum.ru	https://regnum.ru/news/polit/3591123.html	турцию призвали не вмешиваться в ситуацию с националистами в  азовстали	True	384997	(?=.*).*	(наци)	(азовстал)
16 May 2022	regnum.ru	https://regnum.ru/news/3592147.html	укронацисты с  азовстали  сдают своих раненых в плен   минобороны	True	391384	(?=.*).*	(наци)	(азовстал)
16 May 2022	regnum.ru	https://regnum.ru/news/polit/3592422.html	зеленский признал сдачу в плен части нацистов на  азовстали	True	378161	(?=.*).*	(наци)	(азовстал)
16 May 2022	regnum.ru	https://regnum.ru/news/3593025.html	дожали нациков  а где натовцы     сеть о зверствах пленных с  азовстали	True	399607	(?=.*).*	(наци)	(азовстал)
