Week of fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
7 March 2022	deita.ru	https://deita.ru/article/512502	путин рассказал о первом этапе денацификации украины	True	29806	(?=.*).*	(денациф)	()
28 March 2022	deita.ru	https://deita.ru/article/513581	вниманию зеленского  стал известен план денацификации украины	True	29247	(?=.*).*	(денациф)	()
4 April 2022	deita.ru	https://deita.ru/article/514104	зеленский отказался обсуждать  денацификацию  и  демилитаризацию	True	9052	(?=.*).*	(денациф)	()
4 April 2022	deita.ru	https://deita.ru/article/514186	или денацификация или мобилизация   зюганов	True	5039	(?=.*).*	(денациф)	()
9 May 2022	deita.ru	https://deita.ru/article/516215	денацификация украины  о чем не захотели рассказать путину	True	60	(?=.*).*	(денациф)	()
11 April 2022	apn.ru	http://www.apn.ru/index.php?newsid=41540	теоретические основы денацификации и дефашизации	True	78736	(?=.*).*	(денациф)	()
14 March 2022	bfm.ru	https://www.bfm.ru/news/495526	лавров объяснил смысл денацификации украины	True	186778	(?=.*).*	(денациф)	()
6 June 2022	bloknot.ru	https://bloknot.ru/yanovost-chasa/na-ukraine-vpervy-e-denatsifitsirovan-naemnik-iz-brazilii-939294.html	на украине впервые денацифицирован наемник из бразилии	True	110126	(?=.*).*	(денациф)	()
11 July 2022	bloknot.ru	https://bloknot.ru/v-mire/okonchatel-naya-denatsifikatsiya-e-kspert-o-tom-s-chem-stolknetsya-rossiya-posle-pobedy-v-donbasse-955517.html	окончательная денацификация   эксперт о том  с чем столкнется россия после победы в донбассе	True	91417	(?=.*).*	(денациф)	()
4 April 2022	dagpravda.ru	http://dagpravda.ru/politika/po-shtabam-esh-e-ne-bili/	денацификация должна быть продолжена	True	67055	(?=.*).*	(денациф)	()
11 April 2022	deita.ru	https://deita.ru/article/514493	на украине началась народная денацификация	True	80363	(?=.*).*	(денациф)	()
13 June 2022	deita.ru	https://deita.ru/article/518217	денацификация не удалась  мэр отправит в армию дерзкого журналиста	True	107302	(?=.*).*	(денациф)	()
27 June 2022	deita.ru	https://deita.ru/article/518792	приморские спортсмены поддержали спецоперацию по денацификации украины	True	88574	(?=.*).*	(денациф)	()
21 February 2022	hronika.info	https://hronika.info/obwestvo/789262-demilitarizacziya-i-denaczifikacziya-u-putina-nazvali-czeli-rf-v-ukraine/	демилитаризация и денацификация   у путина назвали цели рф в украине hronika info	True	38022	(?=.*).*	(денациф)	()
14 March 2022	icmos.ru	https://icmos.ru/news/bolee-20-tys-obshhestvennyx-sovetnikov-moskvy-podpisali-obrashhenie-v-podderzku-denacifikacii-ukrainy	более    тыс  общественных советников москвы подписали обращение в поддержку денацификации украины	True	100927	(?=.*).*	(денациф)	()
