Week of fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
21 March 2022	kazak-center.ru	https://kazak-center.ru/publ/novosti_kazak_inform/specoperacija_na_ukraine/kiev_otdal_nacbatam_prikaz_pokidat_mariupol_pod_vidom_mirnykh_zhitelej/178-1-0-7692	киев отдал нацбатам приказ покидать мариуполь под видом мирных жителей   спецоперация на украине   новости киац   каталог статей	True	73958	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
4 April 2022	kazan.kp.ru	https://pda.kazan.kp.ru/online/news/4699354/	следственный комитет мордовии опрашивает беженцев из мариуполя о преступлениях украинских военных и неонацистов	True	78815	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
18 April 2022	kazan.kp.ru	https://pda.kazan.kp.ru/daily/27383.5/4576808/	я же плохо слышу  вот и перепутала автобусы   пенсионерка из мариуполя  спасаясь от бомбежек всу  потеряла семью и случайно оказалась в татарстане	True	98270	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
11 April 2022	kazanfirst.ru	https://kazanfirst.ru/news/578164	командование бросило украинскую бригаду морской пехоты в мариуполе	True	69158	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
16 May 2022	ko.ru	https://ko.ru/articles/kak-zakalyalas-azovstal-akhmetov-lishilsya-glavnykh-mariupolskikh-aktivov-/	как закалялась  азовсталь   ахметов лишился главных мариупольских активов	True	107738	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
18 April 2022	korabel.ru	https://www.korabel.ru/news/comments/reshenie_o_vosstanovlenii_zavoda_azovstal_v_mariupole_esche_ne_prinyato_2.html	решение о восстановлении завода азовсталь в мариуполе еще не принято	True	118142	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
16 May 2022	lgz.ru	https://lgz.ru/pos/mariupol-nachalo-pozora-ukrainy/	мариуполь   начало позора украины	True	193942	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
14 March 2022	life.ru	https://life.ru/p/1480294	украинский военнопленный рассказал  как  азов  угрожал расстрелом бойцам всу в мариуполе	True	80581	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
21 March 2022	life.ru	https://life.ru/p/1481492	жители мариуполя встречают российских военных  слава богу  вы пришли	True	68076	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
21 March 2022	life.ru	https://life.ru/p/1481508	стреляли в спину  экс узница тайной тюрьмы сбу в мариуполе рассказала о побеге дочери с младенцем от  азова	True	68078	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
21 March 2022	life.ru	https://life.ru/p/1481834	семилетний мальчик остался сиротой после попадания снаряда всу в подвал дома в мариуполе	True	84407	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
4 April 2022	life.ru	https://life.ru/p/1484049	спасение погибающих  кого на самом деле пытались забрать украинские вертолёты из мариуполя	True	72680	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
4 April 2022	life.ru	https://life.ru/p/1484376	жители мариуполя уличили всу в обстреле из танков и обратились к зеленскому с вопросом  за что	True	74766	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
4 April 2022	life.ru	https://life.ru/p/1484449	житель мариуполя  я сжёг паспорт  когда командир  правого сектора  стал героем украины	True	77877	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
11 April 2022	life.ru	https://life.ru/p/1486195	подросток из мариуполя рассказал о гибели мамы при ударе бойцов  азова  по жилому дому	True	81163	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
11 April 2022	life.ru	https://life.ru/p/1486206	националист пытался покинуть мариуполь под видом беженца  но его выдали тату со свастикой	True	81162	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
11 April 2022	life.ru	https://life.ru/p/1486394	освобождённую от украинских националистов часть мариуполя сняли с дрона	True	86715	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
11 April 2022	life.ru	https://life.ru/p/1486533	во избежание напрасных жертв   ск показал видео допроса сдавшегося в плен в мариуполе подполковника всу	True	70055	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
11 April 2022	life.ru	https://life.ru/p/1486728	мвд днр опубликовало видео неудачной попытки прорыва бойцов всу из мариуполя	True	68129	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
11 April 2022	life.ru	https://life.ru/p/1487430	освобождённую бойцами россии и днр украинскую воинскую часть в мариуполе показали на видео	True	98481	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
11 April 2022	life.ru	https://life.ru/p/1487432	жители мариуполя рассказали  как бойцы  азова  насиловали девушек в подвалах и убивали	True	98482	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
11 April 2022	life.ru	https://life.ru/p/1487621	больше никаких переговоров   какое оружие россия может применить при штурме завода  азовсталь  в мариуполе	True	84378	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
11 April 2022	life.ru	https://life.ru/p/1487621	больше никаких переговоров  какое оружие россия может применить при штурме завода  азовсталь  в мариуполе	True	84380	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
11 April 2022	life.ru	https://life.ru/p/1487685	командир    й бригады морской пехоты всу баранюк ликвидирован в мариуполе	True	84372	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
11 April 2022	life.ru	https://life.ru/p/1487693	жители мариуполя в слезах рассказали  как бойцы  азова  убивали родных у них на глазах	True	84389	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
18 April 2022	life.ru	https://life.ru/p/1487850	похороны  азова   как зеленский сдал своих боевиков в мариуполе	True	85971	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
18 April 2022	life.ru	https://life.ru/p/1488081	лайф публикует видео неудачных попыток прорыва националистов из  азовстали  в мариуполе	True	116630	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
18 April 2022	life.ru	https://life.ru/p/1488463	офицер советской армии из мариуполя рассказал  как прятал военную форму от азовцев	True	118331	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
18 April 2022	life.ru	https://life.ru/p/1488463	увидят   пристрелят без разговора   офицер советской армии из мариуполя рассказал  как прятал военную форму от азовцев	True	118333	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
18 April 2022	life.ru	https://life.ru/p/1488554	пенсионерка из мариуполя рассказала  как танк всу в упор расстрелял её сына	True	124809	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
18 April 2022	life.ru	https://life.ru/p/1488584	новая тактика российской армии  почему владимир путин отменил штурм завода  азовсталь  в мариуполе	True	123688	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
18 April 2022	life.ru	https://life.ru/p/1488596	бойцы  азова  прострелили ногу пенсионеру из мариуполя  когда он вышел набрать воды	True	117414	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
18 April 2022	life.ru	https://life.ru/p/1488599	мать из мариуполя  потерявшая четырёх детей из за обстрела всу  до сих пор слышит их крики во сне	True	118786	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
18 April 2022	life.ru	https://life.ru/p/1488935	житель мариуполя в слезах рассказал о смерти жены и спасении детей после атаки  азова	True	98454	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
18 April 2022	life.ru	https://life.ru/p/1488911	наполеоновские планы  почему зеленский хочет отбить мариуполь и  азовсталь  у россии	True	94822	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
18 April 2022	life.ru	https://life.ru/p/1489188	пушилин наградил    бойцов батальона  сомали  за зачистку мариуполя от националистов	True	91770	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
25 April 2022	life.ru	https://life.ru/p/1489972	жительница мариуполя рассказала о бесчинствах боевиков  азова	True	67883	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
25 April 2022	life.ru	https://life.ru/p/1489972	у внучки ранение в челюсть   жительница мариуполя рассказала о бесчинствах боевиков  азова	True	91913	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
25 April 2022	life.ru	https://life.ru/p/1490124	подземный боевик  почему всу и националисты боятся отпускать мирных жителей украины с завода  азовсталь  в мариуполе	True	93346	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
25 April 2022	life.ru	https://life.ru/p/1490384	украинская версия  удара  по драмтеатру мариуполя рассыпалась благодаря очевидцам	True	104208	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
25 April 2022	life.ru	https://life.ru/p/1490884	морпеху всу предъявили обвинение в изнасиловании жительницы мариуполя и убийстве её мужа	True	90834	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
2 May 2022	life.ru	https://life.ru/p/1491319	они  может  наркотики принимают   жительница мариуполя рассказала о зверствах националистов в отношении мирного населения	True	106936	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
2 May 2022	life.ru	https://life.ru/p/1491448	получившая ожоги половины тела жительница мариуполя рассказала  как пережила обстрел всу	True	66601	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
2 May 2022	life.ru	https://life.ru/p/1491779	житель мариуполя жёстко разъяснил немецким сми  кто кормит простых украинцев	True	70532	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
9 May 2022	life.ru	https://life.ru/p/1492913	били стариков   жительницы мариуполя вспомнили о нападениях на украинцев из за георгиевских лент	True	66734	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
9 May 2022	life.ru	https://life.ru/p/1493362	жителя мариуполя растрогала помощь соседей в ходе атак всу  делились последним куском хлеба	True	125919	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
9 May 2022	life.ru	https://life.ru/p/1494438	грёзы о мариуполе  почему евровидение поддержало призыв киева освободить нацистов из  азова	True	86153	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
16 May 2022	life.ru	https://life.ru/p/1495224	поддержка неонацизма   военкор из сша дуган нашёл компромат на вашингтон при осмотре завода ильича в мариуполе	True	107694	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
16 May 2022	life.ru	https://life.ru/p/1495435	игрушечные солдатики    нелепых фейков о том  как украина  спасала  полк  азов  в мариуполе	True	83162	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
23 May 2022	life.ru	https://life.ru/p/1496508	работают роботы и люди  российские сапёры разминируют побережье азовского моря в мариуполе	True	111322	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
6 June 2022	life.ru	https://life.ru/p/1500962	скр установил личность командира всу  по чьему приказу убили минимум    жителей мариуполя	True	120966	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
6 June 2022	life.ru	https://life.ru/p/1501361	появилось видео разминирования российскими военными акватории мариуполя	True	110145	(?=.*).*	(мариуп)	(азов|наци|всу|укр|воен)
