Week of fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
25 April 2022	amur.info	https://www.amur.info/news/2022/04/26/203431	в москве обезвредили неонацистов  планировавших по заказу сбу убийство владимира соловьёва	True	122150	(?=.*).*	(наци)	(жест|уби|пыт)
21 February 2022	bfm.ru	https://www.bfm.ru/news/494000	мо рф  националисты убили четырех офицеров всу в северодонецке	True	186982	(?=.*).*	(наци)	(жест|уби|пыт)
28 February 2022	bfm.ru	https://www.bfm.ru/news/494598	минобороны рф  националисты сорвали вторую попытку эвакуации мирных жителей из мариуполя	True	186636	(?=.*).*	(наци)	(жест|уби|пыт)
25 April 2022	bloknot.ru	https://bloknot.ru/obshhestvo/nenavist-po-prikazu-rukovodstvo-ukrainy-py-taetsya-splotit-obshhestvo-delaya-ubijstvo-i-smert-natsional-noj-ideologiej-922019.html	ненависть по приказу  руководство украины пытается сплотить общество  делая убийство и смерть национальной идеологией	True	124321	(?=.*).*	(наци)	(жест|уби|пыт)
27 June 2022	bloknot.ru	https://bloknot.ru/v-mire/v-ssha-zayavili-o-planah-ukrainskih-natsistov-ubit-zelenskogo-iz-za-popy-tok-pojti-na-mirovuyu-s-donbassom-948661.html	в сша заявили о планах украинских нацистов убить зеленского из за попыток пойти на мировую с донбассом	True	120175	(?=.*).*	(наци)	(жест|уби|пыт)
27 June 2022	bloknot.ru	https://bloknot.ru/glavnaya/chtoby-pobedit-gidru-ukrainskogo-liberalnatsizma-nedostatochno-otrubit-ej-odnu-golovu-nado-bit-po-ee-pokrovitelyam-950179.html	чтобы победить гидру украинского либералнацизма недостаточно отрубить ей одну голову  надо бить по ее покровителям	True	105588	(?=.*).*	(наци)	(жест|уби|пыт)
20 June 2022	council.gov.ru	http://www.council.gov.ru/events/news/136522/	сенаторы назвали неприемлемыми любые попытки коллективного запада сорвать диалог национальных парламентов суверенных государств                            совет федерации федерального собрания российской федерации	True	127457	(?=.*).*	(наци)	(жест|уби|пыт)
11 April 2022	deita.ru	https://deita.ru/article/514537	минобороны     националистов убиты при попытке прорыва из мариуполя	True	86723	(?=.*).*	(наци)	(жест|уби|пыт)
7 March 2022	evening-kazan.ru	https://www.evening-kazan.ru/news/kotlety-i-bulki-my-proizvodit-i-sami-umeem-dmitriy-medvedev-anonsiroval-zhestkuyu-nacionalizaciyu-kompaniy-uhodyashchih-iz	котлеты и булки мы производить и сами умеем   дмитрий медведев анонсировал  жесткую  национализацию компаний  уходящих из рф	True	31127	(?=.*).*	(наци)	(жест|уби|пыт)
7 March 2022	pda.kp.ru	https://pda.kp.ru/online/news/4655483/	минобороны  националисты пытались сорвать выдачу гуманитарной помощи в херсоне	True	325019	(?=.*).*	(наци)	(жест|уби|пыт)
7 March 2022	pda.kp.ru	https://pda.kp.ru/online/news/4655859/	минобороны россии заявило  что украинские националисты убили четырех жителей мариуполя	True	327482	(?=.*).*	(наци)	(жест|уби|пыт)
7 March 2022	pda.kp.ru	https://pda.kp.ru/online/news/4658405/	националисты угрожают расправой жителям украины  пытающимся покинуть страну	True	327648	(?=.*).*	(наци)	(жест|уби|пыт)
7 March 2022	pda.kp.ru	https://pda.kp.ru/daily/27375.5/4556732/	минобороны россии  националисты пытаются дезертировать под видом беженцев	True	324995	(?=.*).*	(наци)	(жест|уби|пыт)
14 March 2022	pda.kp.ru	https://pda.kp.ru/online/news/4671058/	российский ск расследует факты пыток националистами в мариуполе	True	325298	(?=.*).*	(наци)	(жест|уби|пыт)
21 March 2022	pda.kp.ru	https://pda.kp.ru/daily/27378/4561502/	неонацисты убили родителей маленьких детей и пытались выехать с ними из мариуполя	True	333307	(?=.*).*	(наци)	(жест|уби|пыт)
21 March 2022	pda.kp.ru	https://pda.kp.ru/online/news/4672713/	омбудсмен днр заявила  что националисты пытали людей в донбассе	True	334725	(?=.*).*	(наци)	(жест|уби|пыт)
21 March 2022	pda.kp.ru	https://pda.kp.ru/daily/27369/4561863/	путину рассказали об открытии мемориала  посвященного убитым в войну нацистами жителям новгорода	True	335756	(?=.*).*	(наци)	(жест|уби|пыт)
21 March 2022	pda.kp.ru	https://pda.kp.ru/online/news/4682131/	бастрыкин поручил расследовать факты жестокого обращения украинских националистов с пленными	True	325157	(?=.*).*	(наци)	(жест|уби|пыт)
28 March 2022	pda.kp.ru	https://pda.kp.ru/online/news/4683082/	бастрыкин поручил расследовать пытки и убийство женщины в мариуполе украинскими националистами	True	331799	(?=.*).*	(наци)	(жест|уби|пыт)
28 March 2022	pda.kp.ru	https://pda.kp.ru/online/news/4683821/	следственный комитет россии расследует жестокое убийство российского военнопленного украинским националистом	True	324252	(?=.*).*	(наци)	(жест|уби|пыт)
4 April 2022	pda.kp.ru	https://pda.kp.ru/daily/27375/4568165/	бастрыкин распорядился установить неонацистов  что пытали российских военнопленных	True	331811	(?=.*).*	(наци)	(жест|уби|пыт)
2 May 2022	mk.ru	https://www.mk.ru/social/2022/05/06/orlovskiy-sud-priznal-genocidom-ubiystva-zhiteley-nacistami-v-gody-voyny.html	орловский суд признал геноцидом убийства жителей нацистами в годы войны	True	140427	(?=.*).*	(наци)	(жест|уби|пыт)
18 July 2022	riafan.ru	https://riafan.ru/23546448-_natsistskii_rezhim_v_kieve_otchayanno_pitaetsya_otrezat_herson_ot_soobscheniya_s_krimom_zamglavi_vga_hersonskoi_oblasti	нацистский режим в киеве отчаянно пытается отрезать херсон от сообщения с крымом    замглавы вга херсонской области	True	435210	(?=.*).*	(наци)	(жест|уби|пыт)
4 April 2022	aif.ru	https://aif.ru/incidents/bastrykin_poruchil_ustanovit_nacionalistov_pytavshih_rossiyskogo_voennogo	бастрыкин поручил установить националистов  пытавших российского военного	True	178834	(?=.*).*	(наци)	(жест|уби|пыт)
18 April 2022	aif.ru	https://aif.ru/society/history/parizh_so_svastikoy_kak_francuzy_srazhalis_za_torzhestvo_nacizma_v_evrope	париж со свастикой  как французы сражались за торжество нацизма в европе	True	181228	(?=.*).*	(наци)	(жест|уби|пыт)
25 April 2022	aif.ru	https://aif.ru/incidents/fsb_zaderzhala_neonacistov_planirovavshih_ubiystvo_zhurnalista_soloveva	фсб задержала неонацистов  планировавших убийство журналиста соловьева	True	184241	(?=.*).*	(наци)	(жест|уби|пыт)
25 April 2022	aif.ru	https://aif.ru/incidents/planirovavshie_ubiystvo_soloveva_neonacisty_gotovili_pokushenie_na_kiseleva	планировавшие убийство соловьева неонацисты готовили покушение на киселева	True	182161	(?=.*).*	(наци)	(жест|уби|пыт)
11 April 2022	fedpress.ru	https://fedpress.ru/news/66/society/2963284	свердловского юниора атаковали за  нацистский жест  на чемпионате европы   свердловская область	True	447039	(?=.*).*	(наци)	(жест|уби|пыт)
11 April 2022	fedpress.ru	https://fedpress.ru/news/66/society/2964069	свердловский юниор северюхин извинился за свой  нацистский  жест   свердловская область	True	446647	(?=.*).*	(наци)	(жест|уби|пыт)
11 April 2022	fedpress.ru	https://fedpress.ru/news/77/society/2970307	под краматорском украинские неонацисты пытают людей за пророссийские взгляды   москва	True	446590	(?=.*).*	(наци)	(жест|уби|пыт)
11 July 2022	ria.ru	https://ria.ru/20220713/natsionalist-1802096160.html	лидер украинских националистов      х годов помогал нацистам убивать евреев	True	227854	(?=.*).*	(наци)	(жест|уби|пыт)
18 July 2022	ria.ru	https://ria.ru/20220721/king-1804069290.html	стивен кинг опозорился  попытавшись отречься от слов об украинских нацистах	True	234823	(?=.*).*	(наци)	(жест|уби|пыт)
27 December 2021	tass.ru	https://tass.ru/mezhdunarodnaya-panorama/13320175	рада постановила торжественно отпраздновать    летие группировки украинских националистов	True	269316	(?=.*).*	(наци)	(жест|уби|пыт)
17 January 2022	tass.ru	https://tass.ru/politika/13470187	лавров обсудил с послами стран снг укрепление координации в содружестве	True	256961	(?=.*).*	(наци)	(жест|уби|пыт)
17 January 2022	tass.ru	https://tass.ru/obschestvo/13476251	координационный совет фракции  единая россия  поддержал ужесточение наказания за пытки	True	256669	(?=.*).*	(наци)	(жест|уби|пыт)
14 March 2022	regnum.ru	https://regnum.ru/news/3534670.html	в афганском фарахе убит бывший солдат сил национальной безопасности	True	365043	(?=.*).*	(наци)	(жест|уби|пыт)
